,pval_outlier
OR2C3#chr1:247533600-247533618(+),0.0176
OR2C3#chr1:247533639-247533657(-),0.7476
OR2C3#chr1:247533832-247533850(+),0.9227
OR2F2#chr7:143935236-143935254(+),1.0
OR2F2#chr7:143935250-143935268(-),1.0
OR2F2#chr7:143935277-143935295(-),1.0
OR2F2#chr7:143935321-143935339(-),1.0
OR2F2#chr7:143935334-143935352(+),1.0
OR2F2#chr7:143935598-143935616(-),1.0
OR2H1#chr6:29458497-29458515(-),0.9227
OR2H1#chr6:29458502-29458520(+),0.0548
OR2H1#chr6:29458515-29458533(-),0.5649
OR2H1#chr6:29458545-29458563(-),0.9531
OR2H1#chr6:29458600-29458618(-),0.0889
OR2H1#chr6:29458651-29458669(+),0.9964
OR2H2#chr6:29587948-29587966(+),0.1995
OR2H2#chr6:29587956-29587974(-),0.9531
OR2H2#chr6:29587964-29587982(-),0.9984
OR2H2#chr6:29587983-29588001(+),1.0
OR2H2#chr6:29588001-29588019(-),0.0176
OR2H2#chr6:29588039-29588057(+),0.2771
OR2J3#chr6:29111908-29111926(+),0.9926
OR2J3#chr6:29111966-29111984(+),1.0
OR2J3#chr6:29112136-29112154(+),0.1995
OR2J3#chr6:29112313-29112331(-),0.9731
OR2J3#chr6:29112328-29112346(-),0.0021
OR2J3#chr6:29112363-29112381(-),1.0
OR2M2#chr1:248179968-248179986(+),1.0
OR2M2#chr1:248180051-248180069(-),0.0045
OR2M2#chr1:248180055-248180073(-),1.0
OR2M2#chr1:248180076-248180094(+),0.8792
OR2M2#chr1:248180081-248180099(-),0.9531
OR2M2#chr1:248180290-248180308(+),0.0004
OR2M3#chr1:248202784-248202802(-),0.9984
OR2M3#chr1:248202810-248202828(+),0.9531
OR2M3#chr1:248202834-248202852(+),0.9227
OR2M3#chr1:248202852-248202870(-),0.8209
OR2M3#chr1:248203022-248203040(-),0.9731
OR2M3#chr1:248203055-248203073(+),0.1995
OR2T1#chr1:248405979-248405997(+),1.0
OR2T1#chr1:248406033-248406051(-),1.0
OR2T1#chr1:248406088-248406106(-),1.0
OR2T1#chr1:248406130-248406148(+),1.0
OR2T1#chr1:248406453-248406471(-),1.0
OR2T1#chr1:248406459-248406477(-),1.0
OR2T11#chr1:248627133-248627151(+),0.9993
OR2T11#chr1:248627140-248627158(+),0.9964
OR2T11#chr1:248627151-248627169(+),1.0
OR2T11#chr1:248627157-248627175(+),0.1995
OR2T11#chr1:248627161-248627179(+),0.0176
OR2T11#chr1:248627187-248627205(+),0.8209
OR2T29#chr1:248559057-248559075(+),0.0
OR2T29#chr1:248559063-248559081(+),0.9854
OR2T29#chr1:248559069-248559087(+),0.9531
OR2T29#chr1:248559153-248559171(+),0.661
OR2T29#chr1:248559209-248559227(-),0.9227
OR2T29#chr1:248559436-248559454(-),0.0889
OR2T33#chr1:248273366-248273384(+),1.0
OR2T33#chr1:248273370-248273388(-),1.0
OR2T33#chr1:248273377-248273395(-),1.0
OR2T33#chr1:248273608-248273626(+),1.0
OR2T33#chr1:248273774-248273792(+),1.0
OR2T33#chr1:248273814-248273832(-),1.0
OR2T4#chr1:248361647-248361665(+),0.9531
OR2T4#chr1:248361661-248361679(+),0.2771
OR2T4#chr1:248361672-248361690(-),0.9993
OR2T4#chr1:248361743-248361761(+),0.9984
OR2T4#chr1:248361749-248361767(-),0.9964
OR2T4#chr1:248361981-248361999(+),0.2771
OR2T5#chr1:248488610-248488628(+),1.0
OR2T5#chr1:248488626-248488644(+),0.661
OR2T5#chr1:248488642-248488660(-),0.367
OR2T5#chr1:248488667-248488685(+),0.0
OR2T5#chr1:248488673-248488691(-),0.661
OR2T6#chr1:248387619-248387637(+),0.9227
OR2T6#chr1:248387631-248387649(-),0.8792
OR2T6#chr1:248387637-248387655(-),0.367
OR2T6#chr1:248387650-248387668(-),0.661
OR2T6#chr1:248387850-248387868(+),0.4649
OR2T6#chr1:248387883-248387901(-),0.9531
OR2W1#chr6:29045005-29045023(+),0.5649
OR2W1#chr6:29045057-29045075(-),0.9964
OR2W1#chr6:29045149-29045167(+),0.0021
OR2W1#chr6:29045198-29045216(-),0.8792
OR2W1#chr6:29045219-29045237(+),0.8792
OR2W1#chr6:29045225-29045243(+),0.9854
OR2Y1#chr5:180739882-180739900(+),1.0
OR2Y1#chr5:180740039-180740057(+),0.1366
OR2Y1#chr5:180740057-180740075(-),0.8209
OR2Y1#chr5:180740066-180740084(+),0.8209
OR2Y1#chr5:180740101-180740119(-),0.9531
OR2Y1#chr5:180740104-180740122(-),0.9531
OR4A5#chr11:54706815-54706833(-),0.9993
OR4A5#chr11:54706838-54706856(-),1.0
OR4A5#chr11:54706846-54706864(-),1.0
OR4A5#chr11:54707042-54707060(-),1.0
OR4A5#chr11:54707108-54707126(+),1.0
OR4A5#chr11:54707159-54707177(-),1.0
OR4B1#chr11:48216783-48216801(+),1.0
OR4B1#chr11:48216903-48216921(-),0.5649
OR4B1#chr11:48216916-48216934(-),0.9984
OR4B1#chr11:48216992-48217010(-),0.0004
OR4B1#chr11:48217001-48217019(-),0.9984
OR4B1#chr11:48217006-48217024(-),0.0319
OR4C12#chr11:49982069-49982087(-),0.9926
OR4C12#chr11:49982075-49982093(-),0.9964
OR4C12#chr11:49982102-49982120(+),0.5649
OR4C12#chr11:49982426-49982444(+),0.661
OR4C12#chr11:49982441-49982459(-),0.4649
OR4C12#chr11:49982501-49982519(-),0.9731
OR4C15#chr11:55554359-55554377(-),0.8209
OR4C15#chr11:55554408-55554426(-),0.7476
OR4C15#chr11:55554415-55554433(-),0.661
OR4C15#chr11:55554422-55554440(+),0.0548
OR4C15#chr11:55554563-55554581(+),0.9926
OR4C15#chr11:55554663-55554681(-),0.9854
OR4C3#chr11:48324939-48324957(-),0.1995
OR4C3#chr11:48324973-48324991(-),0.7476
OR4C3#chr11:48325004-48325022(+),0.7476
OR4C3#chr11:48325014-48325032(-),0.2771
OR4C3#chr11:48325061-48325079(+),0.9993
OR4C3#chr11:48325175-48325193(-),0.9984
OR4C45#chr11:48352272-48352290(+),0.9227
OR4C45#chr11:48352348-48352366(-),0.9993
OR4C45#chr11:48352419-48352437(-),0.0009
OR4C45#chr11:50032909-50032927(-),0.9964
OR4C45#chr11:50032962-50032980(-),0.0176
OR4C45#chr11:50033133-50033151(-),0.9964
OR4D10#chr11:59477375-59477393(+),0.4649
OR4D10#chr11:59477418-59477436(+),0.9227
OR4D10#chr11:59477433-59477451(+),0.9227
OR4D10#chr11:59477472-59477490(+),0.0
OR4D10#chr11:59477485-59477503(-),0.367
OR4D10#chr11:59477710-59477728(-),0.661
OR4D11#chr11:59503558-59503576(+),0.9227
OR4D11#chr11:59503638-59503656(-),0.7476
OR4D11#chr11:59503799-59503817(-),0.9227
OR4D11#chr11:59503850-59503868(-),0.9993
OR4D11#chr11:59503890-59503908(-),0.9997
OR4D11#chr11:59504009-59504027(+),0.0045
OR4D5#chr11:123939612-123939630(-),0.7476
OR4D5#chr11:123939653-123939671(+),1.0
OR4D5#chr11:123939745-123939763(-),1.0
OR4D5#chr11:123939823-123939841(-),1.0
OR4D5#chr11:123939843-123939861(-),1.0
OR4D5#chr11:123939886-123939904(-),1.0
OR4E2#chr14:21665065-21665083(+),1.0
OR4E2#chr14:21665100-21665118(-),0.8209
OR4E2#chr14:21665124-21665142(+),0.4649
OR4E2#chr14:21665271-21665289(-),0.8792
OR4E2#chr14:21665312-21665330(+),0.367
OR4E2#chr14:21665408-21665426(-),0.9926
OR4F5#chr1:69073-69091(+),0.8792
OR4F5#chr1:69150-69168(-),1.0
OR4F5#chr1:69497-69515(+),1.0
OR4F5#chr1:69546-69564(-),1.0
OR4F5#chr1:69557-69575(+),1.0
OR4F5#chr1:69568-69586(+),1.0
OR4K13#chr14:20034327-20034345(+),1.0
OR4K13#chr14:20034476-20034494(-),0.661
OR4K13#chr14:20034589-20034607(+),0.9854
OR4K13#chr14:20034652-20034670(-),0.661
OR4K13#chr14:20034723-20034741(+),0.9984
OR4K13#chr14:20034731-20034749(-),0.5649
OR4Q3#chr14:19747592-19747610(-),0.7476
OR4Q3#chr14:19747643-19747661(-),0.9227
OR4Q3#chr14:19747649-19747667(-),0.9227
OR4Q3#chr14:19747764-19747782(+),0.0548
OR4Q3#chr14:19747818-19747836(-),0.661
OR4Q3#chr14:19747829-19747847(-),0.8792
OR51A2#chr11:4955215-4955233(+),0.9964
OR51A2#chr11:4955309-4955327(+),0.5649
OR51A2#chr11:4955421-4955439(+),0.8792
OR51A2#chr11:4955432-4955450(+),0.8792
OR51A2#chr11:4955541-4955559(-),0.5649
OR51A4#chr11:4946690-4946708(+),0.0176
OR51A4#chr11:4946793-4946811(+),0.8792
OR51A4#chr11:4946806-4946824(+),0.8209
OR51A4#chr11:4947042-4947060(+),0.4649
OR51A4#chr11:4947045-4947063(+),0.9531
OR51A4#chr11:4947127-4947145(+),0.367
OR51B4#chr11:5301689-5301707(+),0.9531
OR51B4#chr11:5301722-5301740(+),0.367
OR51B4#chr11:5301900-5301918(-),0.8792
OR51B4#chr11:5301902-5301920(+),0.9731
OR51B4#chr11:5301927-5301945(+),0.8792
OR51B4#chr11:5301931-5301949(+),0.661
OR51E2#chr11:4697729-4697747(+),0.661
OR51E2#chr11:4697784-4697802(+),0.7476
OR51E2#chr11:4697787-4697805(+),0.8209
OR51E2#chr11:4697798-4697816(-),1.0
OR51E2#chr11:4697804-4697822(-),0.9227
OR51E2#chr11:4697819-4697837(+),0.9731
OR51F1#chr11:4769700-4769718(-),0.7476
OR51F1#chr11:4769834-4769852(+),0.0
OR51F1#chr11:4769839-4769857(+),0.0176
OR51F1#chr11:4769859-4769877(+),0.9984
OR51F1#chr11:4769863-4769881(+),0.9984
OR51F1#chr11:4769917-4769935(-),0.0548
OR51F2#chr11:4821341-4821359(-),0.9531
OR51F2#chr11:4821421-4821439(-),0.5649
OR51F2#chr11:4821495-4821513(-),0.367
OR51F2#chr11:4821498-4821516(-),0.0889
OR51F2#chr11:4821577-4821595(-),0.9964
OR51F2#chr11:4821672-4821690(-),0.9984
OR51L1#chr11:4998966-4998984(+),0.661
OR51L1#chr11:4999019-4999037(-),0.9227
OR51L1#chr11:4999030-4999048(-),0.7476
OR51L1#chr11:4999043-4999061(-),0.9993
OR51L1#chr11:4999212-4999230(-),0.9731
OR51L1#chr11:4999463-4999481(-),0.9926
OR51T1#chr11:4881897-4881915(-),0.2771
OR51T1#chr11:4881940-4881958(+),0.2771
OR51T1#chr11:4881944-4881962(-),0.9997
OR51T1#chr11:4882129-4882147(-),0.0176
OR51T1#chr11:4882174-4882192(-),0.1366
OR51T1#chr11:4882293-4882311(-),0.9964
OR52E6#chr11:5841399-5841417(+),0.367
OR52E6#chr11:5841429-5841447(-),0.9531
OR52E6#chr11:5841549-5841567(-),0.9854
OR52E6#chr11:5841661-5841679(+),0.9964
OR52E6#chr11:5841669-5841687(-),0.0176
OR52E6#chr11:5841873-5841891(+),0.1366
OR52N2#chr11:5820323-5820341(-),0.8792
OR52N2#chr11:5820326-5820344(-),0.8209
OR52N2#chr11:5820334-5820352(-),1.0
OR52N2#chr11:5820362-5820380(-),1.0
OR52N2#chr11:5820377-5820395(+),1.0
OR52N2#chr11:5820452-5820470(+),1.0
OR52W1#chr11:6199166-6199184(-),1.0
OR52W1#chr11:6199193-6199211(-),1.0
OR52W1#chr11:6199203-6199221(-),0.5649
OR52W1#chr11:6199206-6199224(+),0.8792
OR52W1#chr11:6199295-6199313(+),0.4649
OR52W1#chr11:6199309-6199327(-),0.9227
OR56A4#chr11:6002699-6002717(+),0.9227
OR56A4#chr11:6003071-6003089(+),0.0889
OR56A4#chr11:6003099-6003117(-),1.0
OR56A4#chr11:6003152-6003170(-),1.0
OR56A4#chr11:6003156-6003174(-),1.0
OR56A4#chr11:6003168-6003186(-),1.0
OR5A2#chr11:59422637-59422655(+),1.0
OR5A2#chr11:59422652-59422670(+),1.0
OR5A2#chr11:59422700-59422718(+),0.661
OR5A2#chr11:59422706-59422724(+),0.9964
OR5A2#chr11:59422935-59422953(+),0.9854
OR5A2#chr11:59422953-59422971(-),0.0004
OR5AC2#chr3:98087167-98087185(+),0.8209
OR5AC2#chr3:98087223-98087241(+),0.8792
OR5AC2#chr3:98087242-98087260(-),1.0
OR5AC2#chr3:98087405-98087423(-),1.0
OR5AC2#chr3:98087415-98087433(-),1.0
OR5AC2#chr3:98087459-98087477(-),1.0
OR5AK2#chr11:56988903-56988921(+),1.0
OR5AK2#chr11:56988915-56988933(-),1.0
OR5AK2#chr11:56988938-56988956(+),0.9531
OR5AK2#chr11:56988964-56988982(+),0.8792
OR5AK2#chr11:56988973-56988991(-),0.7476
OR5AK2#chr11:56989325-56989343(+),0.661
OR5AP2#chr11:56642005-56642023(+),0.9227
OR5AP2#chr11:56642016-56642034(+),0.367
OR5AP2#chr11:56642206-56642224(+),0.661
OR5AP2#chr11:56642303-56642321(-),0.367
OR5AP2#chr11:56642348-56642366(+),0.9993
OR5AP2#chr11:56642417-56642435(-),0.1995
OR5B3#chr11:58403140-58403158(+),0.8209
OR5B3#chr11:58403160-58403178(+),0.9531
OR5B3#chr11:58403172-58403190(-),0.9854
OR5B3#chr11:58403318-58403336(+),0.4649
OR5B3#chr11:58403342-58403360(+),0.2771
OR5B3#chr11:58403411-58403429(+),0.2771
OR5C1#chr9:122788936-122788954(+),0.661
OR5C1#chr9:122788961-122788979(-),0.0889
OR5C1#chr9:122788970-122788988(-),0.8209
OR5C1#chr9:122789013-122789031(-),0.0091
OR5C1#chr9:122789044-122789062(-),0.9854
OR5C1#chr9:122789219-122789237(-),0.9227
OR5D13#chr11:55773469-55773487(+),0.1366
OR5D13#chr11:55773474-55773492(-),0.9997
OR5D13#chr11:55773667-55773685(-),1.0
OR5D13#chr11:55773831-55773849(-),1.0
OR5D13#chr11:55773844-55773862(-),1.0
OR5D13#chr11:55773878-55773896(+),1.0
OR5K2#chr3:98497647-98497665(-),1.0
OR5K2#chr3:98497654-98497672(-),1.0
OR5K2#chr3:98497663-98497681(+),1.0
OR5K2#chr3:98497925-98497943(+),1.0
OR5K2#chr3:98498014-98498032(+),1.0
OR5K2#chr3:98498079-98498097(-),1.0
OR5K3#chr3:98390654-98390672(+),1.0
OR5K3#chr3:98390688-98390706(-),1.0
OR5K3#chr3:98390691-98390709(+),0.9227
OR5K3#chr3:98390780-98390798(+),0.9227
OR5K3#chr3:98390863-98390881(-),0.9984
OR5K3#chr3:98391111-98391129(-),0.0889
OR5L1#chr11:55811444-55811462(-),0.661
OR5L1#chr11:55811447-55811465(-),0.9993
OR5L1#chr11:55811449-55811467(+),0.9984
OR5L1#chr11:55811591-55811609(-),0.9993
OR5L1#chr11:55811595-55811613(-),0.1366
OR5L1#chr11:55811779-55811797(+),0.0
OR5L2#chr11:55827202-55827220(+),0.8209
OR5L2#chr11:55827343-55827361(-),0.9731
OR5L2#chr11:55827531-55827549(+),0.661
OR5L2#chr11:55827606-55827624(-),0.9964
OR5L2#chr11:55827624-55827642(+),1.0
OR5L2#chr11:55827653-55827671(+),0.0
OR5M1#chr11:56613038-56613056(-),0.9227
OR5M1#chr11:56613041-56613059(+),0.5649
OR5M1#chr11:56613050-56613068(-),0.4649
OR5M1#chr11:56613072-56613090(+),0.9854
OR5M1#chr11:56613290-56613308(+),0.9731
OR5M1#chr11:56613320-56613338(+),0.9926
OR5M11#chr11:56542866-56542884(+),0.0009
OR5M11#chr11:56542923-56542941(+),0.8209
OR5M11#chr11:56543003-56543021(+),0.9964
OR5M11#chr11:56543051-56543069(+),0.1995
OR5M11#chr11:56543213-56543231(-),0.0889
OR5M11#chr11:56543263-56543281(-),0.7476
OR5M8#chr11:56491201-56491219(+),0.9964
OR5M8#chr11:56491206-56491224(+),0.8792
OR5M8#chr11:56491300-56491318(+),1.0
OR5M8#chr11:56491311-56491329(+),0.2771
OR5M8#chr11:56491352-56491370(-),0.9531
OR5M8#chr11:56491372-56491390(+),0.0
OR5P2#chr11:7796641-7796659(+),0.9926
OR5P2#chr11:7796652-7796670(+),0.5649
OR5P2#chr11:7796656-7796674(+),0.4649
OR5P2#chr11:7796835-7796853(+),0.9984
OR5P2#chr11:7796893-7796911(+),0.4649
OR5P2#chr11:7796904-7796922(-),0.9531
OR5T1#chr11:56275563-56275581(+),0.8792
OR5T1#chr11:56275626-56275644(+),0.9964
OR5T1#chr11:56275642-56275660(+),0.9854
OR5T1#chr11:56275654-56275672(-),0.5649
OR5T1#chr11:56275775-56275793(+),0.367
OR5T1#chr11:56275785-56275803(+),0.9227
OR5T2#chr11:56232943-56232961(+),0.9993
OR5T2#chr11:56232950-56232968(-),0.7476
OR5T2#chr11:56232961-56232979(+),0.4649
OR5T2#chr11:56233025-56233043(-),0.9731
OR5T2#chr11:56233128-56233146(+),0.7476
OR5T2#chr11:56233248-56233266(-),1.0
OR5T3#chr11:56252182-56252200(+),0.9964
OR5T3#chr11:56252198-56252216(+),0.0319
OR5T3#chr11:56252268-56252286(+),0.9993
OR5T3#chr11:56252296-56252314(-),0.9531
OR5T3#chr11:56252390-56252408(+),0.9984
OR5T3#chr11:56252400-56252418(+),0.0548
OR6C1#chr12:55320611-55320629(-),0.1366
OR6C1#chr12:55320686-55320704(-),0.7476
OR6C1#chr12:55320728-55320746(-),1.0
OR6C1#chr12:55320820-55320838(-),1.0
OR6C1#chr12:55320831-55320849(-),1.0
OR6C1#chr12:55320981-55320999(-),1.0
OR6F1#chr1:247712580-247712598(+),1.0
OR6F1#chr1:247712583-247712601(+),1.0
OR6F1#chr1:247712614-247712632(-),0.8209
OR6F1#chr1:247712739-247712757(+),0.9531
OR6F1#chr1:247712748-247712766(-),0.8209
OR6F1#chr1:247712786-247712804(-),0.661
OR6M1#chr11:123806275-123806293(+),0.0045
OR6M1#chr11:123806297-123806315(+),0.661
OR6M1#chr11:123806341-123806359(-),0.9926
OR6M1#chr11:123806344-123806362(+),0.2771
OR6M1#chr11:123806348-123806366(-),0.1995
OR6M1#chr11:123806377-123806395(+),1.0
OR6P1#chr1:158563306-158563324(+),0.9854
OR6P1#chr1:158563324-158563342(+),0.367
OR6P1#chr1:158563354-158563372(+),0.661
OR6P1#chr1:158563561-158563579(-),0.1366
OR6P1#chr1:158563565-158563583(-),0.8792
OR6P1#chr1:158563591-158563609(-),0.4649
OR7A10#chr19:14841526-14841544(-),0.8792
OR7A10#chr19:14841550-14841568(-),0.9731
OR7A10#chr19:14841555-14841573(-),0.5649
OR7A10#chr19:14841657-14841675(+),0.9731
OR7A10#chr19:14841808-14841826(-),0.8209
OR7A10#chr19:14841835-14841853(-),0.9531
OR8A1#chr11:124570013-124570031(-),0.8792
OR8A1#chr11:124570015-124570033(+),0.9854
OR8A1#chr11:124570033-124570051(-),0.9854
OR8A1#chr11:124570051-124570069(-),0.1995
OR8A1#chr11:124570207-124570225(+),0.9731
OR8A1#chr11:124570215-124570233(-),0.367
OR8B3#chr11:124397067-124397085(-),0.0319
OR8B3#chr11:124397218-124397236(+),1.0
OR8B3#chr11:124397233-124397251(-),0.8792
OR8B3#chr11:124397255-124397273(-),0.9531
OR8B3#chr11:124397270-124397288(+),0.9854
OR8B3#chr11:124397352-124397370(+),0.9731
OR8B4#chr11:124424460-124424478(-),0.9227
OR8B4#chr11:124424470-124424488(+),0.0319
OR8B4#chr11:124424618-124424636(+),0.9926
OR8B4#chr11:124424757-124424775(-),0.8209
OR8B4#chr11:124424812-124424830(+),0.9227
OR8B4#chr11:124424874-124424892(+),0.2771
OR8B8#chr11:124440925-124440943(+),0.8209
OR8B8#chr11:124441045-124441063(+),0.5649
OR8B8#chr11:124441048-124441066(+),0.2771
OR8B8#chr11:124441085-124441103(-),0.9984
OR8B8#chr11:124441088-124441106(+),0.5649
OR8B8#chr11:124441095-124441113(+),0.9731
OR8G5#chr11:124264825-124264843(+),0.9531
OR8G5#chr11:124264859-124264877(-),0.5649
OR8G5#chr11:124264914-124264932(-),0.4649
OR8G5#chr11:124264949-124264967(-),0.0176
OR8G5#chr11:124264953-124264971(+),0.661
OR8G5#chr11:124264958-124264976(+),0.4649
OR8H1#chr11:56290602-56290620(+),0.1366
OR8H1#chr11:56290648-56290666(+),0.8209
OR8H1#chr11:56290660-56290678(+),0.4649
OR8H1#chr11:56290964-56290982(+),0.9999
OR8H1#chr11:56290973-56290991(+),0.8792
OR8H1#chr11:56291061-56291079(-),0.8209
OR8H3#chr11:56122359-56122377(+),0.0021
OR8H3#chr11:56122421-56122439(+),1.0
OR8H3#chr11:56122474-56122492(-),0.9984
OR8H3#chr11:56122638-56122656(+),0.661
OR8H3#chr11:56122768-56122786(+),0.8209
OR8H3#chr11:56122784-56122802(-),0.2771
OR8K1#chr11:56345948-56345966(-),0.0176
