target_id	ensembl_gene_id	gene_symbol	hgnc_approved_symbol	jaspar_tf_family	lambert_2018_dbd	type	locus	distance_mean_HonCM	distance_rank_HonCM	sig_dist_gt_NC_max_HonCM	distance_mean_HuangfuDE	distance_rank_HuangfuDE	sig_dist_gt_NC_max_HuangfuDE	distance_mean_HuangfuESC	distance_rank_HuangfuESC	sig_dist_gt_NC_max_HuangfuESC	n_datasets_with_data	n_datasets_significant	classification
ENSG00000096401|chr6:44387559-44388219	ENSG00000096401	CDC5L	CDC5L		Myb/SANT	targeting	chr6:44387559-44388219	7.58773193359375	104.0	True	80.71585693359376	1975.0	False	576.3916015625	259.0	False	3	1	HonCM-specific
ENSG00000175787|chr9:94259319-94259530	ENSG00000175787	ZNF169	ZNF169		C2H2 ZF	targeting	chr9:94259319-94259530	7.377560424804687	107.0	True	98.30784912109377	633.0	False	574.4091430664063	272.0	False	3	1	HonCM-specific
ENSG00000115163|chr2:26786054-26786312	ENSG00000115163	CENPA	CENPA		Unknown	targeting	chr2:26786054-26786312	11.124072265625	76.0	True	83.72064819335938	1851.0	False	572.9581298828125	282.0	False	3	1	HonCM-specific
ENSG00000196214|chr19:52269583-52269837											114.56685180664064	18.0	True	572.6467559814453	287.0	False	2	1	HonCM-specific
ENSG00000167785|chr19:8832123-8832315	ENSG00000167785	ZNF558	ZNF558	More than 3 adjacent zinc fingers	C2H2 ZF	targeting	chr19:8832123-8832315	6.230172729492187	133.0	True	87.5559814453125	1603.0	False	572.4378540039063	290.0	False	3	1	HonCM-specific
ENSG00000147124|chrX:47482683-47483208	ENSG00000147124	ZNF41	ZNF41		C2H2 ZF	targeting	chrX:47482683-47483208	8.569015502929688	93.0	True	96.94151611328124	767.0	False	572.0380065917968	293.0	False	3	1	HonCM-specific
ENSG00000147133|chrX:71366391-71366859	ENSG00000147133	TAF1	TAF1		Unknown	targeting	chrX:71366391-71366859	19.55866394042969	36.0	True	98.4592041015625	622.0	False	571.2695709228516	301.0	False	3	1	HonCM-specific
ENSG00000110768|chr11:18322583-18322852	ENSG00000110768	GTF2H1	GTF2H1		Unknown	targeting	chr11:18322583-18322852	20.68511962890625	30.0	True	99.54271240234377	526.0	False	570.1120666503906	319.0	False	3	1	HonCM-specific
ENSG00000023608|chr14:61762410-61762796	ENSG00000023608	SNAPC1	SNAPC1			targeting	chr14:61762410-61762796	21.029928588867183	27.0	True	103.20331420898438	286.0	False	569.6673004150391	323.0	False	3	1	HonCM-specific
ENSG00000144161|chr2:112254687-112255063	ENSG00000144161	ZC3H8	ZC3H8		CCCH ZF	targeting	chr2:112254687-112255063	10.515603637695312	78.0	True	94.35924682617188	980.0	False	569.4670654296875	326.0	False	3	1	HonCM-specific
ENSG00000131013|chr6:149545865-149546043	ENSG00000131013	PPIL4	PPIL4			targeting	chr6:149545865-149546043	11.325259399414062	75.0	True	74.0076904296875	2121.0	False	568.3437866210937	342.0	False	3	1	HonCM-specific
ENSG00000204947|chr7:149126112-149126304	ENSG00000204947	ZNF425	ZNF425		C2H2 ZF	targeting	chr7:149126112-149126304	6.203067016601563	134.0	True	86.86859741210938	1649.0	False	568.0426452636718	347.0	False	3	1	HonCM-specific
ENSG00000185513|chr20:43507694-43507924	ENSG00000185513	L3MBTL1	L3MBTL1		C2H2 ZF	targeting	chr20:43507694-43507924	6.746371459960938	118.0	True	97.06871337890624	756.0	False	567.8686279296875	349.0	False	3	1	HonCM-specific
ENSG00000186812|chr18:35241100-35241256	ENSG00000186812	ZNF397	ZNF397		C2H2 ZF	targeting	chr18:35241100-35241256	5.9685546875	137.0	True	81.57330932617188	1941.0	False	566.6406829833984	364.0	False	3	1	HonCM-specific
ENSG00000204356|chr6:31958538-31958965	ENSG00000204356	NELFE	NELFE			targeting	chr6:31958538-31958965	7.029656982421875	113.0	True	92.57715454101564	1140.0	False	564.1604309082031	392.0	False	3	1	HonCM-specific
ENSG00000153487|chr13:110713704-110714184	ENSG00000153487	ING1	ING1			targeting	chr13:110713704-110714184	17.044680786132812	49.0	True	95.17464599609374	919.0	False	563.9427490234375	395.0	False	3	1	HonCM-specific
ENSG00000198554|chr14:55026736-55027062	ENSG00000198554	WDHD1	WDHD1		HMG/Sox	targeting	chr14:55026736-55027062	4.935836791992188	155.0	True	98.5013916015625	618.0	False	563.8475646972656	396.0	False	3	1	HonCM-specific
ENSG00000290988|chr19:37692075-37692259											111.2273681640625	49.0	True	563.6539154052734	398.0	False	2	1	HonCM-specific
ENSG00000106399|chr7:7640061-7640747	ENSG00000106399	RPA3	RPA3			targeting	chr7:7640061-7640747	27.46004638671875	15.0	True	95.37118530273438	902.0	False	563.5289703369141	401.0	False	3	1	HonCM-specific
ENSG00000154832|chr18:50287456-50287678	ENSG00000154832	CXXC1	CXXC1		CxxC	targeting	chr18:50287456-50287678	11.422235107421876	74.0	True	99.40769653320312	531.0	False	563.5106079101563	403.0	False	3	1	HonCM-specific
ENSG00000145912|chr5:178153560-178153998	ENSG00000145912	NHP2	NHP2			targeting	chr5:178153560-178153998	8.576284790039063	92.0	True	84.19972534179688	1824.0	False	563.385775756836	406.0	False	3	1	HonCM-specific
ENSG00000115738|chr2:8679225-8679485	ENSG00000115738	ID2	ID2		bHLH	targeting	chr2:8679225-8679485	9.543978881835937	83.0	True	87.97008056640625	1566.0	False	563.10361328125	408.0	False	3	1	HonCM-specific
ENSG00000140307|chr15:59657160-59657490	ENSG00000140307	GTF2A2	GTF2A2		Unknown	targeting	chr15:59657160-59657490	15.794784545898438	52.0	True	93.53953247070312	1052.0	False	563.0908172607421	409.0	False	3	1	HonCM-specific
ENSG00000135801|chr1:229625966-229626136	ENSG00000135801	TAF5L	TAF5L		Unknown	targeting	chr1:229625966-229626136	15.363565063476562	53.0	True	109.8335693359375	71.0	False	562.545523071289	416.0	False	3	1	HonCM-specific
ENSG00000204231|chr6:33200036-33200671	ENSG00000204231	RXRB	RXRB	RXR-related receptors (NR2)	Nuclear receptor	targeting	chr6:33200036-33200671	20.26332092285156	34.0	True	98.024951171875	647.0	False	560.9068939208985	439.0	False	3	1	HonCM-specific
ENSG00000178028|chr1:44213473-44213865	ENSG00000178028	DMAP1	DMAP1		Unknown	targeting	chr1:44213473-44213865	35.30386047363281	12.0	True	97.18595581054689	736.0	False	559.9509124755859	458.0	False	3	1	HonCM-specific
ENSG00000198034|chrX:72276872-72277245	ENSG00000198034	RPS4X	RPS4X			targeting	chrX:72276872-72277245	12.206045532226565	71.0	True	109.21456298828124	84.0	False	559.61728515625	460.0	False	3	1	HonCM-specific
ENSG00000138380|chr2:202912011-202912298	ENSG00000138380	CARF	CARF		Unknown	targeting	chr2:202912011-202912298	17.796481323242187	42.0	True	90.82928466796876	1326.0	False	559.3202484130859	465.0	False	3	1	HonCM-specific
ENSG00000127152|chr14:99271339-99271702	ENSG00000127152	BCL11B	BCL11B		C2H2 ZF	targeting	chr14:99271339-99271702	17.39954833984375	46.0	True	94.97278442382812	936.0	False	558.8412292480468	471.0	False	3	1	HonCM-specific
ENSG00000147596|chr8:70070761-70071232	ENSG00000147596	PRDM14	PRDM14		C2H2 ZF	targeting	chr8:70070761-70071232	20.417282104492188	32.0	True	84.36355590820312	1807.0	False	558.8142547607422	472.0	False	3	1	HonCM-specific
ENSG00000196235|chr19:39445597-39445785	ENSG00000196235	SUPT5H	SUPT5H		Unknown	targeting	chr19:39445597-39445785	40.77178649902344	10.0	True	87.05877685546875	1628.0	False	558.6625762939453	474.0	False	3	1	HonCM-specific
ENSG00000111669|chr12:6867491-6867995	ENSG00000111669	TPI1	TPI1			targeting	chr12:6867491-6867995	4.940451049804688	153.0	True	86.89500732421875	1645.0	False	558.3168060302735	481.0	False	3	1	HonCM-specific
ENSG00000185811|chr7:50304289-50304799	ENSG00000185811	IKZF1	IKZF1	Factors with multiple dispersed zinc fingers	C2H2 ZF	targeting	chr7:50304289-50304799	7.223638916015625	110.0	True	87.83978881835938	1576.0	False	558.1732421875	484.0	False	3	1	HonCM-specific
ENSG00000181827|chr15:56243337-56243756	ENSG00000181827	RFX7	RFX7	RFX-related factors	RFX	targeting	chr15:56243337-56243756	13.96575927734375	63.0	True	93.42840576171876	1064.0	False	557.1650360107421	506.0	False	3	1	HonCM-specific
ENSG00000079102|chr8:92095014-92095233	ENSG00000079102	RUNX1T1	RUNX1T1		Unknown	targeting	chr8:92095014-92095233	5.824630737304688	142.0	True	91.6278076171875	1245.0	False	557.0456665039062	507.0	False	3	1	HonCM-specific
ENSG00000162702|chr1:200409523-200410048	ENSG00000162702	ZNF281	ZNF281	More than 3 adjacent zinc fingers	C2H2 ZF	targeting	chr1:200409523-200410048	22.612918090820312	20.0	True	92.05475463867188	1193.0	False	557.0002227783203	509.0	False	3	1	HonCM-specific
ENSG00000006704|chr7:74453961-74454260	ENSG00000006704	GTF2IRD1	GTF2IRD1		GTF2I-like	targeting	chr7:74453961-74454260	9.001318359375	87.0	True	86.49566040039062	1674.0	False	556.7245086669922	517.0	False	3	1	HonCM-specific
ENSG00000166949|chr15:67065846-67066213	ENSG00000166949	SMAD3	SMAD3	SMAD factors	SMAD	targeting	chr15:67065846-67066213	5.501605224609375	146.0	True	94.77489624023436	947.0	False	556.14130859375	526.0	False	3	1	HonCM-specific
ENSG00000170325|chr11:130002305-130002835	ENSG00000170325	PRDM10	PRDM10		C2H2 ZF	targeting	chr11:130002305-130002835	14.735858154296874	56.0	True	90.9652099609375	1309.0	False	553.3034393310547	573.0	False	3	1	HonCM-specific
ENSG00000105821|chr7:103344313-103344797	ENSG00000105821	DNAJC2	DNAJC2		Myb/SANT	targeting	chr7:103344313-103344797	17.05762634277344	48.0	True	90.82276000976564	1329.0	False	553.0520324707031	581.0	False	3	1	HonCM-specific
ENSG00000162601|chr1:58699625-58700070	ENSG00000162601	MYSM1	MYSM1		Myb/SANT	targeting	chr1:58699625-58700070	34.74073486328125	13.0	True	93.51141357421876	1056.0	False	552.639779663086	587.0	False	3	1	HonCM-specific
ENSG00000275700|chr17:36948966-36949088	ENSG00000275700	AATF	AATF		Unknown	targeting	chr17:36948966-36949088	5.907110595703125	139.0	True	103.52655639648438	271.0	False	552.54638671875	591.0	False	3	1	HonCM-specific
ENSG00000123349|chr12:53295544-53295946	ENSG00000123349	PFDN5	PFDN5			targeting	chr12:53295544-53295946	13.246224975585935	67.0	True	97.98295288085936	649.0	False	551.8463439941406	599.0	False	3	1	HonCM-specific
ENSG00000115816|chr2:37231360-37231620	ENSG00000115816	CEBPZ	CEBPZ		Unknown	targeting	chr2:37231360-37231620	7.972991943359375	102.0	True	91.97274169921874	1202.0	False	551.8111328125	601.0	False	3	1	HonCM-specific
ENSG00000125651|chr19:6393083-6393145	ENSG00000125651	GTF2F1	GTF2F1		Unknown	targeting	chr19:6393083-6393145	6.4593505859375	127.0	True	97.024267578125	758.0	False	551.1644104003906	613.0	False	3	1	HonCM-specific
ENSG00000162613|chr1:77978618-77979051	ENSG00000162613	FUBP1	FUBP1		Unknown	targeting	chr1:77978618-77979051	21.020660400390625	28.0	True	87.2494384765625	1624.0	False	550.3674591064453	621.0	False	3	1	HonCM-specific
ENSG00000123374|chr12:55966798-55967310	ENSG00000123374	CDK2	CDK2			targeting	chr12:55966798-55967310	7.9814300537109375	101.0	True	97.12700805664062	750.0	False	550.249169921875	624.0	False	3	1	HonCM-specific
ENSG00000122778|chr7:138981054-138981477	ENSG00000122778	KIAA1549	KIAA1549		Unknown	targeting	chr7:138981054-138981477	6.961325073242188	116.0	True	77.95659790039062	2063.0	False	548.7272064208985	651.0	False	3	1	HonCM-specific
ENSG00000166860|chr12:57006094-57006515	ENSG00000166860	ZBTB39	ZBTB39		C2H2 ZF	targeting	chr12:57006094-57006515	13.927581787109377	64.0	True	94.33466186523438	982.0	False	548.2913177490234	663.0	False	3	1	HonCM-specific
ENSG00000074800|chr1:8878289-8878718	ENSG00000074800	ENO1	ENO1		Unknown	targeting	chr1:8878289-8878718	130.0402618408203	3.0	True	102.01738891601562	349.0	False	547.4813720703125	676.0	False	3	1	HonCM-specific
ENSG00000008018|chr6:170552827-170553285	ENSG00000008018	PSMB1	PSMB1			targeting	chr6:170552827-170553285	19.35823974609375	39.0	True	89.09154052734375	1481.0	False	544.6448669433594	743.0	False	3	1	HonCM-specific
ENSG00000145734|chr5:71455663-71455894	ENSG00000145734	BDP1	BDP1		Unknown	targeting	chr5:71455663-71455894	49.41160278320312	7.0	True	107.76502075195312	119.0	False	543.4189514160156	767.0	False	3	1	HonCM-specific
ENSG00000136630|chr1:220879449-220879923	ENSG00000136630	HLX	HLX		Homeodomain	targeting	chr1:220879449-220879923	4.917153930664062	156.0	True	89.73668823242187	1435.0	False	542.7636993408203	782.0	False	3	1	HonCM-specific
ENSG00000116580|chr1:155856958-155857187	ENSG00000116580	GON4L	GON4L		Unknown	targeting	chr1:155856958-155857187	14.802542114257813	55.0	True	92.30647583007811	1162.0	False	541.7276641845704	805.0	False	3	1	HonCM-specific
ENSG00000134014|chr8:28093183-28093376	ENSG00000134014	ELP3	ELP3			targeting	chr8:28093183-28093376	14.64334716796875	57.0	True	94.32924194335938	983.0	False	541.2913238525391	816.0	False	3	1	HonCM-specific
ENSG00000213015|chr19:55635027-55635217	ENSG00000213015	ZNF580	ZNF580		C2H2 ZF	targeting	chr19:55635027-55635217	8.08994140625	99.0	True	105.78240356445312	175.0	False	539.9868408203125	846.0	False	3	1	HonCM-specific
ENSG00000198040|chr12:133037459-133037943											110.41716918945312	63.0	True	539.7018402099609	852.0	False	2	1	HonCM-specific
ENSG00000156469|chr8:96261507-96261624	ENSG00000156469	MTERFD1	MTERF3		mTERF	targeting	chr8:96261507-96261624	6.347528076171875	129.0	True	109.69760131835938	76.0	False	539.20087890625	861.0	False	3	1	HonCM-specific
ENSG00000109445|chr4:141220952-141221198	ENSG00000109445	ZNF330	ZNF330		NOA36-type ZF	targeting	chr4:141220952-141221198	4.93646240234375	154.0	True	95.457080078125	895.0	False	537.4779418945312	890.0	False	3	1	HonCM-specific
ENSG00000108509|chr17:4987228-4987616	ENSG00000108509	CAMTA2	CAMTA2		CG-1	targeting	chr17:4987228-4987616	16.167678833007812	50.0	True	78.93145751953125	2034.0	False	537.1758178710937	900.0	False	3	1	HonCM-specific
ENSG00000204209|chr6:33322835-33322963	ENSG00000204209	DAXX	DAXX		Unknown	targeting	chr6:33322835-33322963	4.800924682617188	161.0	True	93.07030029296877	1095.0	False	536.8523803710938	908.0	False	3	1	HonCM-specific
ENSG00000204366|chr6:31901544-31902077	ENSG00000204366	ZBTB12	ZBTB12	More than 3 adjacent zinc fingers	C2H2 ZF	targeting	chr6:31901544-31902077	8.85665283203125	89.0	True	81.6388427734375	1935.0	False	536.4643951416016	914.0	False	3	1	HonCM-specific
ENSG00000100393|chr22:41091729-41092903	ENSG00000100393	EP300	EP300		Unknown	targeting	chr22:41091729-41092903	8.453854370117188	96.0	True	97.286328125	726.0	False	535.194204711914	938.0	False	3	1	HonCM-specific
ENSG00000078246|chr12:2877252-2877713	ENSG00000078246	TULP3	TULP3			targeting	chr12:2877252-2877713	15.362057495117188	54.0	True	91.2289306640625	1286.0	False	534.1726898193359	966.0	False	3	1	HonCM-specific
ENSG00000130724|chr19:58554638-58555089	ENSG00000130724	CHMP2A	CHMP2A			targeting	chr19:58554638-58555089	20.642758178710935	31.0	True	101.86091918945311	357.0	False	531.5659759521484	1012.0	False	3	1	HonCM-specific
ENSG00000127445|chr19:9835357-9835572	ENSG00000127445	PIN1	PIN1		MBD	targeting	chr19:9835357-9835572	7.2120361328125	111.0	True	82.11162719726562	1917.0	False	530.3860900878906	1032.0	False	3	1	HonCM-specific
ENSG00000164975|chr9:15422862-15423120	ENSG00000164975	SNAPC3	SNAPC3			targeting	chr9:15422862-15423120	19.551937866210935	37.0	True	81.26558837890624	1954.0	False	529.5145874023438	1047.0	False	3	1	HonCM-specific
ENSG00000182759|chr8:143430250-143430742	ENSG00000182759	MAFA	MAFA	Maf-related	bZIP	targeting	chr8:143430250-143430742	9.62696533203125	82.0	True	88.40175170898438	1536.0	False	529.4458557128906	1048.0	False	3	1	HonCM-specific
ENSG00000172819|chr12:53220106-53220349	ENSG00000172819	RARG	RARG	Thyroid hormone receptor-related factors (NR1)	Nuclear receptor	targeting	chr12:53220106-53220349	7.457257080078125	106.0	True	91.37742309570312	1269.0	False	529.2364898681641	1051.0	False	3	1	HonCM-specific
ENSG00000196458|chr12:132956111-132956348											116.563232421875	11.0	True	528.5161407470703	1060.0	False	2	1	HonCM-specific
ENSG00000186230|chr19:57435341-57435564											116.64827270507811	10.0	True	527.70048828125	1073.0	False	2	1	HonCM-specific
ENSG00000159086|chr21:32771283-32771775	ENSG00000159086	PAXBP1	PAXBP1		Unknown	targeting	chr21:32771283-32771775	19.40528259277344	38.0	True	90.35847778320311	1378.0	False	527.2879211425782	1086.0	False	3	1	HonCM-specific
ENSG00000138095|chr2:43995605-43995992	ENSG00000138095	LRPPRC	LRPPRC			targeting	chr2:43995605-43995992	7.009268188476563	114.0	True	80.67064819335937	1977.0	False	526.5346710205079	1103.0	False	3	1	HonCM-specific
ENSG00000134744|chr1:52552675-52553057	ENSG00000134744	ZCCHC11	TUT4		Unknown	targeting	chr1:52552675-52553057	5.287982177734375	149.0	True	79.45939331054687	2021.0	False	526.2594268798828	1111.0	False	3	1	HonCM-specific
ENSG00000130844|chr19:53554801-53554910	ENSG00000130844	ZNF331	ZNF331	More than 3 adjacent zinc fingers	C2H2 ZF	targeting	chr19:53554801-53554910	8.40184326171875	97.0	True	93.76547241210938	1030.0	False	525.8310668945312	1119.0	False	3	1	HonCM-specific
ENSG00000135829|chr1:182839339-182839821	ENSG00000135829	DHX9	DHX9			targeting	chr1:182839339-182839821	6.968862915039063	115.0	True	82.50353393554687	1901.0	False	525.6525665283203	1120.0	False	3	1	HonCM-specific
ENSG00000178163|chr4:10457085-10457415	ENSG00000178163	ZNF518B	ZNF518B	Factors with multiple dispersed zinc fingers	C2H2 ZF	targeting	chr4:10457085-10457415	18.71636047363281	40.0	True	87.3629150390625	1613.0	False	525.5513702392578	1122.0	False	3	1	HonCM-specific
ENSG00000103363|chr16:2777223-2777598	ENSG00000103363	TCEB2	ELOB			targeting	chr16:2777223-2777598	8.49034423828125	95.0	True	91.22261962890624	1287.0	False	523.0150146484375	1173.0	False	3	1	HonCM-specific
ENSG00000178691|chr17:31937137-31937387	ENSG00000178691	SUZ12	SUZ12		Unknown	targeting	chr17:31937137-31937387	10.955075073242188	77.0	True	106.93052368164062	135.0	False	522.7575408935547	1176.0	False	3	1	HonCM-specific
ENSG00000106459|chr7:129611731-129612109	ENSG00000106459	NRF1	NRF1	NRF	Unknown	targeting	chr7:129611731-129612109	12.025546264648437	72.0	True	91.2291015625	1285.0	False	522.3609313964844	1183.0	False	3	1	HonCM-specific
ENSG00000102901|chr16:67833458-67833896	ENSG00000102901	CENPT	CENPT		Unknown	targeting	chr16:67833458-67833896	22.061456298828126	23.0	True	104.66974487304688	216.0	False	521.7324493408203	1195.0	False	3	1	HonCM-specific
ENSG00000132382|chr17:4555048-4555425	ENSG00000132382	MYBBP1A	MYBBP1A		Unknown	targeting	chr17:4555048-4555425	5.852987670898438	141.0	True	102.13003540039062	342.0	False	521.2713195800782	1202.0	False	3	1	HonCM-specific
ENSG00000165916|chr11:47425762-47426264	ENSG00000165916	PSMC3	PSMC3			targeting	chr11:47425762-47426264	5.469076538085938	147.0	True	84.90172729492187	1773.0	False	520.7784973144531	1214.0	False	3	1	HonCM-specific
ENSG00000163159|chr1:151189714-151190216	ENSG00000163159	VPS72	VPS72		Unknown	targeting	chr1:151189714-151190216	30.925997924804687	14.0	True	81.95338134765625	1924.0	False	520.41943359375	1226.0	False	3	1	HonCM-specific
ENSG00000134323|chr2:15941813-15942200	ENSG00000134323	MYCN	MYCN	bHLH-ZIP	bHLH	targeting	chr2:15941813-15942200	5.512445068359375	145.0	True	83.75948486328124	1848.0	False	519.6220092773438	1241.0	False	3	1	HonCM-specific
ENSG00000025434|chr11:47248900-47249373	ENSG00000025434	NR1H3	NR1H3		Nuclear receptor	targeting	chr11:47248900-47249373	5.66246337890625	144.0	True	90.15936279296876	1399.0	False	517.3497161865234	1290.0	False	3	1	HonCM-specific
ENSG00000059122|chr16:2911990-2912420	ENSG00000059122	FLYWCH1	FLYWCH1	FLYWCH1	FLYWCH	targeting	chr16:2911990-2912420	4.798236083984375	162.0	True	79.90205078125	2005.0	False	516.6624725341796	1302.0	False	3	1	HonCM-specific
ENSG00000119608|chr14:74863532-74863796	ENSG00000119608	PROX2	PROX2		Prospero	targeting	chr14:74863532-74863796	4.9108154296875	157.0	True	84.37384643554688	1805.0	False	513.836328125	1358.0	False	3	1	HonCM-specific
ENSG00000197780|chr1:109075864-109076032	ENSG00000197780	TAF13	TAF13		Unknown	targeting	chr1:109075864-109076032	5.142974853515625	150.0	True	97.45389404296876	702.0	False	513.598599243164	1366.0	False	3	1	HonCM-specific
ENSG00000122085|chr2:241102129-241102342	ENSG00000122085	MTERFD2	MTERF4		mTERF	targeting	chr2:241102129-241102342	8.845233154296874	90.0	True	98.33497924804688	630.0	False	512.8164947509765	1387.0	False	3	1	HonCM-specific
ENSG00000253831|chr1:157099693-157099811	ENSG00000253831	ETV3L	ETV3L		Ets	targeting	chr1:157099693-157099811	6.3029632568359375	131.0	True	96.09730224609376	843.0	False	512.6202545166016	1389.0	False	3	1	HonCM-specific
ENSG00000134058|chr5:69234849-69235121	ENSG00000134058	CDK7	CDK7		Unknown	targeting	chr5:69234849-69235121	22.361700439453124	22.0	True	108.29943237304688	105.0	False	508.8261322021484	1461.0	False	3	1	HonCM-specific
ENSG00000111704|chr12:7789786-7789930	ENSG00000111704	NANOG	NANOG		Homeodomain	targeting	chr12:7789786-7789930	13.273873901367187	66.0	True	101.96804809570312	352.0	False	508.49256286621096	1471.0	False	3	1	HonCM-specific
