ensembl_gene_id	gene_symbol	hgnc_approved_symbol	jaspar_tf_family	lambert_2018_dbd	n_disease_associations	mondo_ids	omim_ids	distance_mean_HonCM	distance_rank_HonCM	sig_dist_gt_NC_max_HonCM	distance_mean_HuangfuDE	distance_rank_HuangfuDE	sig_dist_gt_NC_max_HuangfuDE	distance_mean_HuangfuESC	distance_rank_HuangfuESC	sig_dist_gt_NC_max_HuangfuESC	n_datasets_with_data	n_datasets_significant	max_distance_across_datasets	classification
ENSG00000080603	SRCAP	SRCAP		AT hook	2		OMIM:136140;OMIM:619595	4.828997802734375	159.0	True	90.60899658203124	1354.0	False	585.3015258789062	183.0	False	3	1	585.3015258789062	HonCM-specific
ENSG00000124813	RUNX2	RUNX2	Runt-related factors	Runt	2		OMIM:119600;OMIM:156510	6.542251586914063	125.0	True	109.34179077148436	82.0	False	584.5029388427735	188.0	False	3	1	584.5029388427735	HonCM-specific
ENSG00000147133	TAF1	TAF1		Unknown	2		OMIM:300966;OMIM:314250	19.55866394042969	36.0	True	98.4592041015625	622.0	False	571.2695709228516	301.0	False	3	1	571.2695709228516	HonCM-specific
ENSG00000153487	ING1	ING1			1		OMIM:275355	17.044680786132812	49.0	True	95.99013671875	852.0	False	563.9427490234375	395.0	False	3	1	563.9427490234375	HonCM-specific
ENSG00000145912	NHP2	NHP2			2		OMIM:224230;OMIM:613987	8.576284790039063	92.0	True	84.19972534179688	1824.0	False	563.385775756836	406.0	False	3	1	563.385775756836	HonCM-specific
ENSG00000004848	ARX	ARX		Homeodomain	5		OMIM:300004;OMIM:300215;OMIM:300419;OMIM:308350;OMIM:309510	2.495648193359375	345.0	False	111.48054809570311	45.0	True	561.2381408691406	432.0	False	3	1	561.2381408691406	HuangfuDE-specific
ENSG00000127152	BCL11B	BCL11B		C2H2 ZF	2		OMIM:617237;OMIM:618092	17.39954833984375	46.0	True	94.97278442382812	936.0	False	558.8412292480468	471.0	False	3	1	558.8412292480468	HonCM-specific
ENSG00000111669	TPI1	TPI1			1		OMIM:615512	4.940451049804688	153.0	True	86.89500732421875	1645.0	False	558.3168060302735	481.0	False	3	1	558.3168060302735	HonCM-specific
ENSG00000185811	IKZF1	IKZF1	Factors with multiple dispersed zinc fingers	C2H2 ZF	1		OMIM:616873	7.223638916015625	110.0	True	87.83978881835938	1576.0	False	558.1732421875	484.0	False	3	1	558.1732421875	HonCM-specific
ENSG00000181827	RFX7	RFX7	RFX-related factors	RFX	1		OMIM:620330	13.96575927734375	63.0	True	93.42840576171876	1064.0	False	557.1650360107421	506.0	False	3	1	557.1650360107421	HonCM-specific
ENSG00000166949	SMAD3	SMAD3	SMAD factors	SMAD	1		OMIM:613795	5.501605224609375	146.0	True	94.77489624023436	947.0	False	556.14130859375	526.0	False	3	1	556.14130859375	HonCM-specific
ENSG00000170325	PRDM10	PRDM10		C2H2 ZF	1		OMIM:620459	14.735858154296874	56.0	True	90.9652099609375	1309.0	False	553.3034393310547	573.0	False	3	1	553.3034393310547	HonCM-specific
ENSG00000162601	MYSM1	MYSM1		Myb/SANT	1		OMIM:618116	34.74073486328125	13.0	True	93.51141357421876	1056.0	False	552.639779663086	587.0	False	3	1	552.639779663086	HonCM-specific
ENSG00000122778	KIAA1549	KIAA1549		Unknown	1		OMIM:618613	6.961325073242188	116.0	True	77.95659790039062	2063.0	False	548.7272064208985	651.0	False	3	1	548.7272064208985	HonCM-specific
ENSG00000008018	PSMB1	PSMB1			1		OMIM:620038	19.35823974609375	39.0	True	89.09154052734375	1481.0	False	544.6448669433594	743.0	False	3	1	544.6448669433594	HonCM-specific
ENSG00000145734	BDP1	BDP1		Unknown	1		OMIM:618257	49.41160278320312	7.0	True	107.76502075195312	119.0	False	543.4189514160156	767.0	False	3	1	543.4189514160156	HonCM-specific
ENSG00000023287	RB1CC1	RB1CC1			1		OMIM:114480	2.7450836181640623	297.0	False	115.01624145507812	17.0	True	542.4415344238281	791.0	False	3	1	542.4415344238281	HuangfuDE-specific
ENSG00000116580	GON4L	GON4L		Unknown	1		OMIM:621212	14.802542114257813	55.0	True	104.9870849609375	200.0	False	541.7276641845704	805.0	False	3	1	541.7276641845704	HonCM-specific
ENSG00000069011	PITX1	PITX1	Paired-related HD factors	Homeodomain	1		OMIM:119800	1.3749847412109375	886.0	False	112.20086669921876	37.0	True	539.140283203125	863.0	False	3	1	539.140283203125	HuangfuDE-specific
ENSG00000105610	KLF1	KLF1	Three-zinc finger Kruppel-related	C2H2 ZF	4		OMIM:111150;OMIM:613566;OMIM:613673;OMIM:620969	1.3838226318359377	872.0	False	114.00497436523438	21.0	True	537.6418518066406	887.0	False	3	1	537.6418518066406	HuangfuDE-specific
ENSG00000075426	FOSL2	FOSL2	Fos-related	bZIP	1		OMIM:620789	1.176214599609375	1146.0	False	112.60972900390624	33.0	True	535.6617401123046	930.0	False	3	1	535.6617401123046	HuangfuDE-specific
ENSG00000100393	EP300	EP300		Unknown	4		OMIM:114500;OMIM:180849;OMIM:613684;OMIM:618333	8.453854370117188	96.0	True	97.286328125	726.0	False	535.194204711914	938.0	False	3	1	535.194204711914	HonCM-specific
ENSG00000078246	TULP3	TULP3			1		OMIM:619902	15.362057495117188	54.0	True	92.87569580078124	1105.0	False	534.1726898193359	966.0	False	3	1	534.1726898193359	HonCM-specific
ENSG00000100987	VSX1	VSX1	Paired-related HD factors	Homeodomain	2		OMIM:148300;OMIM:614195	1.04049072265625	1366.0	False	110.37670288085936	64.0	True	531.3244995117187	1017.0	False	3	1	531.3244995117187	HuangfuDE-specific
ENSG00000005073	HOXA11	HOXA11		Homeodomain	1		OMIM:605432	0.9963348388671877	1449.0	False	111.29627685546876	47.0	True	531.033578491211	1021.0	False	3	1	531.033578491211	HuangfuDE-specific
ENSG00000182759	MAFA	MAFA	Maf-related	bZIP	1		OMIM:147630	9.62696533203125	82.0	True	88.40175170898438	1536.0	False	529.4458557128906	1048.0	False	3	1	529.4458557128906	HonCM-specific
ENSG00000138095	LRPPRC	LRPPRC			1		OMIM:220111	7.009268188476563	114.0	True	80.67064819335937	1977.0	False	526.5346710205079	1103.0	False	3	1	526.5346710205079	HonCM-specific
ENSG00000135829	DHX9	DHX9			1		OMIM:620988	6.968862915039063	115.0	True	82.50353393554687	1901.0	False	525.6525665283203	1120.0	False	3	1	525.6525665283203	HonCM-specific
ENSG00000178691	SUZ12	SUZ12		Unknown	1		OMIM:618786	10.955075073242188	77.0	True	106.93052368164062	135.0	False	522.7575408935547	1176.0	False	3	1	522.7575408935547	HonCM-specific
ENSG00000102901	CENPT	CENPT		Unknown	1		OMIM:618702	22.061456298828126	23.0	True	104.66974487304688	216.0	False	521.7324493408203	1195.0	False	3	1	521.7324493408203	HonCM-specific
ENSG00000165916	PSMC3	PSMC3			1		OMIM:619354	5.469076538085938	147.0	True	84.90172729492187	1773.0	False	520.7784973144531	1214.0	False	3	1	520.7784973144531	HonCM-specific
ENSG00000064490	RFXANK	RFXANK		Unknown	1		OMIM:620815	0.893603515625	1638.0	False	112.20889892578126	36.0	True	516.23759765625	1313.0	False	3	1	516.23759765625	HuangfuDE-specific
ENSG00000197780	TAF13	TAF13		Unknown	1		OMIM:617432	5.142974853515625	150.0	True	97.45389404296876	702.0	False	513.598599243164	1366.0	False	3	1	513.598599243164	HonCM-specific
ENSG00000137203	TFAP2A	TFAP2A	AP-2	AP-2	1		OMIM:113620	1.08291015625	1293.0	False	111.90665283203126	40.0	True	512.1638275146485	1395.0	False	3	1	512.1638275146485	HuangfuDE-specific
ENSG00000130816	DNMT1	DNMT1		CxxC	2		OMIM:604121;OMIM:614116	5.096481323242188	151.0	True	104.86182250976564	204.0	False	507.5288482666016	1488.0	False	3	1	507.5288482666016	HonCM-specific
ENSG00000099949	LZTR1	LZTR1		Unknown	3		OMIM:605275;OMIM:615670;OMIM:616564	1.6978271484375	631.0	False	114.49506225585938	19.0	True	501.9032806396484	1584.0	False	3	1	501.9032806396484	HuangfuDE-specific
ENSG00000101096	NFATC2	NFATC2		Rel	1		OMIM:620232	1.6496917724609377	660.0	False	121.32630004882812	4.0	True	501.528759765625	1588.0	False	3	1	501.528759765625	HuangfuDE-specific
ENSG00000141052	MYOCD	MYOCD		Unknown	1		OMIM:618719	10.424954223632811	80.0	True	105.26492919921876	192.0	False	498.9197387695313	1633.0	False	3	1	498.9197387695313	HonCM-specific
ENSG00000189079	ARID2	ARID2		ARID/BRIGHT; RFX	1		OMIM:617808	7.119454956054687	112.0	True	91.94561157226562	1206.0	False	498.50368041992186	1644.0	False	3	1	498.50368041992186	HonCM-specific
ENSG00000125845	BMP2	BMP2		Unknown	3		OMIM:112600;OMIM:235200;OMIM:617877	1.620489501953125	684.0	False	110.27189331054689	68.0	True	497.724658203125	1653.0	False	3	1	497.724658203125	HuangfuDE-specific
ENSG00000134874	DZIP1	DZIP1		C2H2 ZF	2		OMIM:610840;OMIM:619102	1.04166259765625	1360.0	False	110.78375244140624	58.0	True	496.6820129394531	1673.0	False	3	1	496.6820129394531	HuangfuDE-specific
ENSG00000115568	ZNF142	ZNF142	Factors with multiple dispersed zinc fingers	C2H2 ZF	1		OMIM:618425	17.6721923828125	44.0	True	90.30079345703123	1385.0	False	488.8337463378906	1764.0	False	3	1	488.8337463378906	HonCM-specific
ENSG00000132170	PPARG	PPARG	Thyroid hormone receptor-related factors (NR1)	Nuclear receptor	3		OMIM:125853;OMIM:601665;OMIM:604367	1.030621337890625	1381.0	False	113.08827514648438	30.0	True	484.4239318847656	1824.0	False	3	1	484.4239318847656	HuangfuDE-specific
ENSG00000108064	TFAM	TFAM		HMG/Sox	1		OMIM:617156	4.866519165039063	158.0	True	75.35988159179688	2106.0	False	478.40525512695314	1897.0	False	3	1	478.40525512695314	HonCM-specific
ENSG00000106479	ZNF862	ZNF862		Unknown	1		OMIM:620999				110.90643310546876	55.0	True	474.47259521484375	1932.0	False	2	1	474.47259521484375	HonCM-specific
ENSG00000168036	CTNNB1	CTNNB1		Unknown	7		OMIM:114500;OMIM:114550;OMIM:132600;OMIM:155255;OMIM:167000;OMIM:615075;OMIM:617572	17.70640869140625	43.0	True	97.1581787109375	743.0	False	472.57765502929686	1953.0	False	3	1	472.57765502929686	HonCM-specific
ENSG00000198026	ZNF335	ZNF335	Other factors with up to three adjacent zinc fingers	C2H2 ZF	1		OMIM:615095	14.172366333007812	61.0	True	86.82776489257813	1652.0	False	471.6592651367188	1962.0	False	3	1	471.6592651367188	HonCM-specific
ENSG00000161980	POLR3K	POLR3K			1		OMIM:619310	11.8353515625	73.0	True	92.68348999023438	1128.0	False	467.9773071289063	1992.0	False	3	1	467.9773071289063	HonCM-specific
ENSG00000112592	TBP	TBP		TBP	2		OMIM:168600;OMIM:607136	9.1297119140625	85.0	True	90.44459228515623	1373.0	False	463.7576965332031	2016.0	False	3	1	463.7576965332031	HonCM-specific
ENSG00000079432	CIC	CIC		HMG/Sox	1		OMIM:617600	7.2952392578125	109.0	True	87.65824584960937	1595.0	False	461.7063171386719	2029.0	False	3	1	461.7063171386719	HonCM-specific
ENSG00000165060	FXN	FXN			2		OMIM:229300;OMIM:601992	20.913482666015625	29.0	True	92.24005737304688	1170.0	False	454.64760131835936	2063.0	False	3	1	454.64760131835936	HonCM-specific
ENSG00000163161	ERCC3	ERCC3		Unknown	2		OMIM:610651;OMIM:616390	58.46024169921875	4.0	True	74.34852905273438	2118.0	False	438.7892822265625	2106.0	False	3	1	438.7892822265625	HonCM-specific
ENSG00000119041	GTF3C3	GTF3C3			1		OMIM:621201	222.0182678222656	1.0	True	71.052978515625	2147.0	False	333.9814453125	2165.0	False	3	1	333.9814453125	HonCM-specific
ENSG00000065526	SPEN	SPEN		Unknown	1		OMIM:619312	2.156475830078125	440.0	False	91.06763916015623	1300.0	False	601.0509399414062	87.0	False	3	0	601.0509399414062	convergent_nonsignificant
ENSG00000141579	ZNF750	ZNF750		C2H2 ZF	1		OMIM:610227				82.46549682617187	1903.0	False	600.5780944824219	88.0	False	2	0	600.5780944824219	convergent_nonsignificant
ENSG00000198807	PAX9	PAX9	Paired domain only	Paired box	1		OMIM:604625	0.9884979248046876	1462.0	False	99.54750366210938	525.0	False	598.8065979003907	93.0	False	3	0	598.8065979003907	convergent_nonsignificant
ENSG00000179774	ATOH7	ATOH7	Tal-related	bHLH	1		OMIM:221900	1.1923980712890625	1120.0	False	77.81558837890626	2066.0	False	598.2232269287109	94.0	False	3	0	598.2232269287109	convergent_nonsignificant
ENSG00000108813	DLX4	DLX4		Homeodomain	1		OMIM:616788	2.0968475341796875	458.0	False	80.77566528320312	1972.0	False	597.5477935791016	97.0	False	3	0	597.5477935791016	convergent_nonsignificant
ENSG00000178919	FOXE1	FOXE1	FOX	Forkhead	2		OMIM:241850;OMIM:616534	1.2305023193359377	1073.0	False	106.88345336914062	138.0	False	597.4914733886719	99.0	False	3	0	597.4914733886719	convergent_nonsignificant
ENSG00000043355	ZIC2	ZIC2		C2H2 ZF	1		OMIM:609637	3.051947021484375	265.0	False	77.15357055664063	2078.0	False	596.4235748291015	106.0	False	3	0	596.4235748291015	convergent_nonsignificant
ENSG00000168453	HR	HR		Unknown	2		OMIM:203655;OMIM:209500	1.0020782470703125	1436.0	False	88.49512939453125	1529.0	False	595.2341827392578	110.0	False	3	0	595.2341827392578	convergent_nonsignificant
ENSG00000156150	ALX3	ALX3	Paired-related HD factors	Homeodomain	1		OMIM:136760	1.5376708984375	729.0	False	87.62981567382812	1597.0	False	595.2303466796875	111.0	False	3	0	595.2303466796875	convergent_nonsignificant
ENSG00000120149	MSX2	MSX2	NK	Homeodomain	3		OMIM:168500;OMIM:168550;OMIM:604757	3.237078857421875	240.0	False	96.71179809570312	791.0	False	594.9906341552735	113.0	False	3	0	594.9906341552735	convergent_nonsignificant
ENSG00000180053	NKX2-6	NKX2-6		Homeodomain	1		OMIM:217095	1.246441650390625	1044.0	False	104.9736083984375	201.0	False	594.4267303466797	116.0	False	3	0	594.4267303466797	convergent_nonsignificant
ENSG00000163064	EN1	EN1	NK	Homeodomain	1		OMIM:619218	0.96343994140625	1511.0	False	100.9602783203125	422.0	False	592.7290496826172	127.0	False	3	0	592.7290496826172	convergent_nonsignificant
ENSG00000203883	SOX18	SOX18	SOX-related factors	HMG/Sox	2		OMIM:137940;OMIM:607823	0.8705474853515625	1672.0	False	77.9719482421875	2062.0	False	592.5472106933594	128.0	False	3	0	592.5472106933594	convergent_nonsignificant
ENSG00000117595	IRF6	IRF6	Interferon-regulatory factors	IRF	3		OMIM:119300;OMIM:119500;OMIM:608864	0.842266845703125	1719.0	False	76.93046875	2081.0	False	590.0234008789063	140.0	False	3	0	590.0234008789063	convergent_nonsignificant
ENSG00000204498	NFKBIL1	NFKBIL1		Unknown	1		OMIM:180300	0.9697662353515624	1496.0	False	85.69729614257812	1723.0	False	589.6458618164063	144.0	False	3	0	589.6458618164063	convergent_nonsignificant
ENSG00000176842	IRX5	IRX5	TALE-type HD	Homeodomain	1		OMIM:611174	2.724456787109375	306.0	False	95.80708618164064	865.0	False	589.1185760498047	146.0	False	3	0	589.1185760498047	convergent_nonsignificant
ENSG00000136367	ZFHX2	ZFHX2		Homeodomain	1		OMIM:147430	1.1130157470703126	1251.0	False	93.32669067382812	1072.0	False	588.7568634033203	149.0	False	3	0	588.7568634033203	convergent_nonsignificant
ENSG00000112182	BACH2	BACH2	Jun-related	bZIP	1		OMIM:618394	0.69796142578125	1908.0	False	102.49125366210936	321.0	False	588.7438873291015	150.0	False	3	0	588.7438873291015	convergent_nonsignificant
ENSG00000126012	KDM5C	KDM5C		ARID/BRIGHT	1		OMIM:300534	0.955340576171875	1517.0	False	86.69296264648438	1663.0	False	587.3581237792969	160.0	False	3	0	587.3581237792969	convergent_nonsignificant
ENSG00000143365	RORC	RORC	Thyroid hormone receptor-related factors (NR1)	Nuclear receptor	1		OMIM:616622	4.41873779296875	178.0	False	90.85297241210938	1323.0	False	587.0199645996094	164.0	False	3	0	587.0199645996094	convergent_nonsignificant
ENSG00000118260	CREB1	CREB1	CREB-related factors	bZIP	1		OMIM:612160	0.9554901123046876	1516.0	False	101.11324462890624	413.0	False	585.6835540771484	181.0	False	3	0	585.6835540771484	convergent_nonsignificant
ENSG00000110693	SOX6	SOX6		HMG/Sox	1		OMIM:618971	1.7650604248046875	589.0	False	106.09871826171874	163.0	False	584.2164978027344	192.0	False	3	0	584.2164978027344	convergent_nonsignificant
ENSG00000275410	HNF1B	HNF1B	POU domain factors	Homeodomain	3		OMIM:125853;OMIM:137920;OMIM:144700	0.8817962646484375	1654.0	False	50.9540283203125	2165.0	False	584.0865234375	195.0	False	3	0	584.0865234375	convergent_nonsignificant
ENSG00000108001	EBF3	EBF3	Early B-Cell Factor-related factors	EBF1	1		OMIM:617330	0.9248199462890624	1567.0	False	81.85650024414062	1930.0	False	583.4051635742187	199.0	False	3	0	583.4051635742187	convergent_nonsignificant
ENSG00000124766	SOX4	SOX4	SOX-related factors	HMG/Sox	1		OMIM:618506	1.6242523193359375	681.0	False	91.665966796875	1238.0	False	582.5888793945312	204.0	False	3	0	582.5888793945312	convergent_nonsignificant
ENSG00000152977	ZIC1	ZIC1	More than 3 adjacent zinc fingers	C2H2 ZF	2		OMIM:616602;OMIM:618736	1.3619537353515625	906.0	False	80.06928100585938	1998.0	False	582.5344360351562	205.0	False	3	0	582.5344360351562	convergent_nonsignificant
ENSG00000158055	GRHL3	GRHL3		Grainyhead	1		OMIM:606713	1.611993408203125	690.0	False	79.65242919921874	2013.0	False	582.368862915039	206.0	False	3	0	582.368862915039	convergent_nonsignificant
ENSG00000138311	ZNF365	ZNF365		C2H2 ZF	1		OMIM:605990	1.206121826171875	1106.0	False	74.79410400390626	2113.0	False	582.3547119140625	207.0	False	3	0	582.3547119140625	convergent_nonsignificant
ENSG00000131127	ZNF141	ZNF141		C2H2 ZF	1		OMIM:615226	0.9015777587890624	1622.0	False	97.428955078125	706.0	False	581.795132446289	212.0	False	3	0	581.795132446289	convergent_nonsignificant
ENSG00000164736	SOX17	SOX17		HMG/Sox	2		OMIM:613674;OMIM:621248	1.7957244873046876	567.0	False	83.09949951171875	1880.0	False	581.765576171875	213.0	False	3	0	581.765576171875	convergent_nonsignificant
ENSG00000169554	ZEB2	ZEB2	HD-ZF	C2H2 ZF; Homeodomain	1		OMIM:235730	0.9445068359375	1539.0	False	87.99259033203126	1564.0	False	581.3150817871094	214.0	False	3	0	581.3150817871094	convergent_nonsignificant
ENSG00000176887	SOX11	SOX11		HMG/Sox	1		OMIM:615866	2.7560455322265627	296.0	False	99.81689453125	506.0	False	580.9469055175781	216.0	False	3	0	580.9469055175781	convergent_nonsignificant
ENSG00000121653	MAPK8IP1	MAPK8IP1			1		OMIM:125853	3.743939208984375	208.0	False	105.61127319335938	180.0	False	580.8558013916015	217.0	False	3	0	580.8558013916015	convergent_nonsignificant
ENSG00000137265	IRF4	IRF4	Interferon-regulatory factors	IRF	2		OMIM:611724;OMIM:621097	2.493515014648437	346.0	False	103.84732666015626	251.0	False	580.648812866211	221.0	False	3	0	580.648812866211	convergent_nonsignificant
ENSG00000182944	EWSR1	EWSR1		Unknown	1		OMIM:612219	1.0898040771484374	1280.0	False	95.65855102539062	879.0	False	580.1105102539062	224.0	False	3	0	580.1105102539062	convergent_nonsignificant
ENSG00000148516	ZEB1	ZEB1	HD-ZF factors	C2H2 ZF; Homeodomain	2		OMIM:609141;OMIM:613270	1.1648681640625	1171.0	False	92.26226196289062	1168.0	False	579.8746795654297	227.0	False	3	0	579.8746795654297	convergent_nonsignificant
ENSG00000183733	FIGLA	FIGLA	Tal-related	bHLH	1		OMIM:612310	1.50032958984375	770.0	False	91.41763916015626	1263.0	False	579.1099029541016	229.0	False	3	0	579.1099029541016	convergent_nonsignificant
ENSG00000100207	TCF20	TCF20		Unknown	1		OMIM:618430	1.9769073486328128	496.0	False	77.87169799804687	2065.0	False	577.5490844726562	246.0	False	3	0	577.5490844726562	convergent_nonsignificant
ENSG00000101126	ADNP	ADNP		Homeodomain	1		OMIM:615873	1.02576904296875	1388.0	False	88.95036010742187	1493.0	False	577.2775787353515	247.0	False	3	0	577.2775787353515	convergent_nonsignificant
ENSG00000061337	LZTS1	LZTS1		Unknown	1		OMIM:133239	1.4586395263671874	812.0	False	87.919580078125	1570.0	False	576.6887237548829	256.0	False	3	0	576.6887237548829	convergent_nonsignificant
ENSG00000052850	ALX4	ALX4		Homeodomain	3		OMIM:609597;OMIM:613451;OMIM:615529	1.04437255859375	1355.0	False	87.82459716796875	1581.0	False	575.5196533203125	264.0	False	3	0	575.5196533203125	convergent_nonsignificant
ENSG00000107485	GATA3	GATA3	C4-GATA-related	GATA	1		OMIM:146255	0.779669189453125	1827.0	False	90.0867431640625	1406.0	False	575.4296813964844	265.0	False	3	0	575.4296813964844	convergent_nonsignificant
ENSG00000049768	FOXP3	FOXP3	FOX	Forkhead	1		OMIM:304790	1.2342926025390626	1068.0	False	101.72981567382811	368.0	False	573.2880340576172	279.0	False	3	0	573.2880340576172	convergent_nonsignificant
ENSG00000101266	CSNK2A1	CSNK2A1			1		OMIM:617062	3.356637573242188	226.0	False	94.20072631835936	992.0	False	573.1824340820312	280.0	False	3	0	573.1824340820312	convergent_nonsignificant
ENSG00000148400	NOTCH1	NOTCH1		Unknown	2		OMIM:109730;OMIM:616028	4.3097991943359375	181.0	False	99.61323852539064	518.0	False	572.8664398193359	283.0	False	3	0	572.8664398193359	convergent_nonsignificant
ENSG00000168269	FOXI1	FOXI1	FOX	Forkhead	2		OMIM:274600;OMIM:600791	1.4786590576171874	786.0	False	81.72158203125	1932.0	False	571.8830291748047	295.0	False	3	0	571.8830291748047	convergent_nonsignificant
ENSG00000133937	GSC	GSC	Paired-related HD factors	Homeodomain	1		OMIM:602471	1.3404449462890624	932.0	False	106.0108154296875	167.0	False	571.7913513183594	297.0	False	3	0	571.7913513183594	convergent_nonsignificant
ENSG00000179111	HES7	HES7	Hairy-related factors	bHLH	1		OMIM:613686	1.1921783447265626	1122.0	False	91.65869140625	1239.0	False	571.4524353027343	298.0	False	3	0	571.4524353027343	convergent_nonsignificant
ENSG00000138083	SIX3	SIX3		Homeodomain	2		OMIM:157170;OMIM:269160	0.765887451171875	1843.0	False	88.8036376953125	1509.0	False	571.154833984375	303.0	False	3	0	571.154833984375	convergent_nonsignificant
