guide_id	gene_name	log2_fc	p_value	dataset	lab
ARID1B#chr6:156779148-156779166(+)	ARID1B	0.022526901	0.7630489118278043	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
ARID1B#chr6:156779041-156779059(-)	ARID1B	-0.063564315	0.4538909252062341	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
ARID1B#chr6:156779151-156779169(+)	ARID1B	-0.049539354	0.5707261947035847	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
ARID1B#chr6:156779179-156779197(-)	ARID1B	-0.3256222	0.0043195375846065	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
ARID1B#chr6:156779185-156779203(-)	ARID1B	-0.18975267	0.0306826876884965	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
ARID1B#chr6:156779212-156779230(+)	ARID1B	-0.13347265	0.0927646455603188	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
ARNT#chr1:150876336-150876354(-)	ARNT	0.15053122	0.8505861830973237	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
ARNT#chr1:150876694-150876712(+)	ARNT	-0.0884853	0.6110178360239603	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
ARNT#chr1:150876534-150876552(-)	ARNT	-0.9440433	0.0008080018943093	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
ARNT#chr1:150876496-150876514(-)	ARNT	-0.24866518	0.239601206184476	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
ARNT#chr1:150876545-150876563(-)	ARNT	-1.1951715	9.952911931506254e-05	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
ARNT#chr1:150876540-150876558(-)	ARNT	-0.6211144	0.0014534954426041	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
CLOCK#chr4:55546719-55546737(+)	CLOCK	-0.30787617	0.2676882937341426	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
CLOCK#chr4:55546809-55546827(-)	CLOCK	-0.41485888	0.1558737413319229	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
CLOCK#chr4:55546763-55546781(+)	CLOCK	-0.49994394	0.4159735404548529	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
CLOCK#chr4:55546778-55546796(+)	CLOCK	-0.59138405	0.0666930096673836	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
CLOCK#chr4:55546817-55546835(-)	CLOCK	0.20491388	0.4054633090747118	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
CLOCK#chr4:55546775-55546793(+)	CLOCK	-0.25542742	0.3546912941477002	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
CREBBP#chr16:3880184-3880202(-)	CREBBP	-0.3515196	0.0074142861437605	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
CREBBP#chr16:3880190-3880208(+)	CREBBP	-0.30455917	0.0059715444293467	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
CREBBP#chr16:3880623-3880641(+)	CREBBP	-0.39355066	0.3235390686845178	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
CREBBP#chr16:3880650-3880668(-)	CREBBP	-0.08323961	0.4990083333138171	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
CREBBP#chr16:3880675-3880693(+)	CREBBP	-0.45543268	0.0008915402121196	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
CREBBP#chr16:3880656-3880674(+)	CREBBP	-0.89887583	0.0001654077196159	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
CTNNB1#chr3:41199530-41199548(+)	CTNNB1	-0.63255566	3.4760154743587184e-17	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
CTNNB1#chr3:41199540-41199558(+)	CTNNB1	-1.2719122	0.0031281166360499	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
CTNNB1#chr3:41199687-41199705(-)	CTNNB1	-0.690256	6.862236785159566e-13	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
CTNNB1#chr3:41199513-41199531(+)	CTNNB1	-0.6629806	2.0251975266954038e-10	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
CTNNB1#chr3:41199692-41199710(-)	CTNNB1	-0.7314036	2.9423146709579564e-16	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
CTNNB1#chr3:41199511-41199529(-)	CTNNB1	-0.55389696	1.8044185356495487e-08	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
EED#chr11:86244792-86244810(+)	EED	-0.28332523	0.1479037873353113	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
EED#chr11:86244781-86244799(+)	EED	-0.19102	0.4386863115191763	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
EED#chr11:86244814-86244832(+)	EED	-0.11531598	0.5534026042769022	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
EED#chr11:86244776-86244794(+)	EED	-0.31351358	0.0508434334583922	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
EED#chr11:86244821-86244839(+)	EED	-0.13367796	0.7285336860320557	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
EED#chr11:86245196-86245214(+)	EED	-0.57340527	0.1042049131837301	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
EP300#chr22:41091729-41091747(-)	EP300	-0.42394808	0.1421551162306669	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
EP300#chr22:41091738-41091756(+)	EP300	-0.2851266	0.2509093730682854	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
EP300#chr22:41091897-41091915(+)	EP300	-0.20606527	0.1587169998012961	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
EP300#chr22:41091822-41091840(+)	EP300	-0.14718166	0.4444174322884432	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
EP300#chr22:41092885-41092903(-)	EP300	-0.2571433	0.0430850494117361	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
EP300#chr22:41091732-41091750(+)	EP300	-0.24734549	0.2563671891777149	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
EZH2#chr7:148883770-148883788(+)	EZH2	-0.57681465	0.0009548712906111	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
EZH2#chr7:148884246-148884264(+)	EZH2	-0.8122509	0.0028557000340972	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
EZH2#chr7:148884043-148884061(+)	EZH2	-0.90513414	0.0003253334134919	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
EZH2#chr7:148884274-148884292(+)	EZH2	-0.71035063	0.0004392222392563	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
EZH2#chr7:148884256-148884274(-)	EZH2	-0.47679684	0.0780747244654308	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
EZH2#chr7:148883814-148883832(-)	EZH2	-1.0293616	2.912564103759457e-05	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
HDAC1#chr1:32292165-32292183(+)	HDAC1	-1.6528562	7.603405723676701e-16	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
HDAC1#chr1:32292131-32292149(+)	HDAC1	-0.14233653	0.0608097820002658	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
HDAC1#chr1:32292504-32292522(+)	HDAC1	-1.4263526	4.53056780123152e-05	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
HDAC1#chr1:32292127-32292145(+)	HDAC1	-0.31054717	9.772083088437405e-05	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
HDAC1#chr1:32292593-32292611(-)	HDAC1	-2.2454197	3.096854462776987e-13	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
HDAC1#chr1:32292175-32292193(+)	HDAC1	-0.9609442	3.699397768794397e-05	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
HIF1A#chr14:61695524-61695542(+)	HIF1A	-0.6162181	0.045294436194439	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
HIF1A#chr14:61695519-61695537(+)	HIF1A	-0.53616536	0.0015719271994091	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
HIF1A#chr14:61695556-61695574(-)	HIF1A	-1.3087301	9.274279585514785e-08	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
HIF1A#chr14:61695530-61695548(-)	HIF1A	-1.5545931	1.201611173227156e-07	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
HIF1A#chr14:61695592-61695610(-)	HIF1A	-0.66576314	0.0049993967155774	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
HIF1A#chr14:61695605-61695623(-)	HIF1A	-0.77167684	0.000190671247016	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
HMGA2#chr12:65825064-65825082(-)	HMGA2	-0.80743355	1.5672101290628762e-05	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
HMGA2#chr12:65825073-65825091(+)	HMGA2	-0.6647685	0.0032060556562761	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
HMGA2#chr12:65825085-65825103(+)	HMGA2	-0.47425017	2.755316719908916e-05	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
HMGA2#chr12:65825083-65825101(-)	HMGA2	-1.2520618	2.038360089755155e-08	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
HMGA2#chr12:65825182-65825200(-)	HMGA2	-1.4337925	1.0136780326480317e-19	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
HMGA2#chr12:65825304-65825322(-)	HMGA2	-0.7211006	0.0006866244938401	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
JARID2#chr6:15246061-15246079(-)	JARID2	0.055145957	0.6030638429860092	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
JARID2#chr6:15246032-15246050(-)	JARID2	-0.0763883	0.4977129139614714	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
JARID2#chr6:15246064-15246082(-)	JARID2	0.049806874	0.5796447913095182	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
JARID2#chr6:15245952-15245970(+)	JARID2	-0.08945536	0.2390801648380869	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
JARID2#chr6:15246067-15246085(-)	JARID2	0.025723	0.7707256654075679	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
JARID2#chr6:15246019-15246037(+)	JARID2	-0.08302106	0.4878974951228768	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
KLF6#chr10:3784753-3784771(+)	KLF6	-0.7899148	0.0105267257974298	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
KLF6#chr10:3784981-3784999(+)	KLF6	-1.3621978	1.4148023567138716e-05	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
KLF6#chr10:3784794-3784812(-)	KLF6	-0.1844924	0.0791547237946291	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
KLF6#chr10:3784955-3784973(+)	KLF6	-0.33579153	0.0768613069792552	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
KLF6#chr10:3784918-3784936(+)	KLF6	-1.0337977	4.0464787750096136e-05	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
KLF6#chr10:3784756-3784774(+)	KLF6	-0.963451	0.0159903577715318	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
NANOG#chr12:7789786-7789804(-)	NANOG	-0.043245405	0.9247888099178174	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
NANOG#chr12:7789901-7789919(-)	NANOG	-1.276883	0.1031409096108039	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
NANOG#chr12:7789867-7789885(-)	NANOG	-0.6657548	0.0001232618090068	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
NANOG#chr12:7789912-7789930(+)	NANOG	0.30006665	0.0970009166789357	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
NANOG#chr12:7789883-7789901(+)	NANOG	-0.3375181	0.6071316948985538	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
NANOG#chr12:7789847-7789865(-)	NANOG	-0.12251094	0.7132655595569284	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
NFIB#chr9:14314037-14314055(+)	NFIB	-0.6899877	3.511640904881386e-05	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
NFIB#chr9:14314558-14314576(-)	NFIB	-0.31726342	0.1301873266060604	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
NFIB#chr9:14314053-14314071(+)	NFIB	-1.6709807	0.0001993142150692	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
NFIB#chr9:14314353-14314371(+)	NFIB	-1.2806747	3.557510665084148e-11	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
NFIB#chr9:14314564-14314582(-)	NFIB	0.16647945	0.6551795653716189	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
NFIB#chr9:14314567-14314585(-)	NFIB	-1.3338705	1.5020192313900516e-05	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
POU5F1#chr6:31170169-31170187(-)	POU5F1	0.14601703	0.4753637112853426	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
POU5F1#chr6:31170654-31170672(+)	POU5F1	-0.18829824	0.6890938862386795	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
POU5F1#chr6:31170203-31170221(+)	POU5F1	-0.29085797	1.5680037251804728e-08	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
POU5F1#chr6:31170652-31170670(-)	POU5F1	-0.03195021	0.4121639840969038	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
POU5F1#chr6:31170702-31170720(-)	POU5F1	-0.32965496	0.0953085092863856	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
POU5F1#chr6:31170199-31170217(-)	POU5F1	-0.11054639	0.5045253876779606	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
POU5F1#chr6:31180431-31180449(-)	POU5F1	-0.006054708	0.8961215880091791	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
POU5F1#chr6:31180445-31180463(+)	POU5F1	-0.05261313	0.322224716692098	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
POU5F1#chr6:31180648-31180666(+)	POU5F1	-0.03867181	0.3413331734284225	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
POU5F1#chr6:31180664-31180682(+)	POU5F1	0.068970025	0.2037316899834046	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
POU5F1#chr6:31180692-31180710(-)	POU5F1	-0.26851955	1.1029912332795552e-14	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
POU5F1#chr6:31180667-31180685(+)	POU5F1	-0.03369095	0.4182714888349035	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
REST#chr4:56907930-56907948(+)	REST	-0.22357999	0.0546757814033493	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
REST#chr4:56908287-56908305(+)	REST	-0.429126	0.0113302966151859	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
REST#chr4:56908123-56908141(-)	REST	0.046247978	0.8836629928343023	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
REST#chr4:56907913-56907931(+)	REST	-0.94573414	3.7817352571442784e-15	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
REST#chr4:56908162-56908180(+)	REST	0.047823217	0.5702054786266573	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
REST#chr4:56907941-56907959(-)	REST	-0.11798673	0.3772267666164166	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
REST#chr4:56908921-56908939(+)	REST	-0.046495784	0.5466541558193432	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
REST#chr4:56908984-56909002(-)	REST	-0.016044853	0.8617777980158158	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
REST#chr4:56908960-56908978(-)	REST	0.17525582	0.1515775578312412	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
REST#chr4:56908955-56908973(+)	REST	-0.27288422	0.0158933920953774	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
REST#chr4:56909347-56909365(-)	REST	-0.31110778	0.0101507604683322	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
REST#chr4:56908979-56908997(+)	REST	-0.18410711	0.056396253176354	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SALL4#chr20:51801947-51801965(+)	SALL4	-0.52775544	0.0368597090015396	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SALL4#chr20:51802216-51802234(-)	SALL4	-1.91732	0.0005777572746452	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SALL4#chr20:51802001-51802019(+)	SALL4	-1.0956975	0.0033938692810992	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SALL4#chr20:51802458-51802476(-)	SALL4	-0.83222455	0.0151935075196747	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SALL4#chr20:51802403-51802421(+)	SALL4	-0.8025101	0.0083235955871035	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SALL4#chr20:51801991-51802009(+)	SALL4	-1.3800726	0.0006771791165293	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMAD3#chr15:67065846-67065864(-)	SMAD3	-0.13537458	0.4593355397336366	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMAD3#chr15:67065928-67065946(-)	SMAD3	-1.5626482	8.200636357786363e-10	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMAD3#chr15:67065899-67065917(-)	SMAD3	-0.9200077	0.0012828541846167	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMAD3#chr15:67065895-67065913(-)	SMAD3	-0.7894174	0.0001343727956175	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMAD3#chr15:67066195-67066213(+)	SMAD3	-0.39988917	0.4558584432495884	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMAD3#chr15:67065923-67065941(-)	SMAD3	-0.5522678	0.0679672259445116	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMAD4#chr18:51030267-51030285(+)	SMAD4	-0.04479299	0.8058755136764569	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMAD4#chr18:51030218-51030236(+)	SMAD4	-0.100874186	0.6130885671033172	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMAD4#chr18:51030318-51030336(-)	SMAD4	0.1284987	0.8283136109744222	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMAD4#chr18:51030262-51030280(+)	SMAD4	-0.370004	0.0090162514301888	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMAD4#chr18:51030678-51030696(-)	SMAD4	-2.3632414	8.479148900922831e-06	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMAD4#chr18:51030257-51030275(-)	SMAD4	-0.90814674	9.729037758666315e-06	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCA2#chr9:2015338-2015356(-)	SMARCA2	-0.066389486	0.812281764755884	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCA2#chr9:2015547-2015565(+)	SMARCA2	0.09813561	0.5939398899504391	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCA2#chr9:2015348-2015366(+)	SMARCA2	-0.4320314	0.1656955734227453	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCA2#chr9:2015385-2015403(-)	SMARCA2	-0.04505981	0.899187554870733	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCA2#chr9:2015446-2015464(-)	SMARCA2	-0.258602	0.3647739269796491	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCA2#chr9:2015442-2015460(-)	SMARCA2	-0.3842995	0.2828019626887059	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCA4#chr19:10961052-10961070(-)	SMARCA4	-0.05003991	0.3741202335848442	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCA4#chr19:10961045-10961063(+)	SMARCA4	-0.45811963	0.0023273869852762	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCA4#chr19:10961495-10961513(-)	SMARCA4	-1.1368122	9.599351043838244e-15	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCA4#chr19:10961500-10961518(+)	SMARCA4	-0.5373932	1.7028896309055783e-14	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCA4#chr19:10961507-10961525(-)	SMARCA4	-0.49657342	0.0001072787259386	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCA4#chr19:10961138-10961156(+)	SMARCA4	-0.34952095	0.0001902339116379	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCB1#chr22:23786987-23787005(+)	SMARCB1	-0.67034316	1.2259980015282494e-15	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCB1#chr22:23787375-23787393(+)	SMARCB1	-0.057671156	0.4031148593914427	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCB1#chr22:23786990-23787008(+)	SMARCB1	-0.44249636	5.902098268122409e-05	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCB1#chr22:23786994-23787012(-)	SMARCB1	0.018853357	0.7895483998235456	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCB1#chr22:23787045-23787063(-)	SMARCB1	-1.2331097	3.7834206777072185e-15	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCB1#chr22:23787031-23787049(+)	SMARCB1	-0.6897268	0.207703206463857	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCB1#chr22:23791807-23791825(-)	SMARCB1	0.029395621	0.7541690682509514	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCB1#chr22:23791813-23791831(+)	SMARCB1	-0.06506597	0.6077556236234068	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCB1#chr22:23791794-23791812(+)	SMARCB1	0.17071033	0.1224291124503747	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCB1#chr22:23791773-23791791(-)	SMARCB1	-0.2529893	0.0108558703960739	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCB1#chr22:23791797-23791815(+)	SMARCB1	0.11577319	0.1266221850469456	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCB1#chr22:23791770-23791788(-)	SMARCB1	-0.21324268	0.0323915802201687	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCC1#chr3:47781489-47781507(-)	SMARCC1	-1.0311922	1.2546266515295506e-53	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCC1#chr3:47781383-47781401(+)	SMARCC1	-1.1908039	5.0189257669549824e-21	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCC1#chr3:47781809-47781827(-)	SMARCC1	-1.7228749	9.551293336020936e-19	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCC1#chr3:47781854-47781872(-)	SMARCC1	-0.580433	5.269602266553164e-28	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCC1#chr3:47781830-47781848(-)	SMARCC1	-0.02201446	0.936408196940628	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCC1#chr3:47781840-47781858(-)	SMARCC1	-0.84044766	1.4902041117862577e-33	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCC2#chr12:56189298-56189316(-)	SMARCC2	-0.41910946	0.0850791067980105	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCC2#chr12:56189382-56189400(+)	SMARCC2	-0.63068056	0.0318607992827894	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCC2#chr12:56189458-56189476(-)	SMARCC2	-1.5586721	0.0026679775429341	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCC2#chr12:56189442-56189460(-)	SMARCC2	-2.297629	7.397823115273867e-07	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCC2#chr12:56189461-56189479(-)	SMARCC2	-0.10065934	0.7009671538916489	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCC2#chr12:56189439-56189457(-)	SMARCC2	-0.82171065	0.0052789571041126	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCD1#chr12:50085236-50085254(-)	SMARCD1	-0.6269472	2.9606540004367578e-05	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
SMARCD1#chr12:50085411-50085429(+)	SMARCD1	-0.13875705	0.5384307213391061	Hon_WTC11-benchmark_TF-Perturb-seq	Hon
