,n_cells_crispr,n_cells_hon,delta,abs_delta
EP300#chr22:41091822-41091840(+),40,40,0,0
EP300#chr22:41091897-41091915(+),51,47,4,4
EP300#chr22:41092885-41092903(-),60,52,8,8
ESRRB#chr14:76407528-76407546(-),83,78,5,5
ESRRB#chr14:76407545-76407563(+),75,71,4,4
ESRRB#chr14:76407585-76407603(+),128,126,2,2
ESRRB#chr14:76407595-76407613(+),83,82,1,1
ESRRB#chr14:76407702-76407720(+),63,56,7,7
ESRRB#chr14:76407814-76407832(-),95,93,2,2
EZH2#chr7:148883770-148883788(+),110,108,2,2
EZH2#chr7:148883814-148883832(-),34,31,3,3
EZH2#chr7:148884043-148884061(+),35,32,3,3
EZH2#chr7:148884246-148884264(+),34,32,2,2
EZH2#chr7:148884256-148884274(-),29,27,2,2
EZH2#chr7:148884274-148884292(+),34,34,0,0
HDAC1#chr1:32292127-32292145(+),100,90,10,10
HDAC1#chr1:32292131-32292149(+),159,58,101,101
HDAC1#chr1:32292165-32292183(+),62,58,4,4
HDAC1#chr1:32292175-32292193(+),50,46,4,4
HDAC1#chr1:32292504-32292522(+),15,14,1,1
HDAC1#chr1:32292593-32292611(-),34,32,2,2
HIF1A#chr14:61695519-61695537(+),109,108,1,1
HIF1A#chr14:61695524-61695542(+),43,38,5,5
HIF1A#chr14:61695530-61695548(-),96,91,5,5
HIF1A#chr14:61695556-61695574(-),92,88,4,4
HIF1A#chr14:61695592-61695610(-),89,85,4,4
HIF1A#chr14:61695605-61695623(-),112,110,2,2
HMGA2#chr12:65825064-65825082(-),74,70,4,4
HMGA2#chr12:65825073-65825091(+),76,75,1,1
HMGA2#chr12:65825083-65825101(-),67,65,2,2
HMGA2#chr12:65825085-65825103(+),70,41,29,29
HMGA2#chr12:65825182-65825200(-),92,89,3,3
HMGA2#chr12:65825304-65825322(-),49,47,2,2
JARID2#chr6:15245952-15245970(+),69,68,1,1
JARID2#chr6:15246019-15246037(+),27,23,4,4
JARID2#chr6:15246032-15246050(-),21,15,6,6
JARID2#chr6:15246061-15246079(-),17,14,3,3
JARID2#chr6:15246064-15246082(-),27,27,0,0
JARID2#chr6:15246067-15246085(-),44,40,4,4
KLF4#chr9:107488190-107488208(+),44,43,1,1
KLF4#chr9:107488210-107488228(+),64,59,5,5
KLF4#chr9:107488351-107488369(+),95,88,7,7
KLF4#chr9:107488357-107488375(+),52,49,3,3
KLF4#chr9:107488385-107488403(+),7,4,3,3
KLF4#chr9:107488431-107488449(-),86,85,1,1
KLF4#chr9:107489474-107489492(+),65,63,2,2
KLF4#chr9:107489546-107489564(+),50,46,4,4
KLF4#chr9:107489550-107489568(+),39,35,4,4
KLF4#chr9:107489553-107489571(+),44,43,1,1
KLF4#chr9:107489735-107489753(-),40,38,2,2
KLF4#chr9:107489750-107489768(+),37,33,4,4
KLF6#chr10:3784753-3784771(+),59,58,1,1
KLF6#chr10:3784756-3784774(+),50,46,4,4
KLF6#chr10:3784794-3784812(-),235,87,148,148
KLF6#chr10:3784918-3784936(+),91,84,7,7
KLF6#chr10:3784955-3784973(+),58,54,4,4
KLF6#chr10:3784981-3784999(+),93,89,4,4
LEF1#chr4:108165900-108165918(-),351,80,271,271
LEF1#chr4:108166028-108166046(+),76,70,6,6
LEF1#chr4:108166189-108166207(+),64,61,3,3
LEF1#chr4:108166254-108166272(-),83,78,5,5
LEF1#chr4:108166263-108166281(+),89,88,1,1
LEF1#chr4:108166273-108166291(+),75,72,3,3
LEF1#chr4:108168675-108168693(-),64,58,6,6
LEF1#chr4:108168679-108168697(-),46,44,2,2
LEF1#chr4:108168727-108168745(-),49,47,2,2
LEF1#chr4:108168777-108168795(-),63,59,4,4
LEF1#chr4:108168834-108168852(+),53,50,3,3
LEF1#chr4:108168846-108168864(-),2,2,0,0
MYC#chr8:127735559-127735577(-),98,52,46,46
MYC#chr8:127735640-127735658(-),36,29,7,7
MYC#chr8:127736042-127736060(+),34,29,5,5
MYC#chr8:127736243-127736261(+),20,16,4,4
MYC#chr8:127736323-127736341(+),41,37,4,4
MYC#chr8:127736682-127736700(+),105,99,6,6
NANOG#chr12:7789786-7789804(-),2,1,1,1
NANOG#chr12:7789847-7789865(-),3,2,1,1
NANOG#chr12:7789867-7789885(-),62,56,6,6
NANOG#chr12:7789883-7789901(+),4,3,1,1
NANOG#chr12:7789901-7789919(-),2,2,0,0
NANOG#chr12:7789912-7789930(+),59,50,9,9
NFIB#chr9:14314037-14314055(+),62,57,5,5
NFIB#chr9:14314053-14314071(+),34,26,8,8
NFIB#chr9:14314353-14314371(+),71,62,9,9
NFIB#chr9:14314558-14314576(-),64,64,0,0
NFIB#chr9:14314564-14314582(-),9,9,0,0
NFIB#chr9:14314567-14314585(-),58,56,2,2
NGFRAP1#A,454,453,1,1
NGFRAP1#B,480,490,-10,10
OR10J3#chr1:159314202-159314220(+),78,69,9,9
OR10J3#chr1:159314450-159314468(+),82,80,2,2
OR10J3#chr1:159314543-159314561(+),74,70,4,4
OR10J3#chr1:159314586-159314604(+),106,101,5,5
OR10J3#chr1:159314622-159314640(+),64,59,5,5
OR10J3#chr1:159314635-159314653(+),65,56,9,9
OR2A25#chr7:144074196-144074214(+),86,80,6,6
OR2A25#chr7:144074203-144074221(+),79,76,3,3
OR2A25#chr7:144074317-144074335(+),113,113,0,0
OR2A25#chr7:144074335-144074353(+),55,51,4,4
OR2A25#chr7:144074434-144074452(-),68,59,9,9
OR2A25#chr7:144074604-144074622(-),57,51,6,6
OR2AG2#chr11:6768838-6768856(+),114,83,31,31
OR2AG2#chr11:6768913-6768931(-),90,84,6,6
OR2AG2#chr11:6768936-6768954(-),69,57,12,12
OR2AG2#chr11:6768980-6768998(+),100,97,3,3
OR2AG2#chr11:6769013-6769031(+),54,49,5,5
OR2AG2#chr11:6769024-6769042(+),84,76,8,8
OR2D3#chr11:6921017-6921035(+),93,89,4,4
OR2D3#chr11:6921025-6921043(-),82,73,9,9
OR2D3#chr11:6921033-6921051(+),84,78,6,6
OR2D3#chr11:6921067-6921085(-),79,77,2,2
OR2D3#chr11:6921094-6921112(-),98,97,1,1
OR2D3#chr11:6921202-6921220(-),71,69,2,2
OR2F1#chr7:143959941-143959959(-),73,71,2,2
OR2F1#chr7:143960013-143960031(+),78,74,4,4
OR2F1#chr7:143960021-143960039(-),87,87,0,0
OR2F1#chr7:143960051-143960069(-),92,79,13,13
OR2F1#chr7:143960194-143960212(-),67,63,4,4
OR2F1#chr7:143960359-143960377(-),71,69,2,2
OR4D6#chr11:59456915-59456933(+),70,68,2,2
OR4D6#chr11:59456921-59456939(+),63,55,8,8
OR4D6#chr11:59456943-59456961(+),111,106,5,5
OR4D6#chr11:59456958-59456976(-),120,78,42,42
OR4D6#chr11:59456969-59456987(-),73,72,1,1
OR4D6#chr11:59457005-59457023(-),49,46,3,3
OR4X1#chr11:48263880-48263898(+),57,51,6,6
OR4X1#chr11:48263953-48263971(-),76,66,10,10
OR4X1#chr11:48264090-48264108(-),64,58,6,6
OR4X1#chr11:48264242-48264260(-),107,104,3,3
OR4X1#chr11:48264281-48264299(+),41,35,6,6
OR4X1#chr11:48264286-48264304(-),107,108,-1,1
OR6A2#chr11:6795688-6795706(-),80,59,21,21
OR6A2#chr11:6795708-6795726(-),73,71,2,2
OR6A2#chr11:6795743-6795761(+),86,81,5,5
OR6A2#chr11:6795776-6795794(+),84,79,5,5
OR6A2#chr11:6795803-6795821(+),83,80,3,3
OR6A2#chr11:6795869-6795887(+),67,60,7,7
OR6T1#chr11:123943393-123943411(+),72,69,3,3
OR6T1#chr11:123943516-123943534(+),37,34,3,3
OR6T1#chr11:123943618-123943636(+),58,58,0,0
OR6T1#chr11:123943755-123943773(+),160,88,72,72
OR6T1#chr11:123943767-123943785(+),64,61,3,3
OR6T1#chr11:123943817-123943835(-),45,43,2,2
PAX5#chr9:37033984-37034002(-),7,6,1,1
PAX5#chr9:37034365-37034383(+),67,65,2,2
PAX5#chr9:37034369-37034387(+),21,19,2,2
PAX5#chr9:37034422-37034440(-),110,90,20,20
PAX5#chr9:37034436-37034454(+),74,47,27,27
PAX5#chr9:37034446-37034464(-),51,41,10,10
POU5F1#chr6:31170169-31170187(-),0,0,0,0
POU5F1#chr6:31170199-31170217(-),2,1,1,1
POU5F1#chr6:31170203-31170221(+),26,26,0,0
POU5F1#chr6:31170652-31170670(-),106,103,3,3
POU5F1#chr6:31170702-31170720(-),0,0,0,0
POU5F1#chr6:31180431-31180449(-),54,52,2,2
POU5F1#chr6:31180445-31180463(+),41,39,2,2
POU5F1#chr6:31180648-31180666(+),80,73,7,7
POU5F1#chr6:31180664-31180682(+),55,53,2,2
POU5F1#chr6:31180667-31180685(+),56,52,4,4
POU5F1#chr6:31180692-31180710(-),78,63,15,15
REST#chr4:56907913-56907931(+),87,85,2,2
REST#chr4:56907930-56907948(+),72,69,3,3
REST#chr4:56907941-56907959(-),53,46,7,7
REST#chr4:56908123-56908141(-),11,11,0,0
REST#chr4:56908162-56908180(+),81,79,2,2
REST#chr4:56908287-56908305(+),30,30,0,0
REST#chr4:56908921-56908939(+),126,106,20,20
REST#chr4:56908955-56908973(+),50,49,1,1
REST#chr4:56908960-56908978(-),68,66,2,2
REST#chr4:56908979-56908997(+),62,57,5,5
REST#chr4:56908984-56909002(-),110,90,20,20
REST#chr4:56909347-56909365(-),96,88,8,8
RUNX1#chr21:35048840-35048858(+),90,89,1,1
RUNX1#chr21:35048844-35048862(-),96,89,7,7
RUNX1#chr21:35048923-35048941(-),86,85,1,1
RUNX1#chr21:35049003-35049021(-),52,42,10,10
RUNX1#chr21:35049033-35049051(-),52,51,1,1
RUNX1#chr21:35049166-35049184(+),85,73,12,12
SALL4#chr20:51801947-51801965(+),20,20,0,0
SALL4#chr20:51801991-51802009(+),6,6,0,0
SALL4#chr20:51802001-51802019(+),23,17,6,6
SALL4#chr20:51802216-51802234(-),15,15,0,0
SALL4#chr20:51802403-51802421(+),11,10,1,1
SALL4#chr20:51802458-51802476(-),9,9,0,0
SMAD3#chr15:67065846-67065864(-),83,71,12,12
SMAD3#chr15:67065895-67065913(-),63,62,1,1
SMAD3#chr15:67065899-67065917(-),74,67,7,7
SMAD3#chr15:67065923-67065941(-),71,67,4,4
SMAD3#chr15:67065928-67065946(-),80,78,2,2
SMAD3#chr15:67066195-67066213(+),5,4,1,1
SMAD4#chr18:51030218-51030236(+),96,88,8,8
SMAD4#chr18:51030257-51030275(-),122,109,13,13
SMAD4#chr18:51030262-51030280(+),226,183,43,43
SMAD4#chr18:51030267-51030285(+),65,62,3,3
SMAD4#chr18:51030318-51030336(-),4,3,1,1
SMAD4#chr18:51030678-51030696(-),77,70,7,7
SMARCA2#chr9:2015338-2015356(-),71,67,4,4
SMARCA2#chr9:2015348-2015366(+),60,58,2,2
SMARCA2#chr9:2015385-2015403(-),45,39,6,6
SMARCA2#chr9:2015442-2015460(-),52,50,2,2
SMARCA2#chr9:2015446-2015464(-),70,64,6,6
SMARCA2#chr9:2015547-2015565(+),74,70,4,4
SMARCA4#chr19:10961045-10961063(+),33,29,4,4
SMARCA4#chr19:10961052-10961070(-),65,59,6,6
SMARCA4#chr19:10961138-10961156(+),47,47,0,0
SMARCA4#chr19:10961495-10961513(-),43,41,2,2
SMARCA4#chr19:10961500-10961518(+),33,32,1,1
SMARCA4#chr19:10961507-10961525(-),22,18,4,4
SMARCB1#chr22:23786987-23787005(+),94,90,4,4
SMARCB1#chr22:23786990-23787008(+),57,53,4,4
SMARCB1#chr22:23786994-23787012(-),94,88,6,6
SMARCB1#chr22:23787031-23787049(+),2,2,0,0
SMARCB1#chr22:23787045-23787063(-),60,53,7,7
SMARCB1#chr22:23787375-23787393(+),82,80,2,2
SMARCB1#chr22:23791770-23791788(-),67,62,5,5
SMARCB1#chr22:23791773-23791791(-),71,70,1,1
SMARCB1#chr22:23791794-23791812(+),73,71,2,2
SMARCB1#chr22:23791797-23791815(+),65,57,8,8
SMARCB1#chr22:23791807-23791825(-),51,49,2,2
SMARCB1#chr22:23791813-23791831(+),44,39,5,5
SMARCC1#chr3:47781383-47781401(+),31,27,4,4
SMARCC1#chr3:47781489-47781507(-),81,77,4,4
SMARCC1#chr3:47781809-47781827(-),17,16,1,1
SMARCC1#chr3:47781830-47781848(-),3,2,1,1
SMARCC1#chr3:47781840-47781858(-),44,38,6,6
SMARCC1#chr3:47781854-47781872(-),53,51,2,2
SMARCC2#chr12:56189298-56189316(-),37,34,3,3
SMARCC2#chr12:56189382-56189400(+),56,55,1,1
SMARCC2#chr12:56189439-56189457(-),50,45,5,5
SMARCC2#chr12:56189442-56189460(-),54,53,1,1
SMARCC2#chr12:56189458-56189476(-),40,36,4,4
SMARCC2#chr12:56189461-56189479(-),80,69,11,11
SMARCD1#chr12:50085236-50085254(-),45,43,2,2
SMARCD1#chr12:50085258-50085276(-),62,61,1,1
SMARCD1#chr12:50085411-50085429(+),6,6,0,0
SMARCD1#chr12:50085594-50085612(+),61,60,1,1
SMARCD1#chr12:50085598-50085616(+),2,1,1,1
SMARCD1#chr12:50085680-50085698(+),70,66,4,4
SMARCD2#chr17:63842670-63842688(-),82,75,7,7
SMARCD2#chr17:63842687-63842705(-),147,84,63,63
SMARCD2#chr17:63842700-63842718(-),70,68,2,2
SMARCD2#chr17:63842721-63842739(-),85,81,4,4
SMARCD2#chr17:63842942-63842960(+),65,61,4,4
SMARCD2#chr17:63842945-63842963(+),109,103,6,6
SMARCD3#chr7:151248441-151248459(-),49,48,1,1
SMARCD3#chr7:151248463-151248481(-),64,61,3,3
SMARCD3#chr7:151248477-151248495(-),54,46,8,8
SMARCD3#chr7:151248487-151248505(-),70,67,3,3
SMARCD3#chr7:151248645-151248663(+),35,32,3,3
SMARCD3#chr7:151248651-151248669(-),133,70,63,63
SMARCD3#chr7:151276985-151277003(+),16,13,3,3
SMARCD3#chr7:151277033-151277051(+),48,45,3,3
SMARCD3#chr7:151277068-151277086(+),89,86,3,3
SMARCD3#chr7:151277106-151277124(+),49,45,4,4
SMARCD3#chr7:151277121-151277139(-),82,78,4,4
SMARCD3#chr7:151277150-151277168(+),20,16,4,4
SOX2#chr3:181711908-181711926(+),10,9,1,1
SOX2#chr3:181712018-181712036(-),97,95,2,2
SOX2#chr3:181712126-181712144(+),55,52,3,3
SOX2#chr3:181712171-181712189(-),63,60,3,3
SOX2#chr3:181712398-181712416(+),104,95,9,9
SOX2#chr3:181712421-181712439(+),112,69,43,43
SUZ12#chr17:31937137-31937155(-),39,35,4,4
SUZ12#chr17:31937142-31937160(-),8,8,0,0
SUZ12#chr17:31937193-31937211(+),42,40,2,2
SUZ12#chr17:31937204-31937222(+),6,6,0,0
SUZ12#chr17:31937316-31937334(+),52,50,2,2
SUZ12#chr17:31937369-31937387(+),18,15,3,3
TBX3#chr12:114684146-114684164(-),50,45,5,5
TBX3#chr12:114684150-114684168(-),48,44,4,4
TBX3#chr12:114684156-114684174(-),92,46,46,46
TBX3#chr12:114684163-114684181(+),88,86,2,2
TBX3#chr12:114684173-114684191(+),48,46,2,2
TBX3#chr12:114684178-114684196(+),38,38,0,0
TCF12#chr15:56918689-56918707(-),118,116,2,2
TCF12#chr15:56918695-56918713(+),82,75,7,7
TCF12#chr15:56918698-56918716(+),108,101,7,7
TCF12#chr15:56918702-56918720(-),68,64,4,4
TCF12#chr15:56918718-56918736(+),158,139,19,19
TCF12#chr15:56918970-56918988(-),29,25,4,4
TCF12#chr15:57219458-57219476(+),87,83,4,4
TCF12#chr15:57219532-57219550(+),110,106,4,4
TCF12#chr15:57219540-57219558(-),95,93,2,2
TCF12#chr15:57219545-57219563(-),82,73,9,9
TCF12#chr15:57219562-57219580(+),80,75,5,5
TCF12#chr15:57219656-57219674(+),56,52,4,4
TCF7#chr5:134114699-134114717(-),71,64,7,7
TCF7#chr5:134114704-134114722(+),105,59,46,46
TCF7#chr5:134114765-134114783(-),79,71,8,8
TCF7#chr5:134114769-134114787(-),61,57,4,4
TCF7#chr5:134115497-134115515(+),66,58,8,8
TCF7#chr5:134115500-134115518(+),8,6,2,2
TCF7L1#chr2:85133442-85133460(+),250,128,122,122
TCF7L1#chr2:85133469-85133487(-),121,116,5,5
TCF7L1#chr2:85133581-85133599(+),111,106,5,5
TCF7L1#chr2:85133584-85133602(+),73,69,4,4
TCF7L1#chr2:85133800-85133818(+),52,49,3,3
TCF7L1#chr2:85133856-85133874(+),57,53,4,4
TCF7L2#chr10:112950246-112950264(-),220,135,85,85
TCF7L2#chr10:112950261-112950279(-),90,82,8,8
TCF7L2#chr10:112950266-112950284(-),22,16,6,6
TCF7L2#chr10:112950277-112950295(-),125,118,7,7
TCF7L2#chr10:112950282-112950300(-),110,107,3,3
TCF7L2#chr10:112950297-112950315(-),97,94,3,3
TFCP2L1#chr2:121284700-121284718(+),51,47,4,4
TFCP2L1#chr2:121284793-121284811(-),2,2,0,0
TFCP2L1#chr2:121284796-121284814(+),70,70,0,0
TFCP2L1#chr2:121285117-121285135(+),92,87,5,5
TFCP2L1#chr2:121285141-121285159(+),56,51,5,5
TFCP2L1#chr2:121285161-121285179(+),1,1,0,0
TFRC#A,645,669,-24,24
non-targeting_00013,63,61,2,2
non-targeting_00166,59,52,7,7
non-targeting_00518,72,71,1,1
non-targeting_00550,66,61,5,5
non-targeting_00642,109,97,12,12
non-targeting_00718,76,64,12,12
non-targeting_00954,92,90,2,2
non-targeting_01136,66,63,3,3
non-targeting_01227,73,67,6,6
non-targeting_01298,88,86,2,2
non-targeting_01469,93,92,1,1
non-targeting_01498,27,24,3,3
non-targeting_01779,152,64,88,88
non-targeting_01967,70,52,18,18
non-targeting_01981,48,45,3,3
non-targeting_02417,67,66,1,1
non-targeting_02459,92,82,10,10
non-targeting_02577,34,32,2,2
non-targeting_02578,47,44,3,3
non-targeting_02691,19,18,1,1
non-targeting_02829,47,45,2,2
non-targeting_03129,22,20,2,2
non-targeting_03306,42,40,2,2
non-targeting_03347,54,49,5,5
non-targeting_03368,59,58,1,1
non-targeting_03484,69,67,2,2
non-targeting_03631,137,56,81,81
non-targeting_03639,131,108,23,23
non-targeting_03705,121,92,29,29
non-targeting_03783,89,45,44,44
