query	score	qStart	qEnd	qSize	identity	chrom	strand	tStart	tEnd	span
AHCTF1#chr1:246931878-246931896(-)	21	1	22	22	100.0%	chr1	-	246931874	246931896	22
AHCTF1#chr1:246931893-246931911(-)	21	1	22	22	100.0%	chr1	-	246931889	246931911	22
AHCTF1#chr1:246931917-246931935(-)	21	1	22	22	100.0%	chr1	-	246931913	246931935	22
AHCY#chr20:34302905-34302923(+)	21	1	22	22	100.0%	chr20	+	34302904	34302926	22
AHCY#chr20:34303124-34303142(+)	21	1	22	22	100.0%	chr20	+	34303123	34303145	22
AHCY#chr20:34303269-34303287(+)	21	1	22	22	100.0%	chr20	+	34303268	34303290	22
AHCY#chr20:34303275-34303293(+)	21	1	22	22	100.0%	chr20	+	34303274	34303296	22
AHCY#chr20:34303314-34303332(+)	21	1	22	22	100.0%	chr20	+	34303313	34303335	22
AHCY#chr20:34303319-34303337(+)	21	1	22	22	100.0%	chr20	+	34303318	34303340	22
AHDC1#chr1:27604143-27604161(-)	21	1	22	22	100.0%	chr1	-	27604139	27604161	22
AHDC1#chr1:27604157-27604175(-)	21	1	22	22	100.0%	chr1	-	27604153	27604175	22
AHDC1#chr1:27604162-27604180(-)	21	1	22	22	100.0%	chr1	-	27604158	27604180	22
AHDC1#chr1:27604171-27604189(+)	21	1	22	22	100.0%	chr1	+	27604170	27604192	22
AHDC1#chr1:27604175-27604193(-)	21	1	22	22	100.0%	chr1	-	27604171	27604193	22
AHR#chr7:17298669-17298687(-)	21	1	22	22	100.0%	chr7	-	17298665	17298687	22
AHR#chr7:17298686-17298704(-)	21	1	22	22	100.0%	chr7	-	17298682	17298704	22
AHR#chr7:17298697-17298715(-)	21	1	22	22	100.0%	chr7	-	17298693	17298715	22
AHR#chr7:17298699-17298717(+)	21	1	22	22	100.0%	chr7	+	17298698	17298720	22
AHR#chr7:17298718-17298736(+)	21	1	22	22	100.0%	chr7	+	17298717	17298739	22
AHR#chr7:17298882-17298900(-)	21	1	22	22	100.0%	chr7	-	17298878	17298900	22
AHRR#chr5:321718-321736(-)	21	1	22	22	100.0%	chr5	-	321714	321736	22
AHRR#chr5:321764-321782(+)	21	1	22	22	100.0%	chr5	+	321763	321785	22
AHRR#chr5:321781-321799(-)	21	1	22	22	100.0%	chr5	-	321777	321799	22
AHRR#chr5:321939-321957(-)	21	1	22	22	100.0%	chr5	-	321935	321957	22
AHRR#chr5:321970-321988(+)	21	1	22	22	100.0%	chr5	+	321969	321991	22
AHRR#chr5:322598-322616(-)	21	1	22	22	100.0%	chr5	-	322594	322616	22
AIRE#chr21:44285835-44285853(+)	21	1	22	22	100.0%	chr21	+	44285834	44285856	22
AIRE#chr21:44285858-44285876(+)	21	1	22	22	100.0%	chr21	+	44285857	44285879	22
AIRE#chr21:44285923-44285941(-)	21	1	22	22	100.0%	chr21	-	44285919	44285941	22
AIRE#chr21:44285926-44285944(+)	21	1	22	22	100.0%	chr21	+	44285925	44285947	22
AIRE#chr21:44285954-44285972(-)	21	1	22	22	100.0%	chr21	-	44285950	44285972	22
AIRE#chr21:44286097-44286115(+)	21	1	22	22	100.0%	chr21	+	44286096	44286118	22
AKAP8#chr19:15379705-15379723(-)	21	1	22	22	100.0%	chr19	-	15379701	15379723	22
AKAP8#chr19:15379715-15379733(-)	21	1	22	22	100.0%	chr19	-	15379711	15379733	22
AKAP8#chr19:15379724-15379742(-)	21	1	22	22	100.0%	chr19	-	15379720	15379742	22
AKAP8#chr19:15379731-15379749(-)	21	1	22	22	100.0%	chr19	-	15379727	15379749	22
AKAP8#chr19:15379748-15379766(-)	21	1	22	22	100.0%	chr19	-	15379744	15379766	22
AKAP8#chr19:15379759-15379777(-)	21	1	22	22	100.0%	chr19	-	15379755	15379777	22
AKAP8L#chr19:15418544-15418562(+)	21	1	22	22	100.0%	chr19	+	15418543	15418565	22
AKAP8L#chr19:15418604-15418622(+)	21	1	22	22	100.0%	chr19	+	15418603	15418625	22
AKAP8L#chr19:15418907-15418925(+)	21	1	22	22	100.0%	chr19	+	15418906	15418928	22
AKAP8L#chr19:15418913-15418931(-)	21	1	22	22	100.0%	chr19	-	15418909	15418931	22
AKAP8L#chr19:15418947-15418965(-)	21	1	22	22	100.0%	chr19	-	15418943	15418965	22
AKAP8L#chr19:15418979-15418997(-)	21	1	22	22	100.0%	chr19	-	15418975	15418997	22
AKNA#chr9:114387893-114387911(-)	21	1	22	22	100.0%	chr9	-	114387889	114387911	22
AKNA#chr9:114387912-114387930(-)	21	1	22	22	100.0%	chr9	-	114387908	114387930	22
AKNA#chr9:114387944-114387962(-)	21	1	22	22	100.0%	chr9	-	114387940	114387962	22
AKNA#chr9:114387968-114387986(-)	21	1	22	22	100.0%	chr9	-	114387964	114387986	22
AKNA#chr9:114387971-114387989(-)	21	1	22	22	100.0%	chr9	-	114387967	114387989	22
AKNA#chr9:114387991-114388009(-)	21	1	22	22	100.0%	chr9	-	114387987	114388009	22
AKNA#chr9:114398167-114398185(+)	21	1	22	22	100.0%	chr9	+	114398166	114398188	22
AKNA#chr9:114398208-114398226(+)	21	1	22	22	100.0%	chr9	+	114398207	114398229	22
AKNA#chr9:114398425-114398443(+)	21	1	22	22	100.0%	chr9	+	114398424	114398446	22
AKNA#chr9:114398430-114398448(-)	21	1	22	22	100.0%	chr9	-	114398426	114398448	22
AKNA#chr9:114398453-114398471(-)	21	1	22	22	100.0%	chr9	-	114398449	114398471	22
AKNA#chr9:114398456-114398474(-)	21	1	22	22	100.0%	chr9	-	114398452	114398474	22
ALX1#chr12:85280208-85280226(-)	21	1	22	22	100.0%	chr12	-	85280204	85280226	22
ALX1#chr12:85280221-85280239(-)	21	1	22	22	100.0%	chr12	-	85280217	85280239	22
ALX1#chr12:85280233-85280251(-)	21	1	22	22	100.0%	chr12	-	85280229	85280251	22
ALX1#chr12:85280237-85280255(+)	21	1	22	22	100.0%	chr12	+	85280236	85280258	22
ALX1#chr12:85280244-85280262(+)	21	1	22	22	100.0%	chr12	+	85280243	85280265	22
ALX1#chr12:85280290-85280308(-)	21	1	22	22	100.0%	chr12	-	85280286	85280308	22
ALX3#chr1:110070253-110070271(+)	21	1	22	22	100.0%	chr1	+	110070252	110070274	22
ALX3#chr1:110070544-110070562(+)	21	1	22	22	100.0%	chr1	+	110070543	110070565	22
ALX3#chr1:110070549-110070567(-)	21	1	22	22	100.0%	chr1	-	110070545	110070567	22
ALX3#chr1:110070558-110070576(-)	19	2	21	22	100.0%	chr16	-	28518287	28518307	20
ALX3#chr1:110070558-110070576(-)	21	1	22	22	100.0%	chr1	-	110070554	110070576	22
ALX3#chr1:110070570-110070588(+)	21	1	22	22	100.0%	chr1	+	110070569	110070591	22
ALX3#chr1:110070620-110070638(+)	21	1	22	22	100.0%	chr1	+	110070619	110070641	22
ALX4#chr11:44309662-44309680(-)	21	1	22	22	100.0%	chr11	-	44309658	44309680	22
ALX4#chr11:44309866-44309884(-)	21	1	22	22	100.0%	chr11	-	44309862	44309884	22
ALX4#chr11:44309981-44309999(-)	21	1	22	22	100.0%	chr11	-	44309977	44309999	22
ALX4#chr11:44309986-44310004(+)	21	1	22	22	100.0%	chr11	+	44309985	44310007	22
ALX4#chr11:44309995-44310013(+)	21	1	22	22	100.0%	chr11	+	44309994	44310016	22
ALX4#chr11:44310001-44310019(+)	21	1	22	22	100.0%	chr11	+	44310000	44310022	22
ALYREF#chr17:81891193-81891211(-)	21	1	22	22	100.0%	chr17	-	81891189	81891211	22
ALYREF#chr17:81891325-81891343(-)	21	1	22	22	100.0%	chr17	-	81891321	81891343	22
ALYREF#chr17:81891340-81891358(-)	21	1	22	22	100.0%	chr17	-	81891336	81891358	22
ALYREF#chr17:81891389-81891407(-)	21	1	22	22	100.0%	chr17	-	81891385	81891407	22
ALYREF#chr17:81891556-81891574(+)	21	1	22	22	100.0%	chr17	+	81891555	81891577	22
ALYREF#chr17:81891562-81891580(+)	21	1	22	22	100.0%	chr17	+	81891561	81891583	22
ANHX#chr12:133235485-133235503(-)	21	1	22	22	100.0%	chr12	-	133235481	133235503	22
ANHX#chr12:133235488-133235506(-)	21	1	22	22	100.0%	chr12	-	133235484	133235506	22
ANHX#chr12:133235629-133235647(-)	21	1	22	22	100.0%	chr12	-	133235625	133235647	22
ANHX#chr12:133235804-133235822(-)	21	1	22	22	100.0%	chr12	-	133235800	133235822	22
ANHX#chr12:133235809-133235827(-)	21	1	22	22	100.0%	chr12	-	133235805	133235827	22
ANHX#chr12:133235820-133235838(-)	21	1	22	22	100.0%	chr12	-	133235816	133235838	22
ANKRD1#chr10:90920906-90920924(-)	21	1	22	22	100.0%	chr10	-	90920902	90920924	22
ANKRD1#chr10:90921003-90921021(-)	21	1	22	22	100.0%	chr10	-	90920999	90921021	22
ANKRD1#chr10:90921024-90921042(-)	21	1	22	22	100.0%	chr10	-	90921020	90921042	22
ANKRD1#chr10:90921075-90921093(-)	20	1	22	22	95.2%	chr15	+	74413992	74414014	22
ANKRD1#chr10:90921075-90921093(-)	21	1	22	22	100.0%	chr10	-	90921071	90921093	22
ANKRD1#chr10:90921097-90921115(-)	21	1	22	22	100.0%	chr10	-	90921093	90921115	22
ANKRD1#chr10:90921102-90921120(-)	21	1	22	22	100.0%	chr10	-	90921098	90921120	22
ANKRD30A#chr10:37125662-37125680(+)	21	1	22	22	100.0%	chr10	+	37125661	37125683	22
ANKRD30A#chr10:37125789-37125807(-)	21	1	22	22	100.0%	chr10	-	37125785	37125807	22
ANKRD30A#chr10:37125807-37125825(-)	21	1	22	22	100.0%	chr10	-	37125803	37125825	22
ANKRD30A#chr10:37125810-37125828(-)	21	1	22	22	100.0%	chr10	-	37125806	37125828	22
ANKRD30A#chr10:37125841-37125859(-)	21	1	22	22	100.0%	chr10	-	37125837	37125859	22
ANKRD30A#chr10:37125882-37125900(-)	21	1	22	22	100.0%	chr10	-	37125878	37125900	22
ANKZF1#chr2:219229800-219229818(-)	21	1	22	22	100.0%	chr2	-	219229796	219229818	22
ANKZF1#chr2:219229833-219229851(+)	21	1	22	22	100.0%	chr2	+	219229832	219229854	22
ANKZF1#chr2:219229847-219229865(+)	21	1	22	22	100.0%	chr2	+	219229846	219229868	22
ANKZF1#chr2:219229865-219229883(-)	21	1	22	22	100.0%	chr2	-	219229861	219229883	22
ANKZF1#chr2:219229881-219229899(-)	21	1	22	22	100.0%	chr2	-	219229877	219229899	22
ANKZF1#chr2:219229892-219229910(-)	21	1	22	22	100.0%	chr2	-	219229888	219229910	22
APITD1#chr1:10430503-10430521(+)	21	1	22	22	100.0%	chr1	+	10430502	10430524	22
APITD1#chr1:10430724-10430742(+)	21	1	22	22	100.0%	chr1	+	10430723	10430745	22
APITD1#chr1:10430743-10430761(+)	21	1	22	22	100.0%	chr1	+	10430742	10430764	22
APITD1#chr1:10430776-10430794(+)	21	1	22	22	100.0%	chr1	+	10430775	10430797	22
APITD1#chr1:10430787-10430805(+)	21	1	22	22	100.0%	chr1	+	10430786	10430808	22
APITD1#chr1:10430988-10431006(-)	21	1	22	22	100.0%	chr1	-	10430984	10431006	22
AR#chrX:67544023-67544041(+)	21	1	22	22	100.0%	chrX	+	67544022	67544044	22
AR#chrX:67544028-67544046(-)	21	1	22	22	100.0%	chrX	-	67544024	67544046	22
AR#chrX:67544050-67544068(+)	21	1	22	22	100.0%	chrX	+	67544049	67544071	22
AR#chrX:67544055-67544073(+)	21	1	22	22	100.0%	chrX	+	67544054	67544076	22
AR#chrX:67544380-67544398(-)	21	1	22	22	100.0%	chrX	-	67544376	67544398	22
AR#chrX:67544404-67544422(-)	21	1	22	22	100.0%	chrX	-	67544400	67544422	22
ARGFX#chr3:121567957-121567975(+)	21	1	22	22	100.0%	chr3	+	121567956	121567978	22
ARGFX#chr3:121567957-121567975(+)	20	1	21	22	100.0%	chr8	-	57353810	57353831	21
ARGFX#chr3:121567973-121567991(-)	21	1	22	22	100.0%	chr3	-	121567969	121567991	22
ARGFX#chr3:121567993-121568011(+)	21	1	22	22	100.0%	chr3	+	121567992	121568014	22
ARGFX#chr3:121568003-121568021(+)	21	1	22	22	100.0%	chr3	+	121568002	121568024	22
ARGFX#chr3:121568031-121568049(+)	21	1	22	22	100.0%	chr3	+	121568030	121568052	22
ARGFX#chr3:121568185-121568203(+)	21	1	22	22	100.0%	chr3	+	121568184	121568206	22
ARHGAP35#chr19:46918664-46918682(+)	21	1	22	22	100.0%	chr19	+	46918663	46918685	22
ARHGAP35#chr19:46918712-46918730(-)	21	1	22	22	100.0%	chr19	-	46918708	46918730	22
ARHGAP35#chr19:46918723-46918741(+)	21	1	22	22	100.0%	chr19	+	46918722	46918744	22
ARHGAP35#chr19:46918733-46918751(+)	21	1	22	22	100.0%	chr19	+	46918732	46918754	22
ARHGAP35#chr19:46918798-46918816(-)	21	1	22	22	100.0%	chr19	-	46918794	46918816	22
ARHGAP35#chr19:46918849-46918867(+)	21	1	22	22	100.0%	chr19	+	46918848	46918870	22
ARID1A#chr1:26696017-26696035(-)	21	1	22	22	100.0%	chr1	-	26696013	26696035	22
ARID1A#chr1:26696019-26696037(+)	21	1	22	22	100.0%	chr1	+	26696018	26696040	22
ARID1A#chr1:26696034-26696052(+)	21	1	22	22	100.0%	chr1	+	26696033	26696055	22
ARID1A#chr1:26696089-26696107(-)	21	1	22	22	100.0%	chr1	-	26696085	26696107	22
ARID1A#chr1:26696255-26696273(+)	21	1	22	22	100.0%	chr1	+	26696254	26696276	22
ARID1A#chr1:26696464-26696482(-)	21	1	22	22	100.0%	chr1	-	26696460	26696482	22
ARID1B#chr6:156777663-156777681(+)	21	1	22	22	100.0%	chr6	+	156777662	156777684	22
ARID1B#chr6:156777673-156777691(-)	21	1	22	22	100.0%	chr6	-	156777669	156777691	22
ARID1B#chr6:156777838-156777856(+)	21	1	22	22	100.0%	chr6	+	156777837	156777859	22
ARID1B#chr6:156777964-156777982(+)	21	1	22	22	100.0%	chr6	+	156777963	156777985	22
ARID1B#chr6:156777978-156777996(+)	21	1	22	22	100.0%	chr6	+	156777977	156777999	22
ARID1B#chr6:156777991-156778009(+)	21	1	22	22	100.0%	chr6	+	156777990	156778012	22
ARID1B#chr6:156779041-156779059(-)	21	1	22	22	100.0%	chr6	-	156779037	156779059	22
ARID1B#chr6:156779041-156779059(-)	19	2	21	22	100.0%	chr1	-	227560907	227560927	20
ARID1B#chr6:156779148-156779166(+)	21	1	22	22	100.0%	chr6	+	156779147	156779169	22
ARID1B#chr6:156779151-156779169(+)	21	1	22	22	100.0%	chr6	+	156779150	156779172	22
ARID1B#chr6:156779179-156779197(-)	21	1	22	22	100.0%	chr6	-	156779175	156779197	22
ARID1B#chr6:156779185-156779203(-)	21	1	22	22	100.0%	chr6	-	156779181	156779203	22
ARID1B#chr6:156779212-156779230(+)	21	1	22	22	100.0%	chr6	+	156779211	156779233	22
ARID2#chr12:45729704-45729722(-)	21	1	22	22	100.0%	chr12	-	45729700	45729722	22
ARID2#chr12:45729715-45729733(-)	21	1	22	22	100.0%	chr12	-	45729711	45729733	22
ARID2#chr12:45729728-45729746(+)	21	1	22	22	100.0%	chr12	+	45729727	45729749	22
ARID2#chr12:45729741-45729759(-)	21	1	22	22	100.0%	chr12	-	45729737	45729759	22
ARID2#chr12:45729745-45729763(+)	21	1	22	22	100.0%	chr12	+	45729744	45729766	22
ARID2#chr12:45729939-45729957(+)	21	1	22	22	100.0%	chr12	+	45729938	45729960	22
ARID3A#chr19:926002-926020(+)	21	1	22	22	100.0%	chr19	+	926001	926023	22
ARID3A#chr19:926005-926023(+)	21	1	22	22	100.0%	chr19	+	926004	926026	22
ARID3A#chr19:926027-926045(+)	21	1	22	22	100.0%	chr19	+	926026	926048	22
ARID3A#chr19:926047-926065(+)	21	1	22	22	100.0%	chr19	+	926046	926068	22
ARID3A#chr19:926086-926104(-)	21	1	22	22	100.0%	chr19	-	926082	926104	22
ARID3A#chr19:926415-926433(+)	21	1	22	22	100.0%	chr19	+	926414	926436	22
ARID3B#chr15:74541326-74541344(-)	21	1	22	22	100.0%	chr15	-	74541322	74541344	22
ARID3B#chr15:74541329-74541347(+)	21	1	22	22	100.0%	chr15	+	74541328	74541350	22
ARID3B#chr15:74541356-74541374(-)	21	1	22	22	100.0%	chr15	-	74541352	74541374	22
ARID3B#chr15:74541430-74541448(+)	21	1	22	22	100.0%	chr15	+	74541429	74541451	22
ARID3B#chr15:74541494-74541512(+)	21	1	22	22	100.0%	chr15	+	74541493	74541515	22
ARID3B#chr15:74541575-74541593(+)	21	1	22	22	100.0%	chr15	+	74541574	74541596	22
ARID3C#chr9:34628366-34628384(+)	21	1	22	22	100.0%	chr9	+	34628365	34628387	22
ARID3C#chr9:34628416-34628434(+)	21	1	22	22	100.0%	chr9	+	34628415	34628437	22
ARID3C#chr9:34628454-34628472(+)	21	1	22	22	100.0%	chr9	+	34628453	34628475	22
ARID3C#chr9:34628514-34628532(+)	21	1	22	22	100.0%	chr9	+	34628513	34628535	22
ARID3C#chr9:34628514-34628532(+)	19	1	19	22	100.0%	chr14	+	38691384	38691403	19
ARID3C#chr9:34628527-34628545(+)	21	1	22	22	100.0%	chr9	+	34628526	34628548	22
ARID3C#chr9:34628530-34628548(+)	21	1	22	22	100.0%	chr9	+	34628529	34628551	22
ARID4A#chr14:58298554-58298572(+)	21	1	22	22	100.0%	chr14	+	58298553	58298575	22
ARID4A#chr14:58298563-58298581(+)	21	1	22	22	100.0%	chr14	+	58298562	58298584	22
ARID4A#chr14:58298609-58298627(-)	21	1	22	22	100.0%	chr14	-	58298605	58298627	22
ARID4A#chr14:58298630-58298648(-)	21	1	22	22	100.0%	chr14	-	58298626	58298648	22
ARID4A#chr14:58298725-58298743(+)	21	1	22	22	100.0%	chr14	+	58298724	58298746	22
ARID4A#chr14:58298771-58298789(-)	21	1	22	22	100.0%	chr14	-	58298767	58298789	22
ARID4B#chr1:235327775-235327793(+)	21	1	22	22	100.0%	chr1	+	235327774	235327796	22
ARID4B#chr1:235327938-235327956(-)	21	1	22	22	100.0%	chr1	-	235327934	235327956	22
ARID4B#chr1:235328130-235328148(-)	21	1	22	22	100.0%	chr1	-	235328126	235328148	22
ARID4B#chr1:235328134-235328152(-)	21	1	22	22	100.0%	chr1	-	235328130	235328152	22
ARID4B#chr1:235328139-235328157(+)	21	1	22	22	100.0%	chr1	+	235328138	235328160	22
ARID4B#chr1:235328153-235328171(-)	21	1	22	22	100.0%	chr1	-	235328149	235328171	22
ARID5A#chr2:96536779-96536797(+)	21	1	22	22	100.0%	chr2	+	96536778	96536800	22
ARID5A#chr2:96536782-96536800(+)	21	1	22	22	100.0%	chr2	+	96536781	96536803	22
ARID5A#chr2:96536810-96536828(-)	21	1	22	22	100.0%	chr2	-	96536806	96536828	22
ARID5A#chr2:96536818-96536836(-)	21	1	22	22	100.0%	chr2	-	96536814	96536836	22
ARID5A#chr2:96536823-96536841(-)	21	1	22	22	100.0%	chr2	-	96536819	96536841	22
ARID5A#chr2:96536828-96536846(-)	21	1	22	22	100.0%	chr2	-	96536824	96536846	22
ARID5B#chr10:61901180-61901198(+)	21	1	22	22	100.0%	chr10	+	61901179	61901201	22
ARID5B#chr10:61901192-61901210(+)	21	1	22	22	100.0%	chr10	+	61901191	61901213	22
ARID5B#chr10:61901199-61901217(-)	21	1	22	22	100.0%	chr10	-	61901195	61901217	22
ARID5B#chr10:61901407-61901425(-)	21	1	22	22	100.0%	chr10	-	61901403	61901425	22
ARID5B#chr10:61901414-61901432(-)	21	1	22	22	100.0%	chr10	-	61901410	61901432	22
ARID5B#chr10:61901425-61901443(-)	21	1	22	22	100.0%	chr10	-	61901421	61901443	22
ARNT#chr1:150876336-150876354(-)	21	1	22	22	100.0%	chr1	-	150876332	150876354	22
ARNT#chr1:150876496-150876514(-)	21	1	22	22	100.0%	chr1	-	150876492	150876514	22
ARNT#chr1:150876534-150876552(-)	21	1	22	22	100.0%	chr1	-	150876530	150876552	22
ARNT#chr1:150876540-150876558(-)	21	1	22	22	100.0%	chr1	-	150876536	150876558	22
ARNT#chr1:150876545-150876563(-)	21	1	22	22	100.0%	chr1	-	150876541	150876563	22
ARNT#chr1:150876694-150876712(+)	21	1	22	22	100.0%	chr1	+	150876693	150876715	22
ARNT2#chr15:80404389-80404407(+)	21	1	22	22	100.0%	chr15	+	80404388	80404410	22
ARNT2#chr15:80404392-80404410(+)	21	1	22	22	100.0%	chr15	+	80404391	80404413	22
ARNT2#chr15:80404399-80404417(-)	21	1	22	22	100.0%	chr15	-	80404395	80404417	22
ARNT2#chr15:80404425-80404443(-)	21	1	22	22	100.0%	chr15	-	80404421	80404443	22
ARNT2#chr15:80404483-80404501(-)	21	1	22	22	100.0%	chr15	-	80404479	80404501	22
ARNT2#chr15:80404739-80404757(-)	21	1	22	22	100.0%	chr15	-	80404735	80404757	22
ARNTL#chr11:13277791-13277809(+)	21	1	22	22	100.0%	chr11	+	13277790	13277812	22
ARNTL#chr11:13277812-13277830(+)	21	1	22	22	100.0%	chr11	+	13277811	13277833	22
ARNTL#chr11:13277815-13277833(+)	21	1	22	22	100.0%	chr11	+	13277814	13277836	22
ARNTL#chr11:13277842-13277860(-)	21	1	22	22	100.0%	chr11	-	13277838	13277860	22
ARNTL#chr11:13277874-13277892(-)	21	1	22	22	100.0%	chr11	-	13277870	13277892	22
ARNTL#chr11:13277877-13277895(-)	21	1	22	22	100.0%	chr11	-	13277873	13277895	22
ARNTL2#chr12:27332901-27332919(+)	21	1	22	22	100.0%	chr12	+	27332900	27332922	22
ARNTL2#chr12:27332908-27332926(-)	21	1	22	22	100.0%	chr12	-	27332904	27332926	22
ARNTL2#chr12:27332910-27332928(+)	21	1	22	22	100.0%	chr12	+	27332909	27332931	22
ARNTL2#chr12:27332918-27332936(-)	21	1	22	22	100.0%	chr12	-	27332914	27332936	22
ARNTL2#chr12:27332934-27332952(+)	21	1	22	22	100.0%	chr12	+	27332933	27332955	22
ARNTL2#chr12:27333120-27333138(+)	21	1	22	22	100.0%	chr12	+	27333119	27333141	22
ARX#chrX:25012852-25012870(-)	21	1	22	22	100.0%	chrX	-	25012848	25012870	22
