gene_id	gene_id_versioned	gene_symbol	gene_type	chr	start	end	strand
ENSG00000248527	ENSG00000248527.1	MTATP6P1	unprocessed_pseudogene	chr1	633696	634376	+
ENSG00000198744	ENSG00000198744.5	MTCO3P12	unprocessed_pseudogene	chr1	634376	634922	+
ENSG00000268663	ENSG00000268663.1	WBP1LP6	processed_pseudogene	chr1	674842	675265	+
ENSG00000284662	ENSG00000284662.2	OR4F16	protein_coding	chr1	685716	686654	-
ENSG00000229376	ENSG00000229376.3	CICP3	processed_pseudogene	chr1	722092	724903	+
ENSG00000291215	ENSG00000291215.1	ENSG00000291215	lncRNA	chr1	725885	778688	-
ENSG00000223181	ENSG00000223181.1	RNU6-1199P	snRNA	chr1	758233	758336	-
ENSG00000229905	ENSG00000229905.1	ENSG00000229905	lncRNA	chr1	760911	761989	+
ENSG00000228327	ENSG00000228327.6	ENSG00000228327	transcribed_unprocessed_pseudogene	chr1	764723	774280	-
ENSG00000237491	ENSG00000237491.10	LINC01409	lncRNA	chr1	778747	810065	+
ENSG00000285268	ENSG00000285268.1	ENSG00000285268	transcribed_processed_pseudogene	chr1	781937	782050	+
ENSG00000290784	ENSG00000290784.1	ENSG00000290784	lncRNA	chr1	800879	817712	-
ENSG00000230092	ENSG00000230092.8	ENSG00000230092	transcribed_unprocessed_pseudogene	chr1	805799	810161	-
ENSG00000177757	ENSG00000177757.2	FAM87B	lncRNA	chr1	817371	819837	+
ENSG00000225880	ENSG00000225880.6	LINC00115	lncRNA	chr1	824228	827539	-
ENSG00000228794	ENSG00000228794.12	LINC01128	lncRNA	chr1	825138	859446	+
ENSG00000288531	ENSG00000288531.1	ENSG00000288531	lncRNA	chr1	860226	868202	+
ENSG00000230368	ENSG00000230368.2	FAM41C	lncRNA	chr1	868071	876903	-
ENSG00000234711	ENSG00000234711.1	TUBB8P11	unprocessed_pseudogene	chr1	873292	874349	+
ENSG00000283040	ENSG00000283040.1	ENSG00000283040	transcribed_unprocessed_pseudogene	chr1	874529	877234	-
ENSG00000272438	ENSG00000272438.1	ENSG00000272438	lncRNA	chr1	904834	915976	+
ENSG00000230699	ENSG00000230699.2	ENSG00000230699	lncRNA	chr1	911435	914948	+
ENSG00000241180	ENSG00000241180.1	ENSG00000241180	lncRNA	chr1	914171	914971	+
ENSG00000223764	ENSG00000223764.2	LINC02593	lncRNA	chr1	916865	921016	-
ENSG00000187634	ENSG00000187634.13	SAMD11	protein_coding	chr1	923923	944575	+
ENSG00000188976	ENSG00000188976.11	NOC2L	protein_coding	chr1	944203	959309	-
ENSG00000187961	ENSG00000187961.15	KLHL17	protein_coding	chr1	960584	965719	+
ENSG00000187583	ENSG00000187583.11	PLEKHN1	protein_coding	chr1	966482	975865	+
ENSG00000187642	ENSG00000187642.10	PERM1	protein_coding	chr1	975198	982117	-
ENSG00000272512	ENSG00000272512.1	ENSG00000272512	lncRNA	chr1	995966	998051	-
ENSG00000188290	ENSG00000188290.11	HES4	protein_coding	chr1	998962	1000172	-
ENSG00000187608	ENSG00000187608.10	ISG15	protein_coding	chr1	1001138	1014540	+
ENSG00000231702	ENSG00000231702.2	ENSG00000231702	processed_pseudogene	chr1	1008076	1008229	-
ENSG00000224969	ENSG00000224969.1	ENSG00000224969	lncRNA	chr1	1011997	1013193	-
ENSG00000188157	ENSG00000188157.15	AGRN	protein_coding	chr1	1020120	1056118	+
ENSG00000242590	ENSG00000242590.1	ENSG00000242590	lncRNA	chr1	1055033	1056116	+
ENSG00000291156	ENSG00000291156.1	ENSG00000291156	lncRNA	chr1	1059687	1066459	+
ENSG00000273443	ENSG00000273443.1	ENSG00000273443	lncRNA	chr1	1062208	1063288	-
ENSG00000217801	ENSG00000217801.13	ENSG00000217801	transcribed_unprocessed_pseudogene	chr1	1063079	1069355	+
ENSG00000237330	ENSG00000237330.3	RNF223	protein_coding	chr1	1070967	1074306	-
ENSG00000131591	ENSG00000131591.18	C1orf159	protein_coding	chr1	1081818	1116361	-
ENSG00000285812	ENSG00000285812.1	ENSG00000285812	lncRNA	chr1	1097585	1104598	+
ENSG00000223823	ENSG00000223823.1	LINC01342	lncRNA	chr1	1137017	1144056	+
ENSG00000207730	ENSG00000207730.3	MIR200B	miRNA	chr1	1167104	1167198	+
ENSG00000207607	ENSG00000207607.3	MIR200A	miRNA	chr1	1167863	1167952	+
ENSG00000198976	ENSG00000198976.1	MIR429	miRNA	chr1	1169005	1169087	+
ENSG00000272141	ENSG00000272141.1	ENSG00000272141	lncRNA	chr1	1169357	1170343	+
ENSG00000205231	ENSG00000205231.1	TTLL10-AS1	lncRNA	chr1	1173056	1179555	-
ENSG00000162571	ENSG00000162571.14	TTLL10	protein_coding	chr1	1173880	1197936	+
ENSG00000186891	ENSG00000186891.14	TNFRSF18	protein_coding	chr1	1203508	1206592	-
ENSG00000186827	ENSG00000186827.12	TNFRSF4	protein_coding	chr1	1211326	1214153	-
ENSG00000078808	ENSG00000078808.20	SDF4	protein_coding	chr1	1216931	1232031	-
ENSG00000176022	ENSG00000176022.7	B3GALT6	protein_coding	chr1	1232237	1235041	+
ENSG00000184163	ENSG00000184163.3	C1QTNF12	protein_coding	chr1	1242446	1246722	-
ENSG00000260179	ENSG00000260179.1	ENSG00000260179	lncRNA	chr1	1249777	1251334	-
ENSG00000160087	ENSG00000160087.21	UBE2J2	protein_coding	chr1	1253909	1273864	-
ENSG00000230415	ENSG00000230415.1	LINC01786	lncRNA	chr1	1275223	1280420	+
ENSG00000162572	ENSG00000162572.21	SCNN1D	protein_coding	chr1	1280436	1292029	+
ENSG00000131584	ENSG00000131584.19	ACAP3	protein_coding	chr1	1292390	1309609	-
ENSG00000278073	ENSG00000278073.1	MIR6726	miRNA	chr1	1296110	1296170	-
ENSG00000169972	ENSG00000169972.13	PUSL1	protein_coding	chr1	1308597	1311677	+
ENSG00000127054	ENSG00000127054.22	INTS11	protein_coding	chr1	1311585	1324687	-
ENSG00000283712	ENSG00000283712.1	MIR6727	miRNA	chr1	1312502	1312566	-
ENSG00000240731	ENSG00000240731.1	ENSG00000240731	lncRNA	chr1	1317581	1318689	-
ENSG00000224051	ENSG00000224051.7	CPTP	protein_coding	chr1	1324756	1328896	+
ENSG00000169962	ENSG00000169962.5	TAS1R3	protein_coding	chr1	1331280	1335314	+
ENSG00000107404	ENSG00000107404.21	DVL1	protein_coding	chr1	1335276	1349418	-
ENSG00000284372	ENSG00000284372.1	MIR6808	miRNA	chr1	1339650	1339708	-
ENSG00000162576	ENSG00000162576.17	MXRA8	protein_coding	chr1	1352689	1361777	-
ENSG00000175756	ENSG00000175756.14	AURKAIP1	protein_coding	chr1	1373730	1375207	-
ENSG00000223663	ENSG00000223663.2	NDUFB4P8	processed_pseudogene	chr1	1378666	1379032	+
ENSG00000221978	ENSG00000221978.13	CCNL2	protein_coding	chr1	1385711	1399335	-
ENSG00000224870	ENSG00000224870.9	MRPL20-AS1	lncRNA	chr1	1399515	1402046	+
ENSG00000242485	ENSG00000242485.6	MRPL20	protein_coding	chr1	1401909	1407293	-
ENSG00000264293	ENSG00000264293.2	RN7SL657P	misc_RNA	chr1	1405460	1405752	-
ENSG00000272455	ENSG00000272455.1	MRPL20-DT	lncRNA	chr1	1409096	1410618	+
ENSG00000235098	ENSG00000235098.9	ANKRD65	protein_coding	chr1	1418420	1421769	-
ENSG00000225905	ENSG00000225905.1	ANKRD65-AS1	lncRNA	chr1	1420245	1422691	+
ENSG00000205116	ENSG00000205116.4	TMEM88B	protein_coding	chr1	1425871	1430255	+
ENSG00000225285	ENSG00000225285.1	LINC01770	lncRNA	chr1	1430539	1434573	-
ENSG00000179403	ENSG00000179403.12	VWA1	protein_coding	chr1	1434861	1442882	+
ENSG00000215915	ENSG00000215915.10	ATAD3C	protein_coding	chr1	1449689	1470163	+
ENSG00000160072	ENSG00000160072.20	ATAD3B	protein_coding	chr1	1471765	1497848	+
ENSG00000290916	ENSG00000290916.1	ENSG00000290916	lncRNA	chr1	1503250	1509466	+
ENSG00000284740	ENSG00000284740.3	ENSG00000284740	transcribed_unprocessed_pseudogene	chr1	1503582	1509351	+
ENSG00000197785	ENSG00000197785.14	ATAD3A	protein_coding	chr1	1512162	1534685	+
ENSG00000205090	ENSG00000205090.9	TMEM240	protein_coding	chr1	1534778	1540624	-
ENSG00000160075	ENSG00000160075.12	SSU72	protein_coding	chr1	1541673	1574863	-
ENSG00000215014	ENSG00000215014.5	ENSG00000215014	lncRNA	chr1	1574102	1577075	+
ENSG00000274481	ENSG00000274481.1	ENSG00000274481	processed_pseudogene	chr1	1583510	1583909	-
ENSG00000228594	ENSG00000228594.4	FNDC10	protein_coding	chr1	1598012	1600135	-
ENSG00000286989	ENSG00000286989.1	ENSG00000286989	lncRNA	chr1	1600314	1602703	+
ENSG00000272106	ENSG00000272106.1	ENSG00000272106	lncRNA	chr1	1613758	1615795	-
ENSG00000197530	ENSG00000197530.13	MIB2	protein_coding	chr1	1615454	1630605	+
ENSG00000189409	ENSG00000189409.14	MMP23B	protein_coding	chr1	1632163	1635263	+
ENSG00000248333	ENSG00000248333.9	CDK11B	protein_coding	chr1	1635225	1659012	-
ENSG00000272004	ENSG00000272004.1	ENSG00000272004	lncRNA	chr1	1659325	1662602	+
ENSG00000189339	ENSG00000189339.12	SLC35E2B	protein_coding	chr1	1659529	1692795	-
ENSG00000269737	ENSG00000269737.2	ENSG00000269737	transcribed_processed_pseudogene	chr1	1671990	1674397	+
ENSG00000215914	ENSG00000215914.4	MMP23A	unprocessed_pseudogene	chr1	1699942	1701782	+
ENSG00000008128	ENSG00000008128.23	CDK11A	protein_coding	chr1	1702379	1724357	-
ENSG00000268575	ENSG00000268575.1	ENSG00000268575	lncRNA	chr1	1702736	1737688	-
ENSG00000227775	ENSG00000227775.3	ENSG00000227775	transcribed_processed_pseudogene	chr1	1724512	1737251	+
ENSG00000290854	ENSG00000290854.1	ENSG00000290854	lncRNA	chr1	1724838	1745992	-
ENSG00000215790	ENSG00000215790.9	SLC35E2A	transcribed_unprocessed_pseudogene	chr1	1734690	1739557	-
ENSG00000008130	ENSG00000008130.15	NADK	protein_coding	chr1	1751232	1780457	-
ENSG00000078369	ENSG00000078369.19	GNB1	protein_coding	chr1	1785285	1892292	-
ENSG00000231050	ENSG00000231050.3	GNB1-DT	lncRNA	chr1	1891223	1892726	+
ENSG00000169885	ENSG00000169885.10	CALML6	protein_coding	chr1	1915108	1917296	+
ENSG00000178821	ENSG00000178821.13	TMEM52	protein_coding	chr1	1917590	1919279	-
ENSG00000142609	ENSG00000142609.20	CFAP74	protein_coding	chr1	1921951	2003837	-
ENSG00000233542	ENSG00000233542.2	ENSG00000233542	lncRNA	chr1	2013213	2015639	-
ENSG00000187730	ENSG00000187730.9	GABRD	protein_coding	chr1	2019329	2030758	+
ENSG00000226969	ENSG00000226969.1	PRKCZ-DT	lncRNA	chr1	2049203	2050070	-
ENSG00000067606	ENSG00000067606.17	PRKCZ	protein_coding	chr1	2050411	2185395	+
ENSG00000271806	ENSG00000271806.1	ENSG00000271806	lncRNA	chr1	2141084	2145279	-
ENSG00000182873	ENSG00000182873.5	PRKCZ-AS1	lncRNA	chr1	2181794	2184389	-
ENSG00000162585	ENSG00000162585.17	FAAP20	protein_coding	chr1	2184461	2212720	-
ENSG00000234396	ENSG00000234396.3	ENSG00000234396	lncRNA	chr1	2212523	2220738	+
ENSG00000157933	ENSG00000157933.11	SKI	protein_coding	chr1	2227388	2310213	+
ENSG00000287356	ENSG00000287356.1	ENSG00000287356	lncRNA	chr1	2315040	2323085	+
ENSG00000116151	ENSG00000116151.14	MORN1	protein_coding	chr1	2321253	2391707	-
ENSG00000272161	ENSG00000272161.1	ENSG00000272161	lncRNA	chr1	2326201	2326693	-
ENSG00000269896	ENSG00000269896.2	ENSG00000269896	transcribed_processed_pseudogene	chr1	2350414	2352820	-
ENSG00000272420	ENSG00000272420.1	ENSG00000272420	lncRNA	chr1	2363061	2363628	-
ENSG00000157916	ENSG00000157916.20	RER1	protein_coding	chr1	2391775	2405442	+
ENSG00000157911	ENSG00000157911.11	PEX10	protein_coding	chr1	2403964	2413797	-
ENSG00000149527	ENSG00000149527.18	PLCH2	protein_coding	chr1	2425980	2505532	+
ENSG00000224387	ENSG00000224387.1	ENSG00000224387	lncRNA	chr1	2492300	2493258	-
ENSG00000229393	ENSG00000229393.1	ENSG00000229393	lncRNA	chr1	2493437	2494479	-
ENSG00000157881	ENSG00000157881.16	PANK4	protein_coding	chr1	2508537	2526597	-
ENSG00000197921	ENSG00000197921.6	HES5	protein_coding	chr1	2528745	2530263	-
ENSG00000272449	ENSG00000272449.3	ENSG00000272449	lncRNA	chr1	2530064	2547471	+
ENSG00000238164	ENSG00000238164.6	TNFRSF14-AS1	lncRNA	chr1	2549920	2557031	-
ENSG00000157873	ENSG00000157873.18	TNFRSF14	protein_coding	chr1	2555639	2565382	+
ENSG00000225931	ENSG00000225931.3	ENSG00000225931	TEC	chr1	2566410	2569888	+
ENSG00000228037	ENSG00000228037.1	ENSG00000228037	lncRNA	chr1	2581560	2584533	+
ENSG00000289610	ENSG00000289610.2	ENSG00000289610	lncRNA	chr1	2585610	2586060	+
ENSG00000157870	ENSG00000157870.17	PRXL2B	protein_coding	chr1	2586491	2591469	+
ENSG00000142606	ENSG00000142606.16	MMEL1	protein_coding	chr1	2590639	2633016	-
ENSG00000237058	ENSG00000237058.1	MMEL1-AS1	lncRNA	chr1	2632568	2636620	+
ENSG00000215912	ENSG00000215912.13	TTC34	protein_coding	chr1	2636986	2801693	-
ENSG00000285945	ENSG00000285945.1	ENSG00000285945	lncRNA	chr1	2768091	2784733	+
ENSG00000283259	ENSG00000283259.1	ENSG00000283259	lncRNA	chr1	2773603	2776473	+
ENSG00000233234	ENSG00000233234.1	ENSG00000233234	lncRNA	chr1	2811850	2812692	-
ENSG00000287396	ENSG00000287396.1	ENSG00000287396	lncRNA	chr1	2814056	2817767	+
ENSG00000231630	ENSG00000231630.1	ENSG00000231630	lncRNA	chr1	2814432	2814998	-
ENSG00000284745	ENSG00000284745.1	ENSG00000284745	lncRNA	chr1	2960658	2968707	-
ENSG00000169717	ENSG00000169717.7	ACTRT2	protein_coding	chr1	3021467	3022903	+
ENSG00000177133	ENSG00000177133.14	PRDM16-DT	lncRNA	chr1	3059611	3069091	-
ENSG00000142611	ENSG00000142611.17	PRDM16	protein_coding	chr1	3069168	3438621	+
ENSG00000283572	ENSG00000283572.1	MIR4251	miRNA	chr1	3127975	3128035	+
ENSG00000226286	ENSG00000226286.1	ENSG00000226286	lncRNA	chr1	3132927	3133709	-
ENSG00000279839	ENSG00000279839.1	ENSG00000279839	TEC	chr1	3205988	3208664	+
ENSG00000272235	ENSG00000272235.1	ENSG00000272235	lncRNA	chr1	3306636	3310096	-
ENSG00000287828	ENSG00000287828.1	ENSG00000287828	lncRNA	chr1	3313052	3323149	-
ENSG00000286518	ENSG00000286518.1	ENSG00000286518	lncRNA	chr1	3367815	3373928	-
ENSG00000130762	ENSG00000130762.15	ARHGEF16	protein_coding	chr1	3454665	3481113	+
ENSG00000272088	ENSG00000272088.1	ENSG00000272088	lncRNA	chr1	3487246	3487627	+
ENSG00000162591	ENSG00000162591.17	MEGF6	protein_coding	chr1	3487951	3611508	-
ENSG00000207776	ENSG00000207776.1	MIR551A	miRNA	chr1	3560695	3560790	-
ENSG00000238260	ENSG00000238260.3	ENSG00000238260	lncRNA	chr1	3622857	3624786	-
ENSG00000158109	ENSG00000158109.15	TPRG1L	protein_coding	chr1	3625015	3630127	+
ENSG00000116213	ENSG00000116213.16	WRAP73	protein_coding	chr1	3630767	3652761	-
ENSG00000078900	ENSG00000078900.15	TP73	protein_coding	chr1	3652516	3736201	+
ENSG00000227589	ENSG00000227589.1	TP73-AS3	lncRNA	chr1	3658938	3668772	-
ENSG00000235131	ENSG00000235131.1	TP73-AS2	lncRNA	chr1	3712200	3714298	-
ENSG00000227372	ENSG00000227372.12	TP73-AS1	transcribed_unitary_pseudogene	chr1	3735511	3747373	-
ENSG00000276189	ENSG00000276189.1	ENSG00000276189	misc_RNA	chr1	3736943	3737103	+
ENSG00000162592	ENSG00000162592.10	CCDC27	protein_coding	chr1	3746460	3771645	+
ENSG00000235169	ENSG00000235169.11	SMIM1	protein_coding	chr1	3772749	3775982	+
ENSG00000130764	ENSG00000130764.10	LRRC47	protein_coding	chr1	3778559	3796498	-
ENSG00000266075	ENSG00000266075.2	RN7SL574P	misc_RNA	chr1	3782815	3783111	+
ENSG00000272153	ENSG00000272153.1	ENSG00000272153	lncRNA	chr1	3785008	3785538	+
ENSG00000116198	ENSG00000116198.14	CEP104	protein_coding	chr1	3812086	3857396	-
ENSG00000169598	ENSG00000169598.17	DFFB	protein_coding	chr1	3857267	3885429	+
ENSG00000198912	ENSG00000198912.12	C1orf174	protein_coding	chr1	3889125	3900293	-
ENSG00000236423	ENSG00000236423.8	LINC01134	lncRNA	chr1	3900347	3917225	+
ENSG00000233304	ENSG00000233304.7	LINC01346	lncRNA	chr1	3940486	3955262	+
ENSG00000226374	ENSG00000226374.3	LINC01345	lncRNA	chr1	3944547	3949024	-
ENSG00000284668	ENSG00000284668.2	LINC02780	lncRNA	chr1	3976133	4012704	+
ENSG00000284703	ENSG00000284703.1	ENSG00000284703	lncRNA	chr1	4012921	4019508	-
ENSG00000229280	ENSG00000229280.1	EEF1DP6	processed_pseudogene	chr1	4175528	4175899	-
ENSG00000235054	ENSG00000235054.4	LINC01777	lncRNA	chr1	4412027	4424689	+
ENSG00000284694	ENSG00000284694.1	ENSG00000284694	lncRNA	chr1	4479131	4484375	-
ENSG00000227169	ENSG00000227169.2	ENSG00000227169	lncRNA	chr1	4551735	4552145	-
ENSG00000232596	ENSG00000232596.3	LINC01646	lncRNA	chr1	4571481	4594016	+
ENSG00000196581	ENSG00000196581.11	AJAP1	protein_coding	chr1	4654609	4792534	+
ENSG00000287586	ENSG00000287586.1	ENSG00000287586	lncRNA	chr1	4730211	4734992	-
ENSG00000284739	ENSG00000284739.1	ENSG00000284739	lncRNA	chr1	4963954	4973298	-
ENSG00000284674	ENSG00000284674.1	LINC02781	lncRNA	chr1	4973381	4981568	+
ENSG00000231510	ENSG00000231510.1	LINC02782	lncRNA	chr1	5086459	5090899	-
ENSG00000284616	ENSG00000284616.1	ENSG00000284616	lncRNA	chr1	5301928	5307394	-
ENSG00000284692	ENSG00000284692.2	ENSG00000284692	lncRNA	chr1	5478736	5493057	-
ENSG00000284666	ENSG00000284666.1	ENSG00000284666	lncRNA	chr1	5480787	5482028	-
ENSG00000260972	ENSG00000260972.1	ENSG00000260972	lncRNA	chr1	5492978	5494674	+
ENSG00000283356	ENSG00000283356.1	ENSG00000283356	unprocessed_pseudogene	chr1	5554747	5554881	+
ENSG00000236948	ENSG00000236948.2	ENSG00000236948	lncRNA	chr1	5561709	5668295	-
ENSG00000264341	ENSG00000264341.1	ENSG00000264341	miRNA	chr1	5564071	5564143	+
ENSG00000289893	ENSG00000289893.1	ENSG00000289893	lncRNA	chr1	5733358	5771453	-
ENSG00000264101	ENSG00000264101.1	MIR4689	miRNA	chr1	5862672	5862741	-
ENSG00000131697	ENSG00000131697.18	NPHP4	protein_coding	chr1	5862811	5992473	-
ENSG00000069424	ENSG00000069424.16	KCNAB2	protein_coding	chr1	5990927	6101193	+
ENSG00000116254	ENSG00000116254.18	CHD5	protein_coding	chr1	6101787	6180321	-
ENSG00000285629	ENSG00000285629.1	ENSG00000285629	protein_coding	chr1	6159430	6197757	-
ENSG00000116251	ENSG00000116251.11	RPL22	protein_coding	chr1	6185020	6209389	-
ENSG00000226944	ENSG00000226944.1	RNF207-AS1	lncRNA	chr1	6204840	6205780	-
ENSG00000158286	ENSG00000158286.13	RNF207	protein_coding	chr1	6205475	6221299	+
ENSG00000116237	ENSG00000116237.16	ICMT	protein_coding	chr1	6221193	6235972	-
ENSG00000225077	ENSG00000225077.3	ICMT-DT	lncRNA	chr1	6234692	6239444	+
ENSG00000173673	ENSG00000173673.9	HES3	protein_coding	chr1	6244179	6245578	+
ENSG00000158292	ENSG00000158292.7	GPR153	protein_coding	chr1	6247353	6261098	-
ENSG00000097021	ENSG00000097021.21	ACOT7	protein_coding	chr1	6264269	6393767	-
ENSG00000271746	ENSG00000271746.1	ENSG00000271746	lncRNA	chr1	6393555	6394391	+
ENSG00000069812	ENSG00000069812.11	HES2	protein_coding	chr1	6412418	6424670	-
ENSG00000187017	ENSG00000187017.18	ESPN	protein_coding	chr1	6424776	6461367	+
ENSG00000265392	ENSG00000265392.1	MIR4252	miRNA	chr1	6429834	6429896	-
ENSG00000231868	ENSG00000231868.1	ENSG00000231868	lncRNA	chr1	6443034	6447006	-
ENSG00000215788	ENSG00000215788.11	TNFRSF25	protein_coding	chr1	6460786	6466175	-
ENSG00000171680	ENSG00000171680.23	PLEKHG5	protein_coding	chr1	6467122	6520074	-
ENSG00000162408	ENSG00000162408.11	NOL9	protein_coding	chr1	6521347	6554513	-
ENSG00000253022	ENSG00000253022.1	RNU6-731P	snRNA	chr1	6540854	6540964	+
ENSG00000229519	ENSG00000229519.2	ENSG00000229519	processed_pseudogene	chr1	6547905	6548619	+
ENSG00000173662	ENSG00000173662.21	TAS1R1	protein_coding	chr1	6555307	6579755	+
ENSG00000204859	ENSG00000204859.13	ZBTB48	protein_coding	chr1	6579994	6589280	+
ENSG00000162413	ENSG00000162413.17	KLHL21	protein_coding	chr1	6590724	6614607	-
ENSG00000116273	ENSG00000116273.6	PHF13	protein_coding	chr1	6613731	6624030	+
ENSG00000041988	ENSG00000041988.16	THAP3	protein_coding	chr1	6624868	6635586	+
ENSG00000007923	ENSG00000007923.17	DNAJC11	protein_coding	chr1	6634168	6701924	-
ENSG00000228750	ENSG00000228750.7	LINC01672	lncRNA	chr1	6724637	6730012	+
ENSG00000284744	ENSG00000284744.1	ENSG00000284744	lncRNA	chr1	6767954	6770038	+
ENSG00000237436	ENSG00000237436.1	CAMTA1-DT	lncRNA	chr1	6783892	6784843	-
ENSG00000171735	ENSG00000171735.20	CAMTA1	protein_coding	chr1	6785454	7769706	+
ENSG00000227950	ENSG00000227950.1	ENSG00000227950	processed_pseudogene	chr1	6834333	6834618	-
ENSG00000237365	ENSG00000237365.1	ENSG00000237365	lncRNA	chr1	7008376	7014279	-
ENSG00000207056	ENSG00000207056.1	RNU1-8P	snRNA	chr1	7219360	7219524	+
ENSG00000237402	ENSG00000237402.1	CAMTA1-IT1	lncRNA	chr1	7368942	7370270	+
ENSG00000237728	ENSG00000237728.2	CAMTA1-AS2	lncRNA	chr1	7382487	7389754	-
ENSG00000225126	ENSG00000225126.1	CAMTA1-AS1	lncRNA	chr1	7441096	7441554	-
ENSG00000270171	ENSG00000270171.1	ENSG00000270171	lncRNA	chr1	7693124	7694844	-
ENSG00000270035	ENSG00000270035.1	ENSG00000270035	lncRNA	chr1	7698303	7698872	-
ENSG00000269978	ENSG00000269978.1	ENSG00000269978	lncRNA	chr1	7700704	7700970	-
ENSG00000049245	ENSG00000049245.13	VAMP3	protein_coding	chr1	7771296	7781432	+
ENSG00000269925	ENSG00000269925.1	ENSG00000269925	lncRNA	chr1	7776383	7776775	+
ENSG00000049246	ENSG00000049246.15	PER3	protein_coding	chr1	7784291	7845177	+
ENSG00000236266	ENSG00000236266.1	ENSG00000236266	lncRNA	chr1	7810242	7827342	-
ENSG00000049247	ENSG00000049247.14	UTS2	protein_coding	chr1	7843083	7853512	-
ENSG00000049249	ENSG00000049249.10	TNFRSF9	protein_coding	chr1	7915871	7943165	-
