gene_symbol	hgnc_approved_symbol	ensembl_gene_id	n_promoters_in_target_library	in_lambert_2018	lambert_2018_dbd	jaspar_tf_class	jaspar_tf_family
BOLA3	BOLA3	ENSG00000163170	1	True	Unknown		
BPTF	BPTF	ENSG00000171634	1	True	Unknown		
BRF2	BRF2	ENSG00000104221	1	True	Unknown		
BRIP1	BRIP1	ENSG00000136492	1	False			
BRPF1	BRPF1	ENSG00000156983	1	True	Unknown		
BSX	BSX	ENSG00000188909	1	True	Homeodomain	Homeo domain factors	NK
C11orf95	ZFTA	ENSG00000188070	1	True	BED ZF	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers
C1orf85	GLMP	ENSG00000198715	2	True	Unknown		
CAMTA1	CAMTA1	ENSG00000171735	1	True	CG-1		
CAMTA2	CAMTA2	ENSG00000108509	1	True	CG-1		
CAPN15	CAPN15	ENSG00000103326	1	True	Unknown		
CARF	CARF	ENSG00000138380	1	True	Unknown		
CARHSP1	CARHSP1	ENSG00000153048	1	True	CSD		
CASZ1	CASZ1	ENSG00000130940	1	True	C2H2 ZF	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers
CBFA2T2	CBFA2T2	ENSG00000078699	1	True	Unknown		
CBFA2T3	CBFA2T3	ENSG00000129993	2	True	Unknown		
CBFB	CBFB	ENSG00000067955	1	True	Unknown		
CBL	CBL	ENSG00000110395	1	True	Unknown		
CBX2	CBX2	ENSG00000173894	1	True	AT hook		
CC2D1A	CC2D1A	ENSG00000132024	1	True	Unknown		
CCDC169-SOHLH2	CCDC169-SOHLH2	ENSG00000250709	1	True	bHLH		
CCDC17	CCDC17	ENSG00000159588	1	True	C2H2 ZF		
CCDC79	TERB1	ENSG00000249961	1	True	Myb/SANT		
CCNT2	CCNT2	ENSG00000082258	1	True	Unknown		
CDC5L	CDC5L	ENSG00000096401	1	True	Myb/SANT		
CDCA7L	CDCA7L	ENSG00000164649	1	False			
CDIP1	CDIP1	ENSG00000089486	1	False			
CDK1	CDK1	ENSG00000170312	1	False			
CDK2	CDK2	ENSG00000123374	1	False			
CDK7	CDK7	ENSG00000134058	1	True	Unknown		
CDK9	CDK9	ENSG00000136807	1	True	Unknown		
CDX1	CDX1	ENSG00000113722	1	True	Homeodomain	Homeo domain factors	HOX
CDX2	CDX2	ENSG00000165556	1	True	Homeodomain	Homeo domain factors	HOX
CDX4	CDX4	ENSG00000131264	1	True	Homeodomain	Homeo domain factors	HOX
CEBPA	CEBPA	ENSG00000245848	1	True	bZIP	Basic leucine zipper factors (bZIP)	CEBP-related
CEBPB	CEBPB	ENSG00000172216	1	True	bZIP	Basic leucine zipper factors (bZIP)	CEBP-related
CEBPD	CEBPD	ENSG00000221869	1	True	bZIP	Basic leucine zipper factors (bZIP)	CEBP-related
CEBPE	CEBPE	ENSG00000092067	1	True	bZIP	Basic leucine zipper factors (bZIP)	CEBP-related
CEBPG	CEBPG	ENSG00000153879	1	True	bZIP	Basic leucine zipper factors (bZIP)	CEBP-related
CEBPZ	CEBPZ	ENSG00000115816	1	True	Unknown		
CENPA	CENPA	ENSG00000115163	2	True	Unknown		
CENPB	CENPB	ENSG00000125817	1	True	CENPB		
CENPBD1	CENPBD1P	ENSG00000177946	1	True	CENPB		
CENPT	CENPT	ENSG00000102901	1	True	Unknown		
CGGBP1	CGGBP1	ENSG00000163320	2	True	Unknown	C2H2 zinc finger factors	
CHAMP1	CHAMP1	ENSG00000198824	1	True	C2H2 ZF		
CHCHD3	CHCHD3	ENSG00000106554	1	True	Unknown		
CHD7	CHD7	ENSG00000171316	1	True	Unknown		
CHMP2A	CHMP2A	ENSG00000130724	1	False			
CIC	CIC	ENSG00000079432	1	True	HMG/Sox		
CIR1	CIR1	ENSG00000138433	1	True	Unknown		
CIZ1	CIZ1	ENSG00000148337	1	True	Unknown		
CLOCK	CLOCK	ENSG00000134852	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	PAS domain factors
CNBP	CNBP	ENSG00000169714	1	True	Unknown		
CNOT7	CNOT7	ENSG00000198791	1	True	Unknown		
CNOT8	CNOT8	ENSG00000155508	1	True	Unknown		
COX20	COX20	ENSG00000203667	1	False			
CPEB1	CPEB1	ENSG00000214575	2	True	Unknown		
CPXCR1	CPXCR1	ENSG00000147183	1	True	C2H2 ZF		
CRAMP1L	CRAMP1	ENSG00000007545	2	True	Myb/SANT		
CREB1	CREB1	ENSG00000118260	1	True	bZIP	Basic leucine zipper factors (bZIP)	CREB-related factors
CREB3	CREB3	ENSG00000107175	1	True	bZIP	Basic leucine zipper factors (bZIP)	CREB-related factors
CREB3L1	CREB3L1	ENSG00000157613	1	True	bZIP	Basic leucine zipper factors (bZIP)	CREB-related factors
CREB3L2	CREB3L2	ENSG00000182158	1	True	bZIP		
CREB3L3	CREB3L3	ENSG00000060566	1	True	bZIP	Basic leucine zipper factors (bZIP)	CREB-related
CREB3L4	CREB3L4	ENSG00000143578	1	True	bZIP	Basic leucine zipper factors (bZIP)	CREB-related factors
CREB5	CREB5	ENSG00000146592	2	True	bZIP		
CREBBP	CREBBP	ENSG00000005339	1	True	Unknown		
CREBL2	CREBL2	ENSG00000111269	1	True	bZIP		
CREBRF	CREBRF	ENSG00000164463	2	True	bZIP		
CREBZF	CREBZF	ENSG00000137504	1	True	bZIP		
CREM	CREM	ENSG00000095794	1	True	bZIP	Basic leucine zipper factors (bZIP)	CREB-related factors
CRTC1	CRTC1	ENSG00000105662	1	True	Unknown		
CRTC2	CRTC2	ENSG00000160741	1	True	Unknown		
CRTC3	CRTC3	ENSG00000140577	1	True	Unknown		
CRX	CRX	ENSG00000105392	1	True	Homeodomain		
CSNK2A1	CSNK2A1	ENSG00000101266	1	False			
CSRNP1	CSRNP1	ENSG00000144655	1	True	Unknown		
CSRNP2	CSRNP2	ENSG00000110925	1	True	Unknown		
CSRNP3	CSRNP3	ENSG00000178662	2	True	Unknown		
CTBP1	CTBP1	ENSG00000159692	1	True	Unknown		
CTBP2	CTBP2	ENSG00000175029	1	True	Unknown		
CTCF	CTCF	ENSG00000102974	1	True	C2H2 ZF	C2H2 zinc finger factors	More than 3 adjacent zinc fingers
CTCFL	CTCFL	ENSG00000124092	1	True	C2H2 ZF	C2H2 zinc finger factors	More than 3 adjacent zinc fingers
CTNNB1	CTNNB1	ENSG00000168036	1	True	Unknown		
CUX1	CUX1	ENSG00000257923	1	True	CUT; Homeodomain	Homeo domain factors	HD-CUT
CUX2	CUX2	ENSG00000111249	1	True	CUT; Homeodomain	Homeo domain factors	HD-CUT
CXXC1	CXXC1	ENSG00000154832	1	True	CxxC		
CXXC4	CXXC4	ENSG00000168772	1	True	CxxC		
CXXC5	CXXC5	ENSG00000171604	1	True	CxxC		
DACH1	DACH1	ENSG00000276644	1	True	Unknown		
DACH2	DACH2	ENSG00000126733	1	True	Unknown		
DAXX	DAXX	ENSG00000204209	2	True	Unknown		
DBP	DBP	ENSG00000105516	1	True	bZIP	Basic leucine zipper factors (bZIP)	CEBP-related
DBX1	DBX1	ENSG00000109851	1	True	Homeodomain		
DBX2	DBX2	ENSG00000185610	1	True	Homeodomain		
DCP1A	DCP1A	ENSG00000272886	1	True	Unknown		
DDB1	DDB1	ENSG00000167986	2	True	Unknown		
DDB2	DDB2	ENSG00000134574	1	True	Unknown		
DDIT3	DDIT3	ENSG00000175197	1	True	bZIP		
DEAF1	DEAF1	ENSG00000177030	1	True	SAND		
DEK	DEK	ENSG00000124795	1	True	Unknown		
DENND4A	DENND4A	ENSG00000174485	1	False			
DHX9	DHX9	ENSG00000135829	1	False			
DLX1	DLX1	ENSG00000144355	1	True	Homeodomain	Homeo domain factors	NK
DLX2	DLX2	ENSG00000115844	1	True	Homeodomain		
DLX3	DLX3	ENSG00000064195	1	True	Homeodomain		
DLX4	DLX4	ENSG00000108813	1	True	Homeodomain		
DLX5	DLX5	ENSG00000105880	1	True	Homeodomain	Homeo domain factors	NK
DLX6	DLX6	ENSG00000006377	1	True	Homeodomain	Homeo domain factors	NK
DMAP1	DMAP1	ENSG00000178028	1	True	Unknown		
DMBX1	DMBX1	ENSG00000197587	1	True	Homeodomain		
DMRT1	DMRT1	ENSG00000137090	1	True	DM		
DMRT2	DMRT2	ENSG00000173253	1	True	DM		
DMRT3	DMRT3	ENSG00000064218	1	True	DM	DM-type intertwined zinc finger factors	DMRT factors
DMRTA1	DMRTA1	ENSG00000176399	1	True	DM	DM-type intertwined zinc finger factors	DMRT factors
DMRTA2	DMRTA2	ENSG00000142700	1	True	DM	DM-type intertwined zinc finger factors	DMRT factors
DMRTB1	DMRTB1	ENSG00000143006	1	True	DM		
DMRTC1	DMRTC1	ENSG00000269502	1	True	Unknown		
DMRTC2	DMRTC2	ENSG00000142025	1	True	DM	DM-type intertwined zinc finger factors	DMRT factors
DMTF1	DMTF1	ENSG00000135164	1	True	Myb/SANT	Tryptophan cluster factors	Myb-SANT
DNAJC1	DNAJC1	ENSG00000136770	1	True	Myb/SANT		
DNAJC2	DNAJC2	ENSG00000105821	1	True	Myb/SANT		
DNAJC21	DNAJC21	ENSG00000168724	1	True	Unknown		
DNMT1	DNMT1	ENSG00000130816	1	True	CxxC		
DNTTIP1	DNTTIP1	ENSG00000101457	1	True	AT hook	Rel homology region (RHR) factors	NFkappaB-related
DOT1L	DOT1L	ENSG00000104885	1	True	AT hook		
DPF1	DPF1	ENSG00000011332	2	True	C2H2 ZF		
DPF2	DPF2	ENSG00000133884	2	True	Unknown		
DPF3	DPF3	ENSG00000205683	1	True	C2H2 ZF		
DPRX	DPRX	ENSG00000204595	1	True	Homeodomain	Homeo domain factors	Paired-related HD factors
DR1	DR1	ENSG00000117505	1	True	Unknown		
DRAP1	DRAP1	ENSG00000175550	1	True	Unknown		
DRGX	DRGX	ENSG00000165606	1	True	Homeodomain	Homeo domain factors	Paired-related HD factors
DUXA	DUXA	ENSG00000258873	1	True	Homeodomain	Homeo domain factors	Paired-related HD factors
DZIP1	DZIP1	ENSG00000134874	1	True	C2H2 ZF		
E2F1	E2F1	ENSG00000101412	1	True	E2F	Fork head/winged helix factors	E2F
E2F2	E2F2	ENSG00000007968	1	True	E2F	Fork head/winged helix factors	E2F
E2F3	E2F3	ENSG00000112242	2	True	E2F	Fork head/winged helix factors	E2F
E2F4	E2F4	ENSG00000205250	1	True	E2F	Fork head/winged helix factors	E2F
E2F5	E2F5	ENSG00000133740	1	True	E2F		
E2F6	E2F6	ENSG00000169016	1	True	E2F	Fork head/winged helix factors	E2F
E2F7	E2F7	ENSG00000165891	1	True	E2F	Fork head/winged helix factors	E2F
E2F8	E2F8	ENSG00000129173	1	True	E2F	Fork head/winged helix factors	E2F
E4F1	E4F1	ENSG00000167967	1	True	C2H2 ZF		
EBF1	EBF1	ENSG00000164330	1	True	EBF1	Rel homology region (RHR) factors	Early B-Cell Factor-related factors
EBF2	EBF2	ENSG00000221818	1	True	EBF1		
EBF3	EBF3	ENSG00000108001	1	True	EBF1	Rel homology region (RHR) factors	Early B-Cell Factor-related factors
EBF4	EBF4	ENSG00000088881	1	True	EBF1		
EEA1	EEA1	ENSG00000102189	1	True	C2H2 ZF		
EGR1	EGR1	ENSG00000120738	2	True	C2H2 ZF	C2H2 zinc finger factors	Three-zinc finger Kruppel-related
EGR2	EGR2	ENSG00000122877	1	True	C2H2 ZF	C2H2 zinc finger factors	Three-zinc finger Kruppel-related
EGR3	EGR3	ENSG00000179388	1	True	C2H2 ZF	C2H2 zinc finger factors	Three-zinc finger Kruppel-related
EGR4	EGR4	ENSG00000135625	1	True	C2H2 ZF	C2H2 zinc finger factors	Three-zinc finger Kruppel-related
EHF	EHF	ENSG00000135373	1	True	Ets	Tryptophan cluster factors	Ets-related
ELF1	ELF1	ENSG00000120690	1	True	Ets	Tryptophan cluster factors	Ets-related
ELF2	ELF2	ENSG00000109381	1	True	Ets	Tryptophan cluster factors	Ets-related
ELF3	ELF3	ENSG00000163435	1	True	Ets; AT hook	Tryptophan cluster factors	Ets-related
ELF4	ELF4	ENSG00000102034	1	True	Ets	Tryptophan cluster factors	Ets-related
ELF5	ELF5	ENSG00000135374	1	True	Ets	Tryptophan cluster factors	Ets-related
ELK1	ELK1	ENSG00000126767	1	True	Ets	Tryptophan cluster factors	Ets-related
ELK3	ELK3	ENSG00000111145	1	True	Ets	Tryptophan cluster factors	Ets-related
ELK4	ELK4	ENSG00000158711	1	True	Ets	Tryptophan cluster factors	Ets-related
ELMSAN1	MIDEAS	ENSG00000156030	2	True	Myb/SANT		
ELP3	ELP3	ENSG00000134014	1	False			
EMX1	EMX1	ENSG00000135638	2	True	Homeodomain	Homeo domain factors	NK
EMX2	EMX2	ENSG00000170370	1	True	Homeodomain	Homeo domain factors	NK
EN1	EN1	ENSG00000163064	1	True	Homeodomain	Homeo domain factors	NK
EN2	EN2	ENSG00000164778	1	True	Homeodomain	Homeo domain factors	NK
ENO1	ENO1	ENSG00000074800	1	True	Unknown		
EOMES	EOMES	ENSG00000163508	1	True	T-box	T-Box factors	TBrain-related factors
EP300	EP300	ENSG00000100393	1	True	Unknown		
EP400	EP400	ENSG00000183495	1	True	Unknown		
EPAS1	EPAS1	ENSG00000116016	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	PAS domain factors
ERCC2	ERCC2	ENSG00000104884	1	False			
ERCC3	ERCC3	ENSG00000163161	1	True	Unknown		
ERCC6	ERCC6	ENSG00000225830	1	False			
ERCC8	ERCC8	ENSG00000049167	1	False			
ERF	ERF	ENSG00000105722	1	True	Ets	Tryptophan cluster factors	Ets-related
ERG	ERG	ENSG00000157554	2	True	Ets	Tryptophan cluster factors	Ets-related
ESR1	ESR1	ENSG00000091831	2	True	Nuclear receptor	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)
ESR2	ESR2	ENSG00000140009	1	True	Nuclear receptor	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)
ESRRA	ESRRA	ENSG00000173153	1	True	Nuclear receptor	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)
ESRRB	ESRRB	ENSG00000119715	1	True	Nuclear receptor	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)
ESRRG	ESRRG	ENSG00000196482	5	True	Nuclear receptor		
ESX1	ESX1	ENSG00000123576	1	True	Homeodomain	Homeo domain factors	Paired-related HD factors
ETF1	ETF1	ENSG00000120705	1	False			
ETS1	ETS1	ENSG00000134954	1	True	Ets	Tryptophan cluster factors	Ets-related
ETS2	ETS2	ENSG00000157557	1	True	Ets	Tryptophan cluster factors	Ets-related
ETV1	ETV1	ENSG00000006468	1	True	Ets	Tryptophan cluster factors	Ets-related
ETV2	ETV2	ENSG00000105672	1	True	Ets	Tryptophan cluster factors	Ets-related
ETV3	ETV3	ENSG00000117036	1	True	Ets	Tryptophan cluster factors	Ets-related
ETV3L	ETV3L	ENSG00000253831	1	True	Ets		
ETV4	ETV4	ENSG00000175832	1	True	Ets	Tryptophan cluster factors	Ets-related
ETV5	ETV5	ENSG00000244405	1	True	Ets	Tryptophan cluster factors	Ets-related
ETV6	ETV6	ENSG00000139083	1	True	Ets	Tryptophan cluster factors	Ets-related
ETV7	ETV7	ENSG00000010030	1	True	Ets	Tryptophan cluster factors	Ets-related
EVX1	EVX1	ENSG00000106038	1	True	Homeodomain	Homeo domain factors	HOX
EVX2	EVX2	ENSG00000174279	1	True	Homeodomain	Homeo domain factors	HOX
EWSR1	EWSR1	ENSG00000182944	1	True	Unknown		
EZH1	EZH1	ENSG00000108799	1	True	Unknown		
EZH2	EZH2	ENSG00000106462	1	True	Unknown		
FAM170A	FAM170A	ENSG00000164334	1	True	C2H2 ZF		
FAM200B	FAM200B	ENSG00000237765	1	True	BED ZF	C2H2 zinc finger factors	BED zinc finger factors
FBXL19	FBXL19	ENSG00000099364	1	True	CxxC		
FBXO16	FBXO16	ENSG00000214050	1	False			
FERD3L	FERD3L	ENSG00000146618	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	Tal-related
FEV	FEV	ENSG00000163497	1	True	Ets	Tryptophan cluster factors	Ets-related
FEZF1	FEZF1	ENSG00000128610	1	True	C2H2 ZF		
FEZF2	FEZF2	ENSG00000153266	1	True	C2H2 ZF	C2H2 zinc finger factors	More than 3 adjacent zinc fingers
FGF3	FGF3	ENSG00000186895	1	False			
FIGLA	FIGLA	ENSG00000183733	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	Tal-related
FIZ1	FIZ1	ENSG00000179943	1	True	C2H2 ZF	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers
FLI1	FLI1	ENSG00000151702	1	True	Ets	Tryptophan cluster factors	Ets-related
FLYWCH1	FLYWCH1	ENSG00000059122	1	True	FLYWCH		FLYWCH1
FOS	FOS	ENSG00000170345	2	True	bZIP	Basic leucine zipper factors (bZIP)	Fos-related
FOSB	FOSB	ENSG00000125740	2	True	bZIP		
FOSL1	FOSL1	ENSG00000175592	1	True	bZIP	Basic leucine zipper factors (bZIP)	Fos-related
FOSL2	FOSL2	ENSG00000075426	1	True	bZIP	Basic leucine zipper factors (bZIP)	Fos-related
FOXA1	FOXA1	ENSG00000129514	1	True	Forkhead	Fork head/winged helix factors	FOX
FOXA2	FOXA2	ENSG00000125798	1	True	Forkhead	Fork head/winged helix factors	FOX
FOXA3	FOXA3	ENSG00000170608	1	True	Forkhead	Fork head/winged helix factors	FOX
FOXB1	FOXB1	ENSG00000171956	1	True	Forkhead	Fork head/winged helix factors	FOX
FOXB2	FOXB2	ENSG00000204612	1	True	Forkhead		
FOXC1	FOXC1	ENSG00000054598	1	True	Forkhead	Fork head/winged helix factors	FOX
FOXC2	FOXC2	ENSG00000176692	1	True	Forkhead	Fork head/winged helix factors	FOX
FOXD1	FOXD1	ENSG00000251493	1	True	Forkhead	Fork head/winged helix factors	FOX
FOXD2	FOXD2	ENSG00000186564	1	True	Forkhead	Fork head/winged helix factors	FOX
FOXD3	FOXD3	ENSG00000187140	2	True	Forkhead	Fork head/winged helix factors	FOX
FOXD4	FOXD4	ENSG00000170122	1	True	Forkhead		
FOXD4L1	FOXD4L1	ENSG00000184492	1	True	Forkhead		
FOXE1	FOXE1	ENSG00000178919	1	True	Forkhead	Fork head/winged helix factors	FOX
FOXE3	FOXE3	ENSG00000186790	1	True	Forkhead		
FOXF1	FOXF1	ENSG00000103241	1	True	Forkhead		
FOXF2	FOXF2	ENSG00000137273	1	True	Forkhead	Fork head/winged helix factors	FOX
FOXG1	FOXG1	ENSG00000176165	1	True	Forkhead	Fork head/winged helix factors	FOX
FOXH1	FOXH1	ENSG00000160973	1	True	Forkhead	Fork head/winged helix factors	FOX
FOXI1	FOXI1	ENSG00000168269	1	True	Forkhead	Fork head/winged helix factors	FOX
FOXI2	FOXI2	ENSG00000186766	1	True	Forkhead		
FOXI3	FOXI3	ENSG00000214336	1	True	Forkhead		
FOXJ1	FOXJ1	ENSG00000129654	1	True	Forkhead		
FOXJ2	FOXJ2	ENSG00000065970	1	True	Forkhead		
FOXJ3	FOXJ3	ENSG00000198815	1	True	Forkhead		
FOXK1	FOXK1	ENSG00000164916	1	True	Forkhead	Fork head/winged helix factors	FOX
FOXK2	FOXK2	ENSG00000141568	1	True	Forkhead	Fork head/winged helix factors	FOX
FOXL1	FOXL1	ENSG00000176678	1	True	Forkhead	Fork head/winged helix factors	FOX
FOXL2	FOXL2	ENSG00000183770	1	True	Forkhead		
FOXM1	FOXM1	ENSG00000111206	1	True	Forkhead	Fork head/winged helix factors	FOX
FOXN1	FOXN1	ENSG00000109101	1	True	Forkhead		
FOXN2	FOXN2	ENSG00000170802	1	True	Forkhead		
FOXN3	FOXN3	ENSG00000053254	2	True	Forkhead	Fork head/winged helix factors	FOX
FOXN4	FOXN4	ENSG00000139445	1	True	Forkhead		
FOXO1	FOXO1	ENSG00000150907	1	True	Forkhead		
FOXO3	FOXO3	ENSG00000118689	2	True	Forkhead	Fork head/winged helix factors	FOX
