gene_symbol	hgnc_approved_symbol	n_promoters_in_target_library	ensembl_gene_id	ensembl_gene_id_source	in_lambert_2018	lambert_2018_is_tf	lambert_2018_dbd	lambert_2018_tf_assessment	lambert_2018_binding_mode	in_jaspar_core	jaspar_matrix_ids	jaspar_base_ids	jaspar_tf_class	jaspar_tf_family	jaspar_uniprot_ids
ARID1A	ARID1A	1	ENSG00000117713	gtf_direct	True	No	ARID/BRIGHT	Unlikely to be sequence specific TF	Low specificity DNA-binding protein	False					
ARID1B	ARID1B	2	ENSG00000049618	gtf_direct	True	No	ARID/BRIGHT	Unlikely to be sequence specific TF	Low specificity DNA-binding protein	False					
ARID2	ARID2	1	ENSG00000189079	gtf_direct	True	Yes	ARID/BRIGHT; RFX	Likely to be sequence specific TF	Monomer or homomultimer	False					
ARID3A	ARID3A	1	ENSG00000116017	gtf_direct	True	Yes	ARID/BRIGHT	Known motif	Monomer or homomultimer	False					
ARID3B	ARID3B	1	ENSG00000179361	gtf_direct	True	Yes	ARID/BRIGHT	Inferred motif	Monomer or homomultimer	False					
ARID3C	ARID3C	1	ENSG00000205143	gtf_direct	True	Yes	ARID/BRIGHT	Inferred motif	Monomer or homomultimer	False					
ARID4A	ARID4A	1	ENSG00000032219	gtf_direct	True	No	ARID/BRIGHT	Unlikely to be sequence specific TF	Low specificity DNA-binding protein	False					
ARID4B	ARID4B	1	ENSG00000054267	gtf_direct	True	No	ARID/BRIGHT	Unlikely to be sequence specific TF	Low specificity DNA-binding protein	False					
ARID5A	ARID5A	1	ENSG00000196843	gtf_direct	True	Yes	ARID/BRIGHT	Known motif	Monomer or homomultimer	False					
ARID5B	ARID5B	1	ENSG00000150347	gtf_direct	True	Yes	ARID/BRIGHT	Known motif	Monomer or homomultimer	False					
ARNT	ARNT	1	ENSG00000143437	gtf_direct	True	Yes	bHLH	Known motif	Monomer or homomultimer	False					
ARNT2	ARNT2	1	ENSG00000172379	gtf_direct	True	Yes	bHLH	Known motif	Monomer or homomultimer	True	MA1464.1;MA1464.2	MA1464	Basic helix-loop-helix factors (bHLH)	PAS domain factors	Q9HBZ2
ARNTL	BMAL1	1	ENSG00000133794	hgnc_alias	True	Yes	bHLH	Known motif	Monomer or homomultimer	False					
ARNTL2	BMAL2	1	ENSG00000029153	hgnc_alias	True	Yes	bHLH	Inferred motif	Obligate heteromer	False					
ARX	ARX	2	ENSG00000004848	gtf_direct	True	Yes	Homeodomain	Known motif	Monomer or homomultimer	False					
ASCL1	ASCL1	1	ENSG00000139352	gtf_direct	True	Yes	bHLH	Known motif	Monomer or homomultimer	True	MA1100.1;MA1100.2;MA1100.3;MA1631.1;MA1631.2	MA1100;MA1631	Basic helix-loop-helix factors (bHLH)	MyoD/ASC-related factors	P50553
ASCL2	ASCL2	1	ENSG00000183734	gtf_direct	True	Yes	bHLH	Known motif	Monomer or homomultimer	False					
ASCL3	ASCL3	1	ENSG00000176009	gtf_direct	True	Yes	bHLH	Inferred motif	Obligate heteromer	False					
ASCL4	ASCL4	1	ENSG00000187855	gtf_direct	True	Yes	bHLH	Inferred motif	Monomer or homomultimer	False					
ASCL5	ASCL5	1	ENSG00000232237	gtf_direct	True	Yes	bHLH	Inferred motif	Monomer or homomultimer	False					
ASH1L	ASH1L	1	ENSG00000116539	gtf_direct	True	Yes	AT hook	Likely to be sequence specific TF	Monomer or homomultimer	False					
ATF1	ATF1	1	ENSG00000123268	gtf_direct	True	Yes	bZIP	Known motif	Monomer or homomultimer	False					
ATF2	ATF2	1	ENSG00000115966	gtf_direct	True	Yes	bZIP	Known motif	Monomer or homomultimer	True	MA1632.1;MA1632.2	MA1632	Basic leucine zipper factors (bZIP)	Jun-related	P15336
ATF3	ATF3	1	ENSG00000162772	gtf_direct	True	Yes	bZIP	Known motif	Monomer or homomultimer	True	MA0605.2;MA0605.3	MA0605	Basic leucine zipper factors (bZIP)	Fos-related	P18847
ATF4	ATF4	1	ENSG00000128272	gtf_direct	True	Yes	bZIP	Known motif	Monomer or homomultimer	True	MA0833.1;MA0833.2;MA0833.3	MA0833	Basic leucine zipper factors (bZIP)	ATF-4-related factors	P18848
ATF5	ATF5	1	ENSG00000169136	gtf_direct	True	Yes	bZIP	Known motif	Obligate heteromer	False					
ATF6	ATF6	1	ENSG00000118217	gtf_direct	True	Yes	bZIP	Known motif	Monomer or homomultimer	True	MA1466.1;MA1466.2	MA1466	Basic leucine zipper factors (bZIP)	Jun-related	P18850
ATF6B	ATF6B	1	ENSG00000213676	gtf_direct	True	Yes	bZIP	Known motif	Monomer or homomultimer	False					
ATF7	ATF7	1	ENSG00000170653	gtf_direct	True	Yes	bZIP	Known motif	Monomer or homomultimer	True	MA0834.1;MA0834.2	MA0834	Basic leucine zipper factors (bZIP)	Jun-related	P17544
ATMIN	ATMIN	1	ENSG00000166454	gtf_direct	True	Yes	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer	False					
ATN1	ATN1	1	ENSG00000111676	gtf_direct	False					False					
ATOH1	ATOH1	1	ENSG00000172238	gtf_direct	True	Yes	bHLH	Known motif	Monomer or homomultimer	True	MA1467.1	MA1467	Basic helix-loop-helix factors (bHLH)	Tal-related	Q92858
ATOH7	ATOH7	1	ENSG00000179774	gtf_direct	True	Yes	bHLH	Known motif	Monomer or homomultimer	True	MA1468.1	MA1468	Basic helix-loop-helix factors (bHLH)	Tal-related	Q8N100
ATOH8	ATOH8	1	ENSG00000168874	gtf_direct	True	Yes	bHLH	Inferred motif	Monomer or homomultimer	False					
ATXN7	ATXN7	2	ENSG00000163635	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
BACH1	BACH1	1	ENSG00000156273	gtf_direct	True	Yes	bZIP	Known motif	Monomer or homomultimer	True	MA1633.1;MA1633.2	MA1633	Basic leucine zipper factors (bZIP)	Jun-related	O14867
BACH2	BACH2	1	ENSG00000112182	gtf_direct	True	Yes	bZIP	Known motif	Monomer or homomultimer	True	MA1101.1;MA1101.2;MA1101.3;MA1470.1;MA1470.2	MA1101;MA1470	Basic leucine zipper factors (bZIP)	Jun-related	Q9BYV9
BARHL1	BARHL1	1	ENSG00000125492	gtf_direct	True	Yes	Homeodomain	Known motif	Monomer or homomultimer	True	MA0877.2;MA0877.3;MA0877.4	MA0877	Homeo domain factors	NK	Q9BZE3
BARHL2	BARHL2	1	ENSG00000143032	gtf_direct	True	Yes	Homeodomain	Known motif	Monomer or homomultimer	True	MA0635.1;MA0635.2	MA0635	Homeo domain factors	NK	Q9NY43
BARX1	BARX1	1	ENSG00000131668	gtf_direct	True	Yes	Homeodomain	Known motif	Monomer or homomultimer	True	MA0875.1;MA0875.2	MA0875	Homeo domain factors	NK	Q9HBU1
BARX2	BARX2	1	ENSG00000043039	gtf_direct	True	Yes	Homeodomain	Known motif	Monomer or homomultimer	True	MA1471.1;MA1471.2	MA1471	Homeo domain factors	NK	Q9UMQ3
BATF	BATF	1	ENSG00000156127	gtf_direct	True	Yes	bZIP	Known motif	Monomer or homomultimer	True	MA1634.1;MA1634.2	MA1634	Basic leucine zipper factors (bZIP)	B-ATF-related factors	Q16520
BATF2	BATF2	1	ENSG00000168062	gtf_direct	True	Yes	bZIP	Likely to be sequence specific TF	Obligate heteromer	False					
BATF3	BATF3	1	ENSG00000123685	gtf_direct	True	Yes	bZIP	Known motif	Monomer or homomultimer	True	MA0835.2;MA0835.3	MA0835	Basic leucine zipper factors (bZIP)	B-ATF-related factors	Q9NR55
BAZ1B	BAZ1B	1	ENSG00000009954	gtf_direct	False					False					
BAZ2A	BAZ2A	2	ENSG00000076108	gtf_direct	True	Yes	MBD; AT hook	Likely to be sequence specific TF	Low specificity DNA-binding protein	False					
BAZ2B	BAZ2B	1	ENSG00000123636	gtf_direct	True	Yes	MBD	Likely to be sequence specific TF	Low specificity DNA-binding protein	False					
BBX	BBX	1	ENSG00000114439	gtf_direct	True	Yes	HMG/Sox	Known motif	Monomer or homomultimer	False					
BCL11A	BCL11A	1	ENSG00000119866	gtf_direct	True	Yes	C2H2 ZF	Known motif	Monomer or homomultimer	True	MA2324.1;MA2504.1	MA2324;MA2504	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers	Q9H165
BCL11B	BCL11B	1	ENSG00000127152	gtf_direct	True	Yes	C2H2 ZF	Known motif	Monomer or homomultimer	False					
BCL3	BCL3	1	ENSG00000069399	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
BCL6	BCL6	1	ENSG00000113916	gtf_direct	True	Yes	C2H2 ZF	Known motif	Monomer or homomultimer	True	MA0463.2;MA0463.3	MA0463	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	P41182
BCL6B	BCL6B	1	ENSG00000161940	gtf_direct	True	Yes	C2H2 ZF	Known motif	Monomer or homomultimer	True	MA0731.1	MA0731	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	A8KA13
BCLAF1	BCLAF1	1	ENSG00000029363	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Low specificity DNA-binding protein	False					
BDP1	BDP1	1	ENSG00000145734	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
BHLHA15	BHLHA15	1	ENSG00000180535	gtf_direct	True	Yes	bHLH	Known motif	Monomer or homomultimer	True	MA0607.2;MA1472.1	MA0607;MA1472	Basic helix-loop-helix factors (bHLH)	Tal-related	Q7RTS1
BHLHA9	BHLHA9	1	ENSG00000205899	gtf_direct	True	Yes	bHLH	Likely to be sequence specific TF	Obligate heteromer	False					
BHLHB9	GPRASP3	1	ENSG00000198908	hgnc_alias	False					False					
BHLHE22	BHLHE22	1	ENSG00000180828	gtf_direct	True	Yes	bHLH	Known motif	Monomer or homomultimer	True	MA0818.1;MA0818.2;MA1635.1;MA1635.2	MA0818;MA1635	Basic helix-loop-helix factors (bHLH)	Tal-related	Q8NFJ8
BHLHE23	BHLHE23	1	ENSG00000125533	gtf_direct	True	Yes	bHLH	Known motif	Monomer or homomultimer	True	MA0817.1;MA0817.2	MA0817	Basic helix-loop-helix factors (bHLH)	Tal-related	Q8NDY6
BHLHE40	BHLHE40	1	ENSG00000134107	gtf_direct	True	Yes	bHLH	Known motif	Monomer or homomultimer	True	MA0464.2;MA0464.3	MA0464	Basic helix-loop-helix factors (bHLH)	Hairy-related factors	O14503
BHLHE41	BHLHE41	1	ENSG00000123095	gtf_direct	True	Yes	bHLH	Known motif	Monomer or homomultimer	True	MA0636.1	MA0636	Basic helix-loop-helix factors (bHLH)	Hairy-related factors	Q9C0J9
BID	BID	1	ENSG00000015475	gtf_direct	False					False					
BLZF1	BLZF1	1	ENSG00000117475	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
BMP2	BMP2	2	ENSG00000125845	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
BNC1	BNC1	1	ENSG00000169594	gtf_direct	True	Yes	C2H2 ZF	Inferred motif	Monomer or homomultimer	False					
BNC2	BNC2	1	ENSG00000173068	gtf_direct	True	Yes	C2H2 ZF	Inferred motif	Monomer or homomultimer	True	MA1928.1;MA1928.2	MA1928	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers	Q6ZN30
BOLA1	BOLA1	2	ENSG00000178096	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
BOLA2	BOLA2	1	ENSG00000183336	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
BOLA2B	BOLA2B	1	ENSG00000169627	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
BOLA3	BOLA3	1	ENSG00000163170	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
BPTF	BPTF	1	ENSG00000171634	gtf_direct	True	Yes	Unknown	Known motif	Monomer or homomultimer	False					
BRF2	BRF2	1	ENSG00000104221	gtf_direct	True	Yes	Unknown	Likely to be sequence specific TF	Low specificity DNA-binding protein	False					
BRIP1	BRIP1	1	ENSG00000136492	gtf_direct	False					False					
BRPF1	BRPF1	1	ENSG00000156983	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
BSX	BSX	1	ENSG00000188909	gtf_direct	True	Yes	Homeodomain	Known motif	Monomer or homomultimer	True	MA0876.1;MA0876.2	MA0876	Homeo domain factors	NK	Q3C1V8
C11orf95	ZFTA	1	ENSG00000188070	hgnc_alias	True	Yes	BED ZF	Likely to be sequence specific TF	Monomer or homomultimer	True	MA2603.1	MA2603	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers	C9JLR9
C1orf85	GLMP	2	ENSG00000198715	hgnc_alias	True	Yes	Unknown	Likely to be sequence specific TF	Monomer or homomultimer	False					
CAMTA1	CAMTA1	1	ENSG00000171735	gtf_direct	True	Yes	CG-1	Likely to be sequence specific TF	Monomer or homomultimer	False					
CAMTA2	CAMTA2	1	ENSG00000108509	gtf_direct	True	Yes	CG-1	Likely to be sequence specific TF	Monomer or homomultimer	False					
CAPN15	CAPN15	1	ENSG00000103326	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
CARF	CARF	1	ENSG00000138380	gtf_direct	True	Yes	Unknown	Known motif	Monomer or homomultimer	False					
CARHSP1	CARHSP1	1	ENSG00000153048	gtf_direct	True	No	CSD	ssDNA/RNA binding	Not a DNA binding protein	False					
CASZ1	CASZ1	1	ENSG00000130940	gtf_direct	True	Yes	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer	True	MA2508.1	MA2508	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers	Q86V15
CBFA2T2	CBFA2T2	1	ENSG00000078699	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
CBFA2T3	CBFA2T3	2	ENSG00000129993	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
CBFB	CBFB	1	ENSG00000067955	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
CBL	CBL	1	ENSG00000110395	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
CBX2	CBX2	1	ENSG00000173894	gtf_direct	True	Yes	AT hook	Likely to be sequence specific TF	Monomer or homomultimer	False					
CC2D1A	CC2D1A	1	ENSG00000132024	gtf_direct	True	Yes	Unknown	Likely to be sequence specific TF	Monomer or homomultimer	False					
CCDC169-SOHLH2	CCDC169-SOHLH2	1	ENSG00000250709	gtf_direct	True	Yes	bHLH	Known motif	Monomer or homomultimer	False					
CCDC17	CCDC17	1	ENSG00000159588	gtf_direct	True	Yes	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer	False					
CCDC79	TERB1	1	ENSG00000249961	hgnc_alias	True	Yes	Myb/SANT	Likely to be sequence specific TF	Monomer or homomultimer	False					
CCNT2	CCNT2	1	ENSG00000082258	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
CDC5L	CDC5L	1	ENSG00000096401	gtf_direct	True	Yes	Myb/SANT	Known motif	Monomer or homomultimer	False					
CDCA7L	CDCA7L	1	ENSG00000164649	gtf_direct	False					False					
CDIP1	CDIP1	1	ENSG00000089486	gtf_direct	False					False					
CDK1	CDK1	1	ENSG00000170312	gtf_direct	False					False					
CDK2	CDK2	1	ENSG00000123374	gtf_direct	False					False					
CDK7	CDK7	1	ENSG00000134058	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
CDK9	CDK9	1	ENSG00000136807	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
CDX1	CDX1	1	ENSG00000113722	gtf_direct	True	Yes	Homeodomain	Known motif	Monomer or homomultimer	True	MA0878.1;MA0878.2;MA0878.3	MA0878	Homeo domain factors	HOX	P47902
CDX2	CDX2	1	ENSG00000165556	gtf_direct	True	Yes	Homeodomain	Known motif	Monomer or homomultimer	True	MA0465.1;MA0465.2;MA0465.3	MA0465	Homeo domain factors	HOX	Q99626
CDX4	CDX4	1	ENSG00000131264	gtf_direct	True	Yes	Homeodomain	Known motif	Monomer or homomultimer	True	MA1473.1;MA1473.2	MA1473	Homeo domain factors	HOX	O14627
CEBPA	CEBPA	1	ENSG00000245848	gtf_direct	True	Yes	bZIP	Known motif	Monomer or homomultimer	True	MA0102.3;MA0102.4;MA0102.5	MA0102	Basic leucine zipper factors (bZIP)	CEBP-related	P49715
CEBPB	CEBPB	1	ENSG00000172216	gtf_direct	True	Yes	bZIP	Known motif	Monomer or homomultimer	True	MA0466.1;MA0466.2;MA0466.3;MA0466.4	MA0466	Basic leucine zipper factors (bZIP)	CEBP-related	P17676
CEBPD	CEBPD	1	ENSG00000221869	gtf_direct	True	Yes	bZIP	Known motif	Monomer or homomultimer	True	MA0836.1;MA0836.2;MA0836.3	MA0836	Basic leucine zipper factors (bZIP)	CEBP-related	P49716
CEBPE	CEBPE	1	ENSG00000092067	gtf_direct	True	Yes	bZIP	Known motif	Monomer or homomultimer	True	MA0837.1;MA0837.2;MA0837.3	MA0837	Basic leucine zipper factors (bZIP)	CEBP-related	Q15744
CEBPG	CEBPG	1	ENSG00000153879	gtf_direct	True	Yes	bZIP	Known motif	Monomer or homomultimer	True	MA0838.1;MA1636.1;MA1636.2	MA0838;MA1636	Basic leucine zipper factors (bZIP)	CEBP-related	P53567
CEBPZ	CEBPZ	1	ENSG00000115816	gtf_direct	True	Yes	Unknown	Known motif	Monomer or homomultimer	False					
CENPA	CENPA	2	ENSG00000115163	gtf_direct	True	Yes	Unknown	Likely to be sequence specific TF	Low specificity DNA-binding protein	False					
CENPB	CENPB	1	ENSG00000125817	gtf_direct	True	Yes	CENPB	Known motif	Monomer or homomultimer	False					
CENPBD1	CENPBD1P	1	ENSG00000177946	hgnc_alias	True	Yes	CENPB	Known motif	Monomer or homomultimer	False					
CENPT	CENPT	1	ENSG00000102901	gtf_direct	True	Yes	Unknown	Likely to be sequence specific TF	Low specificity DNA-binding protein	False					
CGGBP1	CGGBP1	2	ENSG00000163320	gtf_direct	True	Yes	Unknown	Likely to be sequence specific TF	Monomer or homomultimer	True	MA2538.1	MA2538	C2H2 zinc finger factors		Q9UFW8
CHAMP1	CHAMP1	1	ENSG00000198824	gtf_direct	True	Yes	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer	False					
CHCHD3	CHCHD3	1	ENSG00000106554	gtf_direct	True	Yes	Unknown	Likely to be sequence specific TF	Monomer or homomultimer	False					
CHD7	CHD7	1	ENSG00000171316	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Low specificity DNA-binding protein	False					
CHMP2A	CHMP2A	1	ENSG00000130724	gtf_direct	False					False					
CIC	CIC	1	ENSG00000079432	gtf_direct	True	Yes	HMG/Sox	Known motif	Monomer or homomultimer	False					
CIR1	CIR1	1	ENSG00000138433	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
CIZ1	CIZ1	1	ENSG00000148337	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
CLOCK	CLOCK	1	ENSG00000134852	gtf_direct	True	Yes	bHLH	Known motif	Monomer or homomultimer	True	MA0819.1;MA0819.2;MA0819.3	MA0819	Basic helix-loop-helix factors (bHLH)	PAS domain factors	O15516
CNBP	CNBP	1	ENSG00000169714	gtf_direct	True	No	Unknown	ssDNA/RNA binding	Not a DNA binding protein	False					
CNOT7	CNOT7	1	ENSG00000198791	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
CNOT8	CNOT8	1	ENSG00000155508	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
COX20	COX20	1	ENSG00000203667	gtf_direct	False					False					
CPEB1	CPEB1	2	ENSG00000214575	gtf_direct	True	Yes	Unknown	Known motif	Monomer or homomultimer	False					
CPXCR1	CPXCR1	1	ENSG00000147183	gtf_direct	True	Yes	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer	False					
CRAMP1L	CRAMP1	2	ENSG00000007545	hgnc_alias	True	No	Myb/SANT	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
CREB1	CREB1	1	ENSG00000118260	gtf_direct	True	Yes	bZIP	Known motif	Monomer or homomultimer	True	MA0018.1;MA0018.3;MA0018.4;MA0018.5	MA0018	Basic leucine zipper factors (bZIP)	CREB-related factors	P16220
CREB3	CREB3	1	ENSG00000107175	gtf_direct	True	Yes	bZIP	Known motif	Monomer or homomultimer	True	MA0638.1;MA0638.2	MA0638	Basic leucine zipper factors (bZIP)	CREB-related factors	O43889
CREB3L1	CREB3L1	1	ENSG00000157613	gtf_direct	True	Yes	bZIP	Known motif	Monomer or homomultimer	True	MA0839.1;MA0839.2	MA0839	Basic leucine zipper factors (bZIP)	CREB-related factors	Q96BA8
CREB3L2	CREB3L2	1	ENSG00000182158	gtf_direct	True	Yes	bZIP	Known motif	Monomer or homomultimer	False					
CREB3L3	CREB3L3	1	ENSG00000060566	gtf_direct	True	Yes	bZIP	Likely to be sequence specific TF	Monomer or homomultimer	True	MA2541.1	MA2541	Basic leucine zipper factors (bZIP)	CREB-related	Q68CJ9
CREB3L4	CREB3L4	1	ENSG00000143578	gtf_direct	True	Yes	bZIP	Known motif	Monomer or homomultimer	True	MA1474.1;MA1474.2;MA1475.1;MA1475.2	MA1474;MA1475	Basic leucine zipper factors (bZIP)	CREB-related factors	Q8TEY5
CREB5	CREB5	2	ENSG00000146592	gtf_direct	True	Yes	bZIP	Known motif	Monomer or homomultimer	False					
CREBBP	CREBBP	1	ENSG00000005339	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
CREBL2	CREBL2	1	ENSG00000111269	gtf_direct	True	Yes	bZIP	Inferred motif	Monomer or homomultimer	False					
CREBRF	CREBRF	2	ENSG00000164463	gtf_direct	True	No	bZIP	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
CREBZF	CREBZF	1	ENSG00000137504	gtf_direct	True	Yes	bZIP	Inferred motif	Monomer or homomultimer	False					
CREM	CREM	1	ENSG00000095794	gtf_direct	True	Yes	bZIP	Known motif	Monomer or homomultimer	True	MA0609.2;MA0609.3	MA0609	Basic leucine zipper factors (bZIP)	CREB-related factors	Q03060
CRTC1	CRTC1	1	ENSG00000105662	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
CRTC2	CRTC2	1	ENSG00000160741	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
CRTC3	CRTC3	1	ENSG00000140577	gtf_direct	True	No	Unknown	Unlikely to be sequence specific TF	Not a DNA binding protein	False					
CRX	CRX	1	ENSG00000105392	gtf_direct	True	Yes	Homeodomain	Known motif	Monomer or homomultimer	False					
CSNK2A1	CSNK2A1	1	ENSG00000101266	gtf_direct	False					False					
CSRNP1	CSRNP1	1	ENSG00000144655	gtf_direct	True	Yes	Unknown	Likely to be sequence specific TF	Monomer or homomultimer	False					
CSRNP2	CSRNP2	1	ENSG00000110925	gtf_direct	True	Yes	Unknown	Likely to be sequence specific TF	Monomer or homomultimer	False					
